西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,採取位置,C_全窒素_最小値,全窒素_最小値,C_全窒素_最大値,全窒素_最大値,m_全窒素,n_全窒素,C_全窒素_日間平均値_平均値,全窒素_日間平均値_平均値,C_全燐_最小値,全燐_最小値,C_全燐_最大値,全燐_最大値,m_全燐,n_全燐,C_全燐_日間平均値_平均値,全燐_日間平均値_平均値
1999,0110010,01,001,01,0,99,#,0.4,#,0.57,999,4,#,0.49,#,0.016,#,0.038,999,4,#,0.023
1999,0110030,01,002,02,0,99,#,0.26,#,0.6,999,12,#,0.4,#,0.009,#,0.073,999,12,#,0.023
1999,0110020,01,002,52,0,99,#,0.17,#,0.47,999,3,#,0.35,#,0.006,#,0.027,999,3,#,0.019
1999,0114370,01,002,53,0,99,#,0.34,#,0.44,999,4,#,0.39,#,0.012,#,0.027,999,4,#,0.017
1999,0110060,01,004,01,0,99,#,0.42,#,1.1,999,12,#,0.83,#,0.034,#,0.2,999,12,#,0.065
1999,0113460,01,004,02,0,99,#,0.53,#,1.2,999,12,#,0.81,#,0.018,#,0.12,999,12,#,0.055
1999,0110070,01,004,51,0,99,#,0.64,#,1.4,999,12,#,0.99,#,0.047,#,0.27,999,12,#,0.082
1999,0110080,01,004,52,0,99,#,0.15,#,0.33,999,4,#,0.24,#,0.053,#,0.082,999,4,#,0.064
1999,0110090,01,004,53,0,99,#,0.44,#,1,999,12,#,0.76,#,0.027,#,0.16,999,12,#,0.056
1999,0110100,01,004,54,0,99,#,0.51,#,1.3,999,4,#,0.9,#,0.016,#,0.034,999,4,#,0.027
1999,0110110,01,004,55,0,99,#,0.5,#,1.4,999,12,#,0.91,#,0.031,#,0.23,999,12,#,0.068
1999,0110140,01,005,02,0,99,#,0.09,#,0.41,999,12,#,0.21,#,0.007,#,0.019,999,12,#,0.012
1999,0110130,01,005,52,0,99,#,0.21,#,0.59,999,6,#,0.32,#,0.007,#,0.041,999,6,#,0.018
1999,0110160,01,006,02,0,99,#,0.67,#,1.8,999,12,#,1,#,0.016,#,0.034,999,12,#,0.026
1999,0114230,01,006,52,0,99,#,0.24,#,1.8,999,3,#,0.88,#,0.033,#,0.051,999,3,#,0.041
1999,0110170,01,007,01,0,99,#,1.6,#,2.8,999,12,#,2.3,#,0.065,#,0.14,999,12,#,0.099
1999,0110180,01,007,51,0,99,#,1.7,#,2.7,999,12,#,2.1,#,0.047,#,0.12,999,12,#,0.084
1999,0110190,01,007,52,0,99,#,0.88,#,1.9,999,12,#,1.4,#,0.023,#,0.054,999,12,#,0.037
1999,0110220,01,008,52,0,99,#,0.18,#,0.38,999,4,#,0.27,#,0.013,#,0.017,999,4,#,0.015
1999,0110240,01,009,01,0,99,#,0.25,#,0.76,999,12,#,0.4,#,0.004,#,0.067,999,12,#,0.02
1999,0110250,01,010,01,0,99,#,1,#,2.3,999,12,#,1.6,#,0.026,#,0.051,999,12,#,0.038
1999,0110260,01,010,02,0,99,#,1.1,#,2.1,999,12,#,1.5,#,0.023,#,0.065,999,12,#,0.045
1999,0110270,01,010,03,0,99,#,0.72,#,2.2,999,12,#,1.3,#,0.028,#,0.088,999,12,#,0.051
1999,0110290,01,010,52,0,99,#,0.15,#,0.59,999,4,#,0.41,#,0.02,#,0.043,999,4,#,0.03
1999,0110310,01,011,01,0,99,#,0.32,#,1.2,999,12,#,0.66,#,0.013,#,0.067,999,12,#,0.034
1999,0110320,01,012,01,0,99,#,0.59,#,1.4,999,12,#,1,#,0.033,#,0.092,999,12,#,0.063
1999,0110330,01,013,01,0,99,#,0.5,#,2.2,999,12,#,1.1,#,0.033,#,0.31,999,12,#,0.081
1999,0110340,01,014,01,0,99,#,0.34,#,0.71,999,4,#,0.56,#,0.023,#,0.053,999,4,#,0.044
1999,0110350,01,015,01,0,99,#,0.53,#,1.3,999,12,#,0.78,#,0.038,#,0.079,999,12,#,0.053
1999,0110370,01,017,01,0,99,#,0.24,#,0.68,999,12,#,0.41,#,0.012,#,0.084,999,12,#,0.04
1999,0110380,01,018,01,0,99,#,0.54,#,1.5,999,12,#,0.94,#,0.019,#,0.1,999,12,#,0.063
1999,0110400,01,019,01,0,99,#,0.17,#,0.89,999,12,#,0.46,#,0.004,#,0.036,999,12,#,0.011
1999,0110410,01,020,01,0,99,#,0.27,#,0.92,999,12,#,0.51,#,0.005,#,0.071,999,12,#,0.019
1999,0110420,01,021,01,0,99,#,0.22,#,0.71,999,12,#,0.38,#,0.006,#,0.084,999,12,#,0.019
1999,0110430,01,022,01,0,99,#,0.18,#,0.2,999,6,#,0.2,#,0.006,#,0.019,999,6,#,0.011
1999,0110440,01,023,01,0,99,#,0.5,#,1,999,6,#,0.68,#,0.021,#,0.078,999,6,#,0.039
1999,0110450,01,024,01,0,99,#,0.27,#,1.2,999,12,#,0.56,#,0.006,#,0.24,999,12,#,0.045
1999,0113990,01,024,55,0,99,#,0.18,#,0.82,999,12,#,0.46,#,0.014,#,0.17,999,12,#,0.041
1999,0110550,01,029,01,0,99,#,0.28,#,1.1,999,15,#,0.55,#,0.004,#,0.26,999,15,#,0.031
1999,0110570,01,030,01,0,99,#,0.35,#,0.89,999,15,#,0.55,#,0.006,#,0.094,999,15,#,0.035
1999,0110600,01,033,01,0,99,#,0.47,#,1.3,999,12,#,0.85,#,0.015,#,0.14,999,12,#,0.038
1999,0110610,01,033,51,0,99,#,0.26,#,1,999,12,#,0.45,#,0.007,#,0.094,999,12,#,0.022
1999,0110620,01,034,01,0,99,#,0.4,#,0.92,999,4,#,0.69,#,0.015,#,0.048,999,4,#,0.033
1999,0114090,01,034,51,0,99,#,0.23,#,0.43,999,4,#,0.33,#,0.013,#,0.048,999,4,#,0.03
1999,0114130,01,034,52,0,99,#,0.19,#,0.35,999,4,#,0.27,#,0.016,#,0.054,999,4,#,0.038
1999,0110630,01,035,01,0,99,#,0.64,#,1.2,999,4,#,0.86,#,0.027,#,0.14,999,4,#,0.083
1999,0110710,01,042,01,0,99,#,0.98,#,3.9,999,4,#,1.9,#,0.048,#,0.48,999,4,#,0.2
1999,0110740,01,043,01,0,99,#,0.12,#,0.89,999,4,#,0.5,#,0.021,#,0.069,999,4,#,0.04
1999,0110750,01,044,01,0,99,#,0.14,#,0.88,999,4,#,0.65,#,0.019,#,0.051,999,4,#,0.036
1999,0110760,01,045,01,0,99,#,0.22,#,1.3,999,4,#,0.76,#,0.022,#,0.068,999,4,#,0.039
1999,0110770,01,046,01,0,99,#,0.14,#,1.1,999,4,#,0.73,#,0.027,#,0.08,999,4,#,0.05
1999,0110780,01,047,01,0,99,#,0.51,#,0.99,999,12,#,0.67,#,0.03,#,0.06,999,12,#,0.043
1999,0110790,01,048,01,0,99,#,0.54,#,1.2,999,12,#,0.7,#,0.046,#,0.094,999,12,#,0.059
1999,0110820,01,050,01,0,99,#,0.49,#,1.1,999,12,#,0.72,#,0.043,#,0.086,999,12,#,0.054
1999,0110840,01,051,01,0,99,#,1.2,#,3.7,999,12,#,2.2,#,0.07,#,0.15,999,12,#,0.1
1999,0113820,01,057,51,0,99,#,1,#,2.1,999,12,#,1.5,#,0.08,#,0.64,999,12,#,0.19
1999,0114110,01,059,51,0,99,#,0.1,#,0.37,999,4,#,0.3,#,0.055,#,0.12,999,4,#,0.085
1999,0110950,01,060,01,0,99,#,0.22,#,0.47,999,12,#,0.34,#,0.005,#,0.037,999,12,#,0.017
1999,0110980,01,062,01,0,99,#,0.17,#,0.47,999,12,#,0.31,#,0.007,#,0.087,999,12,#,0.023
1999,0111000,01,064,01,0,99,#,1,#,1.6,999,2,#,1.3,#,0.04,#,0.049,999,2,#,0.045
1999,0111020,01,066,01,0,99,#,0.18,#,0.69,999,4,#,0.43,#,0.005,#,0.03,999,4,#,0.019
1999,0111030,01,067,01,0,99,#,0.09,#,0.17,999,4,#,0.12,<,0.003,#,0.016,999,4,#,0.007
1999,0111040,01,068,01,0,99,#,0.22,#,0.97,999,4,#,0.44,<,0.003,#,0.02,999,4,#,0.011
