西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,水温,m_トリハロメタン生成能,n_トリハロメタン生成能,C_トリハロメタン生成能_最大値,トリハロメタン生成能_最大値,C_トリハロメタン生成能_日平均値_平均値,トリハロメタン生成能_日平均値_平均値,C_クロロホルム生成能_最大値,クロロホルム生成能_最大値,C_クロロホルム生成能_日平均値_平均値,クロロホルム生成能_日平均値_平均値,C_ブロモジクロロメタン生成能_最大値,ブロモジクロロメタン生成能_最大値,C_ブロモジクロロメタン生成能_日平均値_平均値,ブロモジクロロメタン生成能_日平均値_平均値,C_ジブロモクロロメタン生成能_最大値,ジブロモクロロメタン生成能_最大値,C_ジブロモクロロメタン生成能_日平均値_平均値,ジブロモクロロメタン生成能_日平均値_平均値,C_ブロモホルム生成能_最大値,ブロモホルム生成能_最大値,C_ブロモホルム生成能_日平均値_平均値,ブロモホルム生成能_日平均値_平均値
2004,0110030,01,002,02,20.4,999,4,#,0.045,#,0.032,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2004,0110420,01,021,01,21.5,999,4,#,0.044,#,0.036,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2004,0110550,01,029,01,20,999,12,#,0.044,#,0.028,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2004,0110790,01,048,01,15.2,999,2,#,0.078,#,0.058,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2004,0110950,01,060,01,27.3,999,12,#,0.054,#,0.037,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2004,0111740,01,120,01,17,999,4,#,0.036,#,0.028,#,0.026,#,0.019,#,0.008,#,0.0065,#,0.001,#,0.001,<,0.001,<,0.001
2004,0111980,01,135,51,24.3,999,4,#,0.038,#,0.033,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2004,0112050,01,141,01,23,999,4,#,0.055,#,0.043,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2004,0112070,01,141,51,20.2,999,4,#,0.059,#,0.039,#,0.053,#,0.033,#,0.007,#,0.0043,#,0.001,#,0.001,<,0.001,<,0.001
2004,0114220,01,141,53,22.3,999,4,#,0.055,#,0.041,#,0.046,#,0.034,#,0.007,#,0.006,<,0.001,<,0.001,<,0.001,<,0.001
