西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値
2009,0110010,01,001,01,0,#,6.8,#,7.5,0,4,#,9.1,#,13,0,4,#,11,<,0.5,<,0.5,0,4,<,0.5,<,0.5,0,4,<,0.5,<,0.5,<,0.5,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,4,#,17,0,4,#,8,#,130,#,1400,4,4,#,510,E,99999,E,99999,999,999,E,99999
2009,0110030,01,002,02,0,#,7.1,#,7.6,0,12,#,10,#,15,0,12,#,12,<,0.5,#,0.9,0,12,<,0.5,#,0.9,0,12,#,0.6,#,0.6,#,0.6,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,2,#,48,1,12,#,8,#,220,#,7900,9,12,#,3300,E,99999,E,99999,999,999,E,99999
2009,0114370,01,002,53,0,#,7,#,7.6,0,12,#,9.4,#,15,0,12,#,11,<,0.5,#,5,2,12,<,0.5,#,5,2,12,#,1.3,#,0.9,#,1.1,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,1,#,43,1,12,#,9,#,230,#,92000,3,6,#,16000,E,99999,E,99999,999,999,E,99999
2009,0110060,01,004,01,0,#,7,#,7.5,0,24,#,8.5,#,14,0,24,#,11,#,0.5,#,1.4,0,24,#,0.6,#,1.3,0,12,#,0.9,#,0.8,#,1,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,3,#,53,6,24,#,18,#,170,#,33000,2,24,#,4200,E,99999,E,99999,999,999,E,99999
2009,0113460,01,004,02,0,#,7,#,7.3,0,12,#,9.3,#,14,0,12,#,11,<,0.5,#,1.3,0,12,<,0.5,#,1.3,0,12,#,0.9,#,0.8,#,1.1,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,2,#,38,1,12,#,11,#,70,#,17000,4,12,#,4200,E,99999,E,99999,999,999,E,99999
2009,0110070,01,004,51,0,#,7.1,#,7.4,0,4,#,8.5,#,13,0,4,#,10,#,0.7,#,1.1,0,4,#,0.7,#,1.1,0,4,#,0.8,#,0.8,#,0.8,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,1,#,29,1,4,#,12,#,1300,#,13000,1,4,#,5200,E,99999,E,99999,999,999,E,99999
2009,0110090,01,004,53,0,#,7.2,#,7.3,0,4,#,9.1,#,13,0,4,#,11,<,0.5,#,1.3,0,4,<,0.5,#,1.3,0,4,#,0.8,#,0.7,#,0.7,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,3,#,38,1,4,#,17,#,330,#,4900,0,4,#,2200,E,99999,E,99999,999,999,E,99999
2009,0110110,01,004,55,0,#,7.1,#,7.4,0,4,#,8.7,#,14,0,4,#,11,#,0.6,#,1.1,0,4,#,0.6,#,1.1,0,4,#,0.8,#,0.7,#,0.7,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,6,#,43,1,4,#,20,#,790,#,4900,0,4,#,2400,E,99999,E,99999,999,999,E,99999
2009,0114690,01,004,56,0,#,7.1,#,7.3,0,4,#,8.5,#,11,0,4,#,9.6,#,1.3,#,1.8,0,4,#,1.3,#,1.8,0,4,#,1.6,#,1.7,#,1.8,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,12,#,56,3,4,#,36,#,170,#,1700,0,4,#,610,E,99999,E,99999,999,999,E,99999
2009,0114700,01,004,57,0,#,7.1,#,7.3,0,4,#,7.9,#,11,0,4,#,9.3,#,1.4,#,2.8,0,4,#,1.4,#,2.8,0,4,#,2,#,1.8,#,2.2,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,15,#,55,3,4,#,37,#,130,#,7900,1,4,#,3000,E,99999,E,99999,999,999,E,99999
