,西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値,地点統一番号
0,1975,110011,,,,0,,,,,,,,,,,,,,,#,0.5,#,0.8,0.0,6.0,#,0.5,#,0.8,0.0,6.0,#,0.6,#,0.5,#,0.5,#,2.0,#,2.6,,6.0,#,2.0,#,2.6,,6.0,#,2.3,#,2.4,#,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
1,1975,110021,,,,0,,,,,,,,,,,,,,,<,0.5,#,2.6,7.0,38.0,<,0.5,#,2.6,3.0,17.0,#,1.4,#,1.5,#,1.7,<,0.5,<,0.5,,38.0,<,0.5,<,0.5,,17.0,<,0.5,<,0.5,<,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2,1975,110031,,,,0,,,,,,,,,,,,,,,#,0.6,#,3.3,2.0,8.0,#,0.6,#,3.3,2.0,8.0,#,1.7,#,1.5,#,1.9,#,1.6,#,6.3,,8.0,#,1.6,#,6.3,,8.0,#,2.7,#,2.1,#,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,1975,110041,,,,0,,,,,,,,,,,,,,,#,0.7,#,5.1,4.0,39.0,#,0.8,#,5.1,4.0,14.0,#,2.3,#,1.8,#,3.5,#,3.8,#,9.8,,39.0,#,4.3,#,9.8,,14.0,#,6.4,#,6.2,#,6.9,,,,,,,,,,,,,,,,,,,,,,,,,
4,1975,110051,,,,0,,,,,,,,,,,,,,,#,1.0,#,6.9,26.0,48.0,#,1.6,#,6.3,8.0,12.0,#,3.6,#,3.3,#,5.1,#,3.4,#,10.0,,48.0,#,3.7,#,9.8,,12.0,#,6.7,#,6.5,#,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,1975,110061,,,,0,,,,,,,,,,,,,,,#,2.4,#,3.5,3.0,11.0,#,2.4,#,3.5,3.0,11.0,#,3.0,#,3.0,#,3.2,<,0.5,<,0.5,,11.0,<,0.5,<,0.5,,11.0,<,0.5,<,0.5,<,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
6,1975,110081,,,,0,,,,,,,,,,,,,,,<,0.5,#,2.9,0.0,12.0,<,0.5,#,2.9,0.0,12.0,#,1.3,#,1.0,#,1.8,#,4.7,#,18.0,,12.0,#,4.7,#,18.0,,12.0,#,9.2,#,9.0,#,9.9,,,,,,,,,,,,,,,,,,,,,,,,,
7,1975,110091,,,,0,,,,,,,,,,,,,,,<,0.5,#,4.2,1.0,48.0,#,0.6,#,2.5,0.0,12.0,#,1.3,#,1.2,#,1.7,<,0.5,#,54.0,,48.0,#,4.4,#,26.0,,12.0,#,8.6,#,7.8,#,8.2,,,,,,,,,,,,,,,,,,,,,,,,,
8,1975,110101,,,,0,,,,,,,,,,,,,,,#,0.8,#,3.2,1.0,12.0,#,0.9,#,2.9,0.0,6.0,#,1.4,#,1.2,#,1.2,#,3.0,#,8.7,,12.0,#,3.2,#,7.3,,6.0,#,5.4,#,5.5,#,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,1975,110111,,,,0,,,,,,,,,,,,,,,<,0.5,#,1.8,0.0,74.0,#,0.9,#,1.7,0.0,14.0,#,1.1,#,1.1,#,1.2,#,3.8,#,32.0,,74.0,#,4.1,#,23.0,,14.0,#,8.5,#,7.5,#,8.9,,,,,,,,,,,,,,,,,,,,,,,,,
10,1975,110121,,,,0,,,,,,,,,,,,,,,#,0.8,#,2.8,0.0,42.0,#,0.9,#,2.8,0.0,10.0,#,1.5,#,1.5,#,1.8,#,4.4,#,13.0,,42.0,#,4.9,#,13.0,,10.0,#,8.3,#,8.0,#,9.2,,,,,,,,,,,,,,,,,,,,,,,,,
11,1975,110131,,,,0,,,,,,,,,,,,,,,#,0.8,#,2.4,0.0,12.0,#,0.8,#,2.4,0.0,12.0,#,1.4,#,1.4,#,1.7,#,5.2,#,9.6,,12.0,#,5.2,#,9.6,,12.0,#,7.4,#,7.3,#,8.4,,,,,,,,,,,,,,,,,,,,,,,,,
12,1975,110141,,,,0,,,,,,,,,,,,,,,#,0.6,#,1.8,0.0,12.0,#,0.6,#,1.5,0.0,6.0,#,0.9,#,0.8,#,0.9,#,3.8,#,33.0,,12.0,#,4.0,#,18.0,,6.0,#,9.6,#,8.4,#,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
