レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,pH_C,pH,DO_C,DO(mg/l),BOD_C,BOD(mg/l),COD_C,COD(mg/l),SS_C,SS(mg/l),大腸菌群数_C,大腸菌群数(MPN/100ml),n-ヘキサン抽出物質_C,n-ヘキサン抽出物質(mg/l)
1410010001,1990,1410010,14,001,01,#,7.3,#,8.3,#,2.3,#,4.4,#,8,E,99999,E,99999
1410010002,1990,1410010,14,001,01,#,7.3,#,8.4,#,2.8,#,4.7,#,8,E,99999,E,99999
1410010003,1990,1410010,14,001,01,#,7.4,#,9.2,#,2.5,#,5,#,8,E,99999,E,99999
1410010004,1990,1410010,14,001,01,#,7.3,#,8.3,#,1.9,#,4.4,#,11,E,99999,E,99999
1410010005,1990,1410010,14,001,01,#,7.2,#,6.4,#,4.8,#,6.8,#,5,E,99999,E,99999
1410010006,1990,1410010,14,001,01,#,7.3,#,6.6,#,3.5,#,6.9,#,10,E,99999,E,99999
1410010007,1990,1410010,14,001,01,#,7.3,#,6.3,#,2.9,#,7.6,#,8,E,99999,E,99999
1410010008,1990,1410010,14,001,01,#,7.3,#,6.4,#,4,#,7.7,#,8,E,99999,E,99999
1410010009,1990,1410010,14,001,01,#,8.2,#,9.6,#,4.7,#,8.4,#,13,E,99999,E,99999
1410010010,1990,1410010,14,001,01,#,8.1,#,9.5,#,3.3,#,8.6,#,14,E,99999,E,99999
1410010011,1990,1410010,14,001,01,#,8,#,9.4,#,4.2,#,7.8,#,12,E,99999,E,99999
1410010012,1990,1410010,14,001,01,#,8.2,#,9.7,#,3,#,8.8,#,18,E,99999,E,99999
1410010013,1990,1410010,14,001,01,#,7.4,#,10,#,3.7,#,7.8,#,17,E,99999,E,99999
1410010014,1990,1410010,14,001,01,#,7.9,#,10,#,3.2,#,6.3,#,15,E,99999,E,99999
1410010015,1990,1410010,14,001,01,#,7.9,#,10,#,2.5,#,6.1,#,12,E,99999,E,99999
1410010016,1990,1410010,14,001,01,#,8,#,10,#,3.1,#,6.2,#,14,E,99999,E,99999
1410010017,1990,1410010,14,001,01,#,7.7,#,11,#,6.4,#,7.6,#,25,E,99999,E,99999
1410010018,1990,1410010,14,001,01,#,8,#,10,#,5.4,#,8.4,#,29,E,99999,E,99999
1410010019,1990,1410010,14,001,01,#,7.8,#,10,#,6,#,7.9,#,24,E,99999,E,99999
1410010020,1990,1410010,14,001,01,#,8,#,11,#,4,#,8.5,#,21,E,99999,E,99999
1410010021,1990,1410010,14,001,01,#,7.4,#,10,#,4.2,#,8.8,#,15,E,99999,E,99999
1410010022,1990,1410010,14,001,01,#,7.4,#,10,#,3,#,9.5,#,22,E,99999,E,99999
1410010023,1990,1410010,14,001,01,#,7.4,#,9.7,#,3.6,#,9.9,#,19,E,99999,E,99999
1410010024,1990,1410010,14,001,01,#,7.4,#,10,#,3.7,#,9.1,#,20,E,99999,E,99999
1410010025,1990,1410010,14,001,01,#,7.4,#,8.7,#,2,#,3.1,#,42,E,99999,E,99999
1410010026,1990,1410010,14,001,01,#,7.4,#,8.9,#,1.7,#,2.2,#,45,E,99999,E,99999
1410010027,1990,1410010,14,001,01,#,7.4,#,9.1,#,1.8,#,3,#,37,E,99999,E,99999
1410010028,1990,1410010,14,001,01,#,7.4,#,9.1,#,1.5,#,2.1,#,35,E,99999,E,99999
1410010029,1990,1410010,14,001,01,#,7.3,#,8.5,#,1.6,#,2.9,#,4,E,99999,E,99999
1410010030,1990,1410010,14,001,01,#,7.5,#,8.1,#,1.4,#,2.8,#,4,E,99999,E,99999
1410010031,1990,1410010,14,001,01,#,7.6,#,8.3,#,1.2,#,3.7,#,5,E,99999,E,99999
1410010032,1990,1410010,14,001,01,#,7.5,#,8.3,#,2.6,#,4,#,4,E,99999,E,99999
1410010033,1990,1410010,14,001,01,#,7.5,#,10,#,1,#,1.9,#,7,E,99999,E,99999
1410010034,1990,1410010,14,001,01,#,7.5,#,10,#,1.1,#,2.2,#,8,E,99999,E,99999
1410010035,1990,1410010,14,001,01,#,7.6,#,10,#,1.1,#,2.1,#,7,E,99999,E,99999
1410010036,1990,1410010,14,001,01,#,7.6,#,10,#,1.3,#,2.4,#,7,E,99999,E,99999
1410010037,1990,1410010,14,001,01,#,7.5,#,7.1,#,2.3,#,6.2,#,3,E,99999,E,99999
1410010038,1990,1410010,14,001,01,#,7.5,#,8.7,#,1.9,#,4.5,#,3,E,99999,E,99999
1410010039,1990,1410010,14,001,01,#,7.5,#,9.4,#,3.8,#,7.6,#,4,E,99999,E,99999
1410010040,1990,1410010,14,001,01,#,7.6,#,9.3,#,3.5,#,6.1,#,4,E,99999,E,99999
1410010041,1990,1410010,14,001,01,#,7.8,#,12,#,3.3,#,6.8,#,6,E,99999,E,99999
1410010042,1990,1410010,14,001,01,#,7.8,#,12,#,4.5,#,7.4,#,7,E,99999,E,99999
1410010043,1990,1410010,14,001,01,#,7.8,#,12,#,3.9,#,6.5,#,8,E,99999,E,99999
1410010044,1990,1410010,14,001,01,#,7.8,#,12,#,2.8,#,6.9,#,7,E,99999,E,99999
1410010045,1990,1410010,14,001,01,#,7.4,#,11,#,3.9,#,8.9,#,14,E,99999,E,99999
1410010046,1990,1410010,14,001,01,#,7.4,#,11,#,3.5,#,8.2,#,17,E,99999,E,99999
1410010047,1990,1410010,14,001,01,#,7.4,#,10,#,4.9,#,9.3,#,18,E,99999,E,99999
1410010048,1990,1410010,14,001,01,#,7.4,#,10,#,4.1,#,7.8,#,17,E,99999,E,99999
1410020001,1990,1410020,14,001,51,#,7.2,#,8.2,#,3.6,#,4.4,#,6,E,99999,E,99999
1410020002,1990,1410020,14,001,51,#,7.2,#,8.6,#,2.8,#,4.7,#,6,E,99999,E,99999
1410020003,1990,1410020,14,001,51,#,7.2,#,8.6,#,3.5,#,4.8,#,7,E,99999,E,99999
1410020004,1990,1410020,14,001,51,#,7.2,#,8.6,#,2.4,#,4.1,#,5,E,99999,E,99999
1410020005,1990,1410020,14,001,51,#,7.2,#,6.3,#,4.6,#,7.4,#,10,E,99999,E,99999
1410020006,1990,1410020,14,001,51,#,7.2,#,6.4,#,4.2,#,6.1,#,8,E,99999,E,99999
1410020007,1990,1410020,14,001,51,#,7.3,#,6.3,#,5.1,#,7.9,#,8,E,99999,E,99999
1410020008,1990,1410020,14,001,51,#,7.3,#,6.6,#,3.8,#,7.3,#,6,E,99999,E,99999
1410020009,1990,1410020,14,001,51,#,8.2,#,9.7,#,4.3,#,7.6,#,12,E,99999,E,99999
