レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,全窒素_C,全窒素(mg/l),全燐_C,全燐(mg/l)
1410010001,1991,1410010,14,001,01,#,6,#,0.19
1410010005,1991,1410010,14,001,01,#,7.2,#,0.41
1410010009,1991,1410010,14,001,01,#,6.8,#,0.28
1410010013,1991,1410010,14,001,01,#,6.1,#,0.33
1410010017,1991,1410010,14,001,01,#,4.4,#,0.36
1410010021,1991,1410010,14,001,01,#,2.6,#,0.16
1410010025,1991,1410010,14,001,01,#,5.4,#,0.19
1410010029,1991,1410010,14,001,01,#,6.5,#,0.2
1410010033,1991,1410010,14,001,01,#,7.1,#,0.25
1410010037,1991,1410010,14,001,01,#,8,#,0.39
1410010041,1991,1410010,14,001,01,#,6.8,#,0.21
1410010045,1991,1410010,14,001,01,#,7.6,#,0.56
1410020001,1991,1410020,14,001,51,#,6.4,#,0.19
1410020005,1991,1410020,14,001,51,#,6.8,#,0.46
1410020009,1991,1410020,14,001,51,#,6.4,#,0.29
1410020013,1991,1410020,14,001,51,#,6.4,#,0.3
1410020017,1991,1410020,14,001,51,#,4.6,#,0.36
1410020021,1991,1410020,14,001,51,#,3,#,0.17
1410020025,1991,1410020,14,001,51,#,5.4,#,0.21
1410020029,1991,1410020,14,001,51,#,5.9,#,0.22
1410020033,1991,1410020,14,001,51,#,6.5,#,0.33
1410020037,1991,1410020,14,001,51,#,7.9,#,0.49
1410020041,1991,1410020,14,001,51,#,7.2,#,0.39
1410020045,1991,1410020,14,001,51,#,8.1,#,0.61
1410040001,1991,1410040,14,002,01,#,4.8,#,0.36
1410040005,1991,1410040,14,002,01,#,6.9,#,0.56
1410040009,1991,1410040,14,002,01,#,5.5,#,0.42
1410040013,1991,1410040,14,002,01,#,5.3,#,0.35
1410040017,1991,1410040,14,002,01,#,3,#,0.33
1410040025,1991,1410040,14,002,01,#,3.1,#,0.16
1410040029,1991,1410040,14,002,01,#,5.6,#,0.2
1410040033,1991,1410040,14,002,01,#,5.9,#,0.25
1410040037,1991,1410040,14,002,01,#,7.4,#,0.34
1410040041,1991,1410040,14,002,01,#,8.9,#,0.47
1410040045,1991,1410040,14,002,01,#,7.4,#,0.36
1410040053,1991,1410040,14,002,01,#,9,#,0.71
1410050001,1991,1410050,14,002,02,#,6.7,#,0.49
1410050005,1991,1410050,14,002,02,#,7.1,#,0.75
1410050009,1991,1410050,14,002,02,#,6.8,#,0.51
1410050013,1991,1410050,14,002,02,#,4,#,0.3
