レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,採取_年,採取_月日,採取_時分,調査区分コード,採取位置コード,採取水深(m),天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度_C,透明度(m)
1210010001,2003,1210010,12,001,01,2003,0417,0900,0,02,0.25,99,99,999,999,20.5,14.8,120.61,1.25,E,99999
1210010002,2003,1210010,12,001,01,2003,0417,1400,0,02,0.24,99,99,999,999,23.8,15.4,104.91,1.2,E,99999
1210010003,2003,1210010,12,001,01,2003,0417,2130,0,02,0.25,99,99,999,999,18.8,13.9,106.78,1.25,E,99999
1210010004,2003,1210010,12,001,01,2003,0513,0900,0,02,0.2,99,99,999,999,22.2,18.2,77.22,1,E,99999
1210010005,2003,1210010,12,001,01,2003,0513,1400,0,02,0.2,99,99,999,999,23.4,17.6,82.34,1,E,99999
1210010006,2003,1210010,12,001,01,2003,0513,2130,0,02,0.18,99,99,999,999,18.5,15.6,77.49,0.9,E,99999
1210010007,2003,1210010,12,001,01,2003,0604,0900,0,02,0.16,99,99,999,999,17.3,18.9,47.17,0.75,E,99999
1210010008,2003,1210010,12,001,01,2003,0604,1400,0,02,0.16,99,99,999,999,26.5,21.7,56.49,0.8,E,99999
1210010009,2003,1210010,12,001,01,2003,0604,2130,0,02,0.15,99,99,999,999,24,21,46.6,0.8,E,99999
1210010010,2003,1210010,12,001,01,2003,0701,1000,0,02,0.24,99,99,999,999,23,24.5,69.37,1.2,E,99999
1210010011,2003,1210010,12,001,01,2003,0701,1400,0,02,0.24,99,99,999,999,23,24.5,65.57,1.2,E,99999
1210010012,2003,1210010,12,001,01,2003,0701,1800,0,02,0.24,99,99,999,999,18,22,68.37,1.2,E,99999
1210010013,2003,1210010,12,001,01,2003,0701,2200,0,02,0.23,99,99,999,999,17.3,22.9,64.4,1.15,E,99999
1210010014,2003,1210010,12,001,01,2003,0702,0200,0,02,0.21,99,99,999,999,17.2,22.5,59.84,1.05,E,99999
1210010015,2003,1210010,12,001,01,2003,0702,0600,0,02,0.21,99,99,999,999,18.2,22.1,53.8,1.05,E,99999
1210010016,2003,1210010,12,001,01,2003,0702,1000,0,02,0.22,99,99,999,999,27.8,23.2,51.19,1.1,E,99999
1210010017,2003,1210010,12,001,01,2003,0805,0900,0,02,0.22,99,99,999,999,32.2,29,43.9,1.1,E,99999
1210010018,2003,1210010,12,001,01,2003,0805,1400,0,02,0.21,99,99,999,999,35.2,29.6,40.16,1.05,E,99999
1210010019,2003,1210010,12,001,01,2003,0805,2130,0,02,0.24,99,99,999,999,24,25.1,56.79,1.2,E,99999
1210010020,2003,1210010,12,001,01,2003,0902,0900,0,02,0.3,99,99,999,999,24.5,23.5,116.32,1.5,E,99999
1210010021,2003,1210010,12,001,01,2003,0902,1400,0,02,0.31,99,99,999,999,30,24.8,115.25,1.55,E,99999
1210010022,2003,1210010,12,001,01,2003,0902,2130,0,02,0.31,99,99,999,999,25.6,22.3,116.09,1.55,E,99999
1210010023,2003,1210010,12,001,01,2003,1007,0900,0,02,0.28,99,99,999,999,17.1,17.2,93.58,1.4,E,99999
1210010024,2003,1210010,12,001,01,2003,1007,1400,0,02,0.28,99,99,999,999,18,17.2,69.87,1.4,E,99999
1210010025,2003,1210010,12,001,01,2003,1007,2130,0,02,0.28,99,99,999,999,15.5,14.8,97.69,1.4,E,99999
1210010026,2003,1210010,12,001,01,2003,1114,0900,0,02,0.23,99,99,999,999,13,13.5,85.52,1.15,E,99999
1210010027,2003,1210010,12,001,01,2003,1114,1400,0,02,0.23,99,99,999,999,14,14.3,91.36,1.15,E,99999
1210010028,2003,1210010,12,001,01,2003,1114,2130,0,02,0.23,99,99,999,999,9.5,12.5,86.91,1.15,E,99999
1210010029,2003,1210010,12,001,01,2003,1209,1000,0,02,0.31,99,99,999,999,11.5,10.3,117.52,1.55,E,99999
1210010030,2003,1210010,12,001,01,2003,1209,1400,0,02,0.3,99,99,999,999,13.2,10,111.73,1.5,E,99999
1210010031,2003,1210010,12,001,01,2003,1209,1800,0,02,0.3,99,99,999,999,8.7,9.5,112.19,1.5,E,99999
1210010032,2003,1210010,12,001,01,2003,1209,2200,0,02,0.3,99,99,999,999,4.2,8.3,111.27,1.5,E,99999
1210010033,2003,1210010,12,001,01,2003,1210,0200,0,02,0.29,99,99,999,999,5.1,8.2,104.83,1.45,E,99999
1210010034,2003,1210010,12,001,01,2003,1210,0600,0,02,0.28,99,99,999,999,3.9,7.8,98.38,1.4,E,99999
1210010035,2003,1210010,12,001,01,2003,1210,1000,0,02,0.29,99,99,999,999,6.7,9.3,108.72,1.45,E,99999
1210010036,2003,1210010,12,001,01,2004,0106,0900,0,02,0.24,99,99,999,999,3.8,5.8,64.18,1.2,E,99999
1210010037,2003,1210010,12,001,01,2004,0106,1400,0,02,0.25,99,99,999,999,7,7.8,55.44,1.25,E,99999
1210010038,2003,1210010,12,001,01,2004,0106,2130,0,02,0.25,99,99,999,999,5.2,6.7,60.21,1.25,E,99999
1210010039,2003,1210010,12,001,01,2004,0206,0900,0,02,0.24,99,99,999,999,2.6,5.7,44.34,1.2,E,99999
1210010040,2003,1210010,12,001,01,2004,0206,1400,0,02,0.25,99,99,999,999,8.5,6.8,45.86,1.25,E,99999
1210010041,2003,1210010,12,001,01,2004,0206,2130,0,02,0.23,99,99,999,999,5.5,5.8,44.24,1.15,E,99999
1210010042,2003,1210010,12,001,01,2004,0302,0900,0,02,0.24,99,99,999,999,5.4,5.8,49.07,1.2,E,99999
1210010043,2003,1210010,12,001,01,2004,0302,1400,0,02,0.25,99,99,999,999,6.2,7.2,46.36,1.25,E,99999
1210010044,2003,1210010,12,001,01,2004,0302,2130,0,02,0.23,99,99,999,999,3.8,5.9,50.38,1.15,E,99999
1210020001,2003,1210020,12,001,02,2003,0417,1110,0,03,0.42,99,99,999,999,18.8,15,99999,2.1,E,99999
1210020002,2003,1210020,12,001,02,2003,0417,1510,0,03,0.48,99,99,999,999,19.8,16.5,99999,2.4,E,99999
1210020003,2003,1210020,12,001,02,2003,0513,1110,0,03,0.63,99,99,999,999,23.8,17.9,99999,3.15,E,99999
1210020004,2003,1210020,12,001,02,2003,0513,1510,0,03,0.63,99,99,999,999,21.5,18.5,99999,3.15,E,99999
1210020005,2003,1210020,12,001,02,2003,0604,1110,0,03,0.62,99,99,999,999,23.5,20.4,99999,3.1,E,99999
1210020006,2003,1210020,12,001,02,2003,0604,1510,0,03,0.62,99,99,999,999,21,19.7,99999,3.1,E,99999
1210020007,2003,1210020,12,001,02,2003,0701,0900,0,03,0.63,99,99,999,999,22,23.8,99999,3.15,E,99999
1210020008,2003,1210020,12,001,02,2003,0701,1425,0,03,0.64,99,99,999,999,23.8,23.2,99999,3.2,E,99999
1210020009,2003,1210020,12,001,02,2003,0805,1125,0,03,0.59,99,99,999,999,34.8,29.7,99999,2.95,E,99999
1210020010,2003,1210020,12,001,02,2003,0805,1315,0,03,0.59,99,99,999,999,31.2,29.5,99999,2.95,E,99999
1210020011,2003,1210020,12,001,02,2003,0902,1120,0,03,0.56,99,99,999,999,29.2,23.6,99999,2.8,E,99999
1210020012,2003,1210020,12,001,02,2003,0902,1515,0,03,0.48,99,99,999,999,28.7,23.8,99999,2.4,E,99999
1210020013,2003,1210020,12,001,02,2003,1007,1100,0,03,0.36,99,99,999,999,19,17.6,99999,1.8,E,99999
1210020014,2003,1210020,12,001,02,2003,1007,1515,0,03,0.53,99,99,999,999,17.6,17,99999,2.65,E,99999
1210020015,2003,1210020,12,001,02,2003,1114,1130,0,03,0.53,99,99,999,999,15.2,14,99999,2.65,E,99999
1210020016,2003,1210020,12,001,02,2003,1114,1515,0,03,0.49,99,99,999,999,15.2,13.2,99999,2.45,E,99999
1210020017,2003,1210020,12,001,02,2003,1209,0900,0,03,0.56,99,99,999,999,10.2,9.8,99999,2.8,E,99999
1210020018,2003,1210020,12,001,02,2003,1209,1425,0,03,0.5,99,99,999,999,10.4,8.9,99999,2.5,E,99999
1210020019,2003,1210020,12,001,02,2004,0106,1120,0,03,0.63,99,99,999,999,7,7.6,99999,3.15,E,99999
1210020020,2003,1210020,12,001,02,2004,0106,1515,0,03,0.63,99,99,999,999,8.5,6.8,99999,3.15,E,99999
1210020021,2003,1210020,12,001,02,2004,0206,1130,0,03,0.63,99,99,999,999,5.8,7.2,99999,3.15,E,99999
1210020022,2003,1210020,12,001,02,2004,0206,1515,0,03,0.63,99,99,999,999,7.8,6.4,99999,3.15,E,99999
1210020023,2003,1210020,12,001,02,2004,0302,1100,0,03,0.63,99,99,999,999,4.8,7.6,99999,3.15,E,99999
1210020024,2003,1210020,12,001,02,2004,0302,1515,0,03,0.63,99,99,999,999,9.2,8.2,99999,3.15,E,99999
1210030001,2003,1210030,12,001,51,2003,0417,0900,0,02,0.59,99,99,999,999,17,13.1,118.27,2.95,E,99999
1210030002,2003,1210030,12,001,51,2003,0417,1400,0,02,0.59,99,99,999,999,26.1,16.8,115.97,2.95,E,99999
1210030003,2003,1210030,12,001,51,2003,0513,0900,0,02,0.53,99,99,999,999,22.1,14.8,106.62,2.65,E,99999
1210030004,2003,1210030,12,001,51,2003,0513,1400,0,02,0.52,99,99,999,999,24.2,16.3,107.51,2.6,E,99999
1210030005,2003,1210030,12,001,51,2003,0604,0900,0,02,0.47,99,99,999,999,22.3,19.8,92.69,2.35,E,99999
1210030006,2003,1210030,12,001,51,2003,0604,1400,0,02,0.46,99,99,999,999,22.8,19.6,77.15,2.3,E,99999
1210030007,2003,1210030,12,001,51,2003,0701,0900,0,02,0.52,99,99,999,999,22,22.3,104.8,2.6,E,99999
1210030008,2003,1210030,12,001,51,2003,0701,1500,0,02,0.5,99,99,999,999,22.8,22.9,96.54,2.5,E,99999
1210030009,2003,1210030,12,001,51,2003,0805,0900,0,02,0.45,99,99,999,999,30.3,27.6,64.21,2.25,E,99999
1210030010,2003,1210030,12,001,51,2003,0805,1400,0,02,0.45,99,99,999,999,36,29.8,69.27,2.25,E,99999
1210030011,2003,1210030,12,001,51,2003,0902,0900,0,02,0.59,99,99,999,999,26.4,21.3,123.68,2.95,E,99999
1210030012,2003,1210030,12,001,51,2003,0902,1400,0,02,0.59,99,99,999,999,32.8,23.4,123.18,2.95,E,99999
1210030013,2003,1210030,12,001,51,2003,1007,0900,0,02,0.54,99,99,999,999,20.1,14.6,110.18,2.7,E,99999
1210030014,2003,1210030,12,001,51,2003,1007,1400,0,02,0.54,99,99,999,999,19.9,16.2,112.13,2.7,E,99999
1210030015,2003,1210030,12,001,51,2003,1114,0900,0,02,0.57,99,99,999,999,12.4,11.1,113.65,2.85,E,99999
1210030016,2003,1210030,12,001,51,2003,1114,1400,0,02,0.57,99,99,999,999,15.1,13.9,117.55,2.85,E,99999
1210030017,2003,1210030,12,001,51,2003,1209,0900,0,02,0.61,99,99,999,999,7.6,7.4,130.17,3.05,E,99999
1210030018,2003,1210030,12,001,51,2003,1209,1500,0,02,0.61,99,99,999,999,10.3,8.5,131.46,3.05,E,99999
1210030019,2003,1210030,12,001,51,2004,0106,0900,0,02,0.48,99,99,999,999,2.3,5.5,76.72,2.4,E,99999
1210030020,2003,1210030,12,001,51,2004,0106,1400,0,02,0.49,99,99,999,999,10.2,6.8,78.62,2.45,E,99999
1210030021,2003,1210030,12,001,51,2004,0206,0900,0,02,0.45,99,99,999,999,3.3,3.9,54.17,2.25,E,99999
1210030022,2003,1210030,12,001,51,2004,0206,1400,0,02,0.46,99,99,999,999,8.8,6,64.56,2.3,E,99999
1210030023,2003,1210030,12,001,51,2004,0302,0900,0,02,0.47,99,99,999,999,3.4,5.2,65.31,2.35,E,99999
1210030024,2003,1210030,12,001,51,2004,0302,1400,0,02,0.48,99,99,999,999,9.1,6,75.12,2.4,E,99999
1210040001,2003,1210040,12,001,52,2003,0417,1000,0,02,0.6,99,99,999,999,24.3,14.5,94.12,3,E,99999
1210040002,2003,1210040,12,001,52,2003,0417,1455,0,02,0.59,99,99,999,999,25.1,15,91.71,2.95,E,99999
1210040003,2003,1210040,12,001,52,2003,0417,2000,0,02,0.59,99,99,999,999,18,14.1,96.75,2.95,E,99999
1210040004,2003,1210040,12,001,52,2003,0513,1000,0,02,0.52,99,99,999,999,22.9,16.5,78.12,2.6,E,99999
1210040005,2003,1210040,12,001,52,2003,0513,1455,0,02,0.52,99,99,999,999,24.3,16.6,85.61,2.6,E,99999
1210040006,2003,1210040,12,001,52,2003,0513,2000,0,02,0.51,99,99,999,999,19,15.2,80.69,2.55,E,99999
1210040007,2003,1210040,12,001,52,2003,0604,1000,0,02,0.47,99,99,999,999,23.1,21,60.69,2.35,E,99999
1210040008,2003,1210040,12,001,52,2003,0604,1455,0,02,0.46,99,99,999,999,21.2,19.8,61.16,2.3,E,99999
1210040009,2003,1210040,12,001,52,2003,0604,2000,0,02,0.45,99,99,999,999,18.3,18.7,55.21,2.25,E,99999
1210040010,2003,1210040,12,001,52,2003,0701,1000,0,02,0.5,99,99,999,999,22.2,23.9,75.56,2.5,E,99999
1210040011,2003,1210040,12,001,52,2003,0701,1400,0,02,0.5,99,99,999,999,21.7,23.5,75.92,2.5,E,99999
1210040012,2003,1210040,12,001,52,2003,0701,1800,0,02,0.49,99,99,999,999,19.8,22.1,70.89,2.45,E,99999
1210040013,2003,1210040,12,001,52,2003,0701,2200,0,02,0.48,99,99,999,999,18,19.8,71.31,2.4,E,99999
1210040014,2003,1210040,12,001,52,2003,0702,0200,0,02,0.47,99,99,999,999,18.1,21.3,70.16,2.35,E,99999
1210040015,2003,1210040,12,001,52,2003,0702,0600,0,02,0.46,99,99,999,999,19,21.5,66.23,2.3,E,99999
1210040016,2003,1210040,12,001,52,2003,0702,1000,0,02,0.46,99,99,999,999,24.1,22.7,70.01,2.3,E,99999
1210040017,2003,1210040,12,001,52,2003,0805,1000,0,02,0.45,99,99,999,999,32,28.9,53.87,2.25,E,99999
1210040018,2003,1210040,12,001,52,2003,0805,1455,0,02,0.45,99,99,999,999,32.3,29.6,61.62,2.25,E,99999
1210040019,2003,1210040,12,001,52,2003,0805,2000,0,02,0.47,99,99,999,999,24.2,25.5,72.72,2.35,E,99999
1210040020,2003,1210040,12,001,52,2003,0902,1000,0,02,0.61,99,99,999,999,28.2,22.4,117.57,3.05,E,99999
1210040021,2003,1210040,12,001,52,2003,0902,1455,0,02,0.61,99,99,999,999,33,22.6,116.26,3.05,E,99999
1210040022,2003,1210040,12,001,52,2003,0902,2000,0,02,0.6,99,99,999,999,25.2,22.2,115.3,3,E,99999
1210040023,2003,1210040,12,001,52,2003,1007,1000,0,02,0.56,99,99,999,999,18.7,15.8,101.21,2.8,E,99999
1210040024,2003,1210040,12,001,52,2003,1007,1455,0,02,0.56,99,99,999,999,18.2,16.1,100.55,2.8,E,99999
1210040025,2003,1210040,12,001,52,2003,1007,2000,0,02,0.56,99,99,999,999,15.5,14.3,102.07,2.8,E,99999
1210040026,2003,1210040,12,001,52,2003,1114,1000,0,02,0.54,99,99,999,999,14.2,12.5,83.5,2.7,E,99999
1210040027,2003,1210040,12,001,52,2003,1114,1455,0,02,0.54,99,99,999,999,17,13.2,84.82,2.7,E,99999
1210040028,2003,1210040,12,001,52,2003,1114,2000,0,02,0.54,99,99,999,999,10,12,91,2.7,E,99999
1210040029,2003,1210040,12,001,52,2003,1209,1000,0,02,0.59,99,99,999,999,10.8,7.7,107.08,2.95,E,99999
1210040030,2003,1210040,12,001,52,2003,1209,1400,0,02,0.59,99,99,999,999,10.3,8,107,2.95,E,99999
1210040031,2003,1210040,12,001,52,2003,1209,1800,0,02,0.59,99,99,999,999,7.3,7.8,103.89,2.95,E,99999
1210040032,2003,1210040,12,001,52,2003,1209,2200,0,02,0.58,99,99,999,999,5.5,7.1,103.54,2.9,E,99999
1210040033,2003,1210040,12,001,52,2003,1210,0200,0,02,0.57,99,99,999,999,5.8,7.2,101.84,2.85,E,99999
1210040034,2003,1210040,12,001,52,2003,1210,0600,0,02,0.55,99,99,999,999,3.3,7,98.56,2.75,E,99999
1210040035,2003,1210040,12,001,52,2003,1210,1000,0,02,0.56,99,99,999,999,7.9,7.1,100.01,2.8,E,99999
1210040036,2003,1210040,12,001,52,2004,0106,1000,0,02,0.46,99,99,999,999,5.8,5.6,57.17,2.3,E,99999
1210040037,2003,1210040,12,001,52,2004,0106,1455,0,02,0.47,99,99,999,999,8.7,7.4,59.61,2.35,E,99999
1210040038,2003,1210040,12,001,52,2004,0106,2000,0,02,0.47,99,99,999,999,5.3,6.4,61.78,2.35,E,99999
1210040039,2003,1210040,12,001,52,2004,0206,1000,0,02,0.43,99,99,999,999,6.1,5,48.89,2.15,E,99999
1210040040,2003,1210040,12,001,52,2004,0206,1455,0,02,0.43,99,99,999,999,10.3,6.2,57.35,2.15,E,99999
1210040041,2003,1210040,12,001,52,2004,0206,2000,0,02,0.44,99,99,999,999,5.4,5,57.74,2.2,E,99999
1210040042,2003,1210040,12,001,52,2004,0302,1000,0,02,0.43,99,99,999,999,7.4,6.2,49.42,2.15,E,99999
1210040043,2003,1210040,12,001,52,2004,0302,1455,0,02,0.44,99,99,999,999,9.3,6.5,58.97,2.2,E,99999
1210040044,2003,1210040,12,001,52,2004,0302,2000,0,02,0.45,99,99,999,999,4.5,6.1,60.59,2.25,E,99999
1210050001,2003,1210050,12,001,53,2003,0417,1030,0,02,0.68,99,99,999,999,20,15.8,130.14,3.4,E,99999
1210050002,2003,1210050,12,001,53,2003,0417,1450,0,02,0.62,99,99,999,999,19.5,17.1,115.88,3.1,E,99999
1210050003,2003,1210050,12,001,53,2003,0417,2000,0,02,0.84,99,99,999,999,16.3,14.5,146.08,4.2,E,99999
1210050004,2003,1210050,12,001,53,2003,0513,1030,0,02,0.82,99,99,999,999,22.2,18.9,59.23,4.1,E,99999
1210050005,2003,1210050,12,001,53,2003,0513,1450,0,02,0.82,99,99,999,999,22.8,18.3,82.13,4.1,E,99999
1210050006,2003,1210050,12,001,53,2003,0513,2000,0,02,0.78,99,99,999,999,17.1,17.2,152.78,3.9,E,99999
1210050007,2003,1210050,12,001,53,2003,0604,1030,0,02,0.81,99,99,999,999,23.6,20.5,54.29,4.05,E,99999
