,レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,採取_年,採取_月日,採取_時分,調査区分コード,採取位置コード,採取水深(m),天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度_C,透明度(m),地点統一番号,カドミウム_C,カドミウム(mg/l),全シアン_C,全シアン(mg/l),鉛_C,鉛(mg/l),六価クロム_C,六価クロム(mg/l),砒素_C,砒素(mg/l),総水銀_C,総水銀(mg/l),アルキル水銀_C,アルキル水銀(mg/l),PCB_C,PCB(mg/l),有機リン_C,有機リン(mg/l),ジクロロメタン_C,ジクロロメタン(mg/l),四塩化炭素_C,四塩化炭素(mg/l),1，2-ジクロロエタン_C,1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン_C,1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン_C,シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン_C,1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン_C,1，1，2-トリクロロエタン(mg/l),トリクロロエチレン_C,トリクロロエチレン(mg/l),テトラクロロエチレン_C,テトラクロロエチレン(mg/l),1，3-ジクロロプロペン_C,1，3-ジクロロプロペン(mg/l),チウラム_C,チウラム(mg/l),シマンジン_C,シマンジン(mg/l),チオベンカルプ_C,チオベンカルプ(mg/l),ベンゼン_C,ベンゼン(mg/l),セレン_C,セレン(mg/l),亜硝酸性窒素_C,亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素_C,硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素_C,ふっ素(mg/l),ほう素_C,ほう素(mg/l),pH_C,pH,DO_C,DO(mg/l),BOD_C,BOD(mg/l),COD_C,COD(mg/l),SS_C,SS(mg/l),大腸菌群数_C,大腸菌群数(MPN/100ml),n-ヘキサン抽出物質_C,n-ヘキサン抽出物質(mg/l)
0,1210010001,1981,1210010,12,1,1,1981,420,820.0,2,1.0,0.4,2.0,,,,18.0,13.4,150.65,2.4,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.2,#,9.5,#,5.1,#,6.6,#,110.0,#,79000.0,,
1,1210010002,1981,1210010,12,1,1,1981,420,1100.0,2,1.0,0.4,2.0,,,,19.0,14.3,111.03,2.1,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.2,#,8.4,#,6.1,#,6.8,#,92.0,,,,
2,1210010003,1981,1210010,12,1,1,1981,420,1710.0,2,1.0,0.3,2.0,,,,18.0,15.0,87.97,1.9,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.2,#,8.5,#,3.7,#,4.4,#,33.0,,,,
3,1210010004,1981,1210010,12,1,1,1981,512,805.0,2,1.0,0.5,10.0,,,,15.0,12.0,191.38,2.65,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,6.9,#,9.5,#,1.5,#,4.0,#,48.0,#,11000.0,,
4,1210010005,1981,1210010,12,1,1,1981,512,1115.0,2,1.0,0.5,10.0,,,,19.0,14.0,191.38,2.65,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,6.9,#,9.4,#,1.8,#,4.8,#,63.0,,,,
5,1210010006,1981,1210010,12,1,1,1981,512,1730.0,2,1.0,0.5,10.0,,,,15.0,13.0,199.94,2.7,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,6.9,#,9.3,#,2.3,#,5.3,#,46.0,,,,
6,1210010007,1981,1210010,12,1,1,1981,602,810.0,2,1.0,0.3,2.0,,,,17.2,15.8,67.28,1.75,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,6.9,#,8.0,#,2.9,#,4.6,#,10.0,#,79000.0,,
7,1210010008,1981,1210010,12,1,1,1981,602,1340.0,2,1.0,0.3,2.0,,,,24.5,18.0,53.96,1.6,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.1,#,8.5,#,2.8,#,3.0,#,15.0,,,,
8,1210010009,1981,1210010,12,1,1,1981,602,1705.0,2,1.0,0.3,2.0,,,,21.2,18.0,55.77,1.62,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.1,#,8.2,#,2.4,#,4.1,#,54.0,,,,
9,1210010010,1981,1210010,12,1,1,1981,707,810.0,2,1.0,0.5,4.0,,,,28.0,20.5,191.38,2.65,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.2,#,7.6,#,1.9,#,5.0,#,42.0,#,240000.0,,
