,レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,採取_年,採取_月日,採取_時分,調査区分コード,採取位置コード,採取水深(m),天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度_C,透明度(m),地点統一番号,カドミウム_C,カドミウム(mg/l),全シアン_C,全シアン(mg/l),鉛_C,鉛(mg/l),六価クロム_C,六価クロム(mg/l),砒素_C,砒素(mg/l),総水銀_C,総水銀(mg/l),アルキル水銀_C,アルキル水銀(mg/l),PCB_C,PCB(mg/l),有機リン_C,有機リン(mg/l),ジクロロメタン_C,ジクロロメタン(mg/l),四塩化炭素_C,四塩化炭素(mg/l),1，2-ジクロロエタン_C,1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン_C,1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン_C,シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン_C,1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン_C,1，1，2-トリクロロエタン(mg/l),トリクロロエチレン_C,トリクロロエチレン(mg/l),テトラクロロエチレン_C,テトラクロロエチレン(mg/l),1，3-ジクロロプロペン_C,1，3-ジクロロプロペン(mg/l),チウラム_C,チウラム(mg/l),シマンジン_C,シマンジン(mg/l),チオベンカルプ_C,チオベンカルプ(mg/l),ベンゼン_C,ベンゼン(mg/l),セレン_C,セレン(mg/l),亜硝酸性窒素_C,亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素_C,硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素_C,ふっ素(mg/l),ほう素_C,ほう素(mg/l),pH_C,pH,DO_C,DO(mg/l),BOD_C,BOD(mg/l),COD_C,COD(mg/l),SS_C,SS(mg/l),大腸菌群数_C,大腸菌群数(MPN/100ml),n-ヘキサン抽出物質_C,n-ヘキサン抽出物質(mg/l),全窒素_C,全窒素(mg/l),全燐_C,全燐(mg/l)
0,1210010001,1991,1210010,12,1,1,1991,416,900.0,2,1,4.2,2.0,,,,19.0,13.7,,2.1,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.002,<,0.0005,,,,,,,,,,,,,,,,,,,,,#,7.0,#,9.7,#,1.0,#,2.3,#,28.0,#,17000.0,,,#,1.9,#,0.1
1,1210010002,1991,1210010,12,1,1,1991,416,1405.0,2,1,4.0,2.0,,,,24.0,14.3,,2.0,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.0,#,9.8,#,1.2,#,2.5,#,27.0,,,,,,,,
2,1210010003,1991,1210010,12,1,1,1991,416,2150.0,2,1,4.1,2.0,,,,13.5,14.0,,2.05,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,6.9,#,10.0,#,1.5,#,2.5,#,29.0,,,,,,,,
3,1210010004,1991,1210010,12,1,1,1991,514,900.0,2,1,3.3,2.0,,,,21.8,18.8,,1.65,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.002,<,0.0005,,,,,,,,,,,,,,,,,,,,,#,7.3,#,8.6,#,2.1,#,3.7,#,20.0,#,7900.0,,,#,2.2,#,0.15
4,1210010005,1991,1210010,12,1,1,1991,514,1415.0,2,1,3.1,2.0,,,,24.9,21.0,,1.55,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.3,#,9.1,#,2.5,#,4.2,#,16.0,,,,,,,,
5,1210010006,1991,1210010,12,1,1,1991,514,2140.0,2,1,3.3,2.0,,,,17.0,19.7,,1.65,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.2,#,8.3,#,3.1,#,4.6,#,27.0,,,,,,,,
6,1210010007,1991,1210010,12,1,1,1991,611,855.0,2,1,2.6,2.0,,,,28.3,22.9,,1.3,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.002,<,0.0005,,,,,,,,,,,,,,,,,,,,,#,7.2,#,8.3,#,1.6,#,4.3,#,33.0,#,7900.0,,,#,1.8,#,0.17
7,1210010008,1991,1210010,12,1,1,1991,611,1405.0,2,1,2.5,2.0,,,,31.4,26.0,,1.25,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,9.2,#,2.1,#,4.6,#,33.0,,,,,,,,
8,1210010009,1991,1210010,12,1,1,1991,611,2135.0,2,1,2.8,2.0,,,,22.8,24.6,,1.4,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.3,#,8.3,#,2.0,#,4.4,#,29.0,,,,,,,,
9,1210010010,1991,1210010,12,1,1,1991,709,1000.0,2,1,3.8,4.0,,,,29.5,25.4,,1.9,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,7.0,#,1.3,#,4.2,#,48.0,#,4900.0,,,#,2.5,#,0.19
