,西暦年度,絶対番号,県コード_地点統一番号_x,水域コード_地点統一番号_x,地点コード_地点統一番号_x,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値,地点統一番号_x,ＲＬＳ識別コード,水系コード,地点新設等コード,県コード_地点統一番号_y,水域コード_地点統一番号_y,地点コード_地点統一番号_y,ＣＯＤ等基準点識別コード,水域名称_漢字,水域名称_カタカナ,水域名称_ローマ字,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,類型,達成期間,指定区分,類型指定年_ＣＯＤ等,類型指定月_ＣＯＤ等,類型指定日_ＣＯＤ等,特例１,特例２,特例３,特例４,特例５,ＣＯＤの測定方法,県際水域コード,県際地点コード,測定中止年,測定中止月,測定中止日,測定再開年,測定再開月,測定再開日,ＮＰ測定コード,ＮＰ基準点識別コード,ＮＰ水域コード,ＮＰ水域名称_漢字,ＮＰ水域名称_カタカナ,ＮＰ水域名称_ローマ字,ＮＰ地点名称_漢字,ＮＰ地点名称_カタカナ,ＮＰ地点名称_ローマ字,ＮＰ類型,ＮＰ達成期間,ＮＰ指定区分,ＮＰ類型指定年,ＮＰ類型指定月,ＮＰ類型指定日,Ｎ指定の有無,Ｐ指定の有無,Ｎ暫定基準値,Ｐ暫定基準値,ＮＰ基準の特例,Ｎ測定方法,Ｐ測定方法,ＮＰ県際水域コード,ＮＰ県際地点コード,ＮＰ測定中止年,ＮＰ測定中止月,ＮＰ測定中止日,ＮＰ測定再開年,ＮＰ測定再開月,ＮＰ測定再開日,水道の取水地点,水質年鑑コード,推定絶対番号,推定水系コード,備考,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,地点統一番号_y
0,1971,110011,,,,0,,,,,,,,,,,,,,,<,0.5,#,2.4,5.0,36.0,#,0.6,#,1.4,2.0,9.0,#,0.8,#,0.8,#,0.8,<,0.5,#,3.6,,36.0,<,0.5,#,1.1,,9.0,#,0.7,#,0.8,#,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,留辺志部川合流前,ルベシベガワゴウリユウマエ,,AA,1,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0010,110010.0,81007.0,,43.83777778,142.78472222, 43:50:16,142:47:05,
1,1971,110021,,,,0,,,,,,,,,,,,,,,<,0.5,#,1.6,0.0,36.0,#,0.5,#,1.3,0.0,9.0,#,1.0,#,1.0,#,1.3,<,0.5,#,2.3,,36.0,<,0.5,#,1.0,,9.0,#,0.7,#,0.7,#,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,アサヒカワシジヨウスイシユスイグチ,,A,1,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0020,110020.0,81007.0,,43.81805556,142.42555556, 43:49:05,142:25:32,
2,1971,110041,,,,0,,,,,,,,,,,,,,,#,0.9,#,14.0,23.0,54.0,#,1.4,#,13.0,6.0,9.0,#,5.8,#,4.5,#,7.4,<,0.5,#,22.0,,54.0,<,0.5,#,5.9,,9.0,#,2.5,#,1.4,#,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,納内橋,オサムナイバシ,,B,2,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0030,111790.0,81007.0,,43.71583333,142.13472222, 43:42:57,142:08:05,
3,1971,110051,,,,0,,,,,,,,,,,,,,,#,1.2,#,7.2,6.0,12.0,#,2.0,#,5.2,2.0,3.0,#,3.4,#,3.1,#,5.2,<,0.5,#,13.0,,12.0,<,0.5,#,3.6,,3.0,#,1.5,<,0.5,#,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,イノウ,,B,2,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0031,,,,43.78638889,142.29583333, 43:47:11,142:17:45,
4,1971,110081,,,,0,,,,,,,,,,,,,,,#,0.9,#,3.5,4.0,36.0,#,1.5,#,3.3,1.0,9.0,#,2.3,#,2.4,#,2.5,<,0.5,#,32.0,,36.0,<,0.5,#,8.4,,9.0,#,3.4,#,2.5,#,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,奈井江大橋,ナイエオオハシ,,B,2,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0041,110090.0,81007.0,,43.42944444,141.84416667, 43:25:46,141:50:39,
5,1971,110091,,,,0,,,,,,,,,,,,,,,#,0.5,#,4.0,3.0,54.0,#,1.2,#,3.5,1.0,9.0,#,2.2,#,2.3,#,2.6,<,0.5,#,26.0,,54.0,<,0.5,#,6.9,,9.0,#,2.9,#,3.4,#,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,砂川橋,スナガワバシ,,B,2,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0042,113460.0,81007.0,,43.50416667,141.89666667, 43:30:15,141:53:48,
6,1971,110101,,,,0,,,,,,,,,,,,,,,#,1.1,#,5.6,12.0,36.0,#,1.5,#,4.9,3.0,9.0,#,2.9,#,2.6,#,3.8,<,0.5,#,15.0,,36.0,<,0.5,#,4.1,,9.0,#,2.5,#,2.6,#,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,石狩川橋,イシカリガワバシ,,B,2,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0043,110100.0,81007.0,,43.56055556,141.87833333, 43:33:38,141:52:42,
7,1971,110111,,,,0,,,,,,,,,,,,,,,#,1.0,#,3.2,1.0,54.0,#,1.4,#,2.7,0.0,9.0,#,2.0,#,2.0,#,2.2,<,0.5,#,19.0,,54.0,<,0.5,#,5.1,,9.0,#,2.6,#,2.9,#,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,石狩大橋,イシカリオオハシ,,B,2,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0050,110060.0,81007.0,,43.12361111,141.54305556, 43:07:25,141:32:35,
8,1971,110131,,,,0,,,,,,,,,,,,,,,#,0.8,#,3.1,1.0,36.0,#,1.0,#,2.7,0.0,9.0,#,2.0,#,2.1,#,2.3,<,0.5,#,16.0,,36.0,<,0.5,#,4.4,,9.0,#,2.1,#,2.6,#,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,石狩河口橋,イシカリカコウバシ,,B,2,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0070,110070.0,81007.0,,43.22888889,141.35250000, 43:13:44,141:21:09,
9,1971,110141,,,,0,,,,,,,,,,,,,,,<,0.5,#,2.7,0.0,36.0,#,0.9,#,1.8,0.0,9.0,#,1.4,#,1.3,#,1.6,<,0.5,#,42.0,,36.0,<,0.5,#,11.0,,9.0,#,3.9,#,3.4,#,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,空知大橋,ソラチオオハシ,,B,1,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0080,111970.0,81007.0,,43.54805556,141.91500000, 43:32:53,141:54:54,
