,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
51091,1461001,中の瀬北,ナカノセキタ,,35.42111111,139.74555556, 35:25:16,139:44:44,4.0,,,,16.6,14.2,,30.0,2.0,1989,410,937.0,1989-04-10 09:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,11.0,,4.9,,790.0,,1.3,0.061,5.0,1
51092,1461001,中の瀬北,ナカノセキタ,,35.42111111,139.74555556, 35:25:16,139:44:44,0.0,,,,,13.8,,,,1989,410,937.0,1989-04-10 09:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.4,,1.3,,,,0.52,0.042,29.0,5
51094,1461001,中の瀬北,ナカノセキタ,,35.42111111,139.74555556, 35:25:16,139:44:44,2.0,,,,17.5,16.0,,30.0,3.5,1989,508,945.0,1989-05-08 09:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.5,,2.7,,8.0,,1.2,0.061,5.0,1
51095,1461001,中の瀬北,ナカノセキタ,,35.42111111,139.74555556, 35:25:16,139:44:44,0.0,,,,,15.5,,,,1989,508,945.0,1989-05-08 09:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.1,,1.8,,,,0.55,0.047,29.0,5
51097,1461001,中の瀬北,ナカノセキタ,,35.42111111,139.74555556, 35:25:16,139:44:44,4.0,,,,21.8,19.9,,31.0,2.5,1989,605,930.0,1989-06-05 09:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.6,,4.1,,0.0,,0.9,0.046,5.0,1
51098,1461001,中の瀬北,ナカノセキタ,,35.42111111,139.74555556, 35:25:16,139:44:44,0.0,,,,,16.0,,,,1989,605,930.0,1989-06-05 09:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,5.6,,1.7,,,,0.61,0.083,30.0,5
51100,1461001,中の瀬北,ナカノセキタ,,35.42111111,139.74555556, 35:25:16,139:44:44,10.0,,,,18.0,19.9,,30.0,1.8,1989,703,920.0,1989-07-03 09:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.7,,4.7,,3400.0,,1.8,0.091,5.0,1
51101,1461001,中の瀬北,ナカノセキタ,,35.42111111,139.74555556, 35:25:16,139:44:44,0.0,,,,,16.7,,,,1989,703,920.0,1989-07-03 09:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,5.7,,1.1,,,,0.32,0.039,29.0,5
51103,1461001,中の瀬北,ナカノセキタ,,35.42111111,139.74555556, 35:25:16,139:44:44,1.0,,,,26.7,24.5,,30.0,3.5,1989,807,930.0,1989-08-07 09:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.5,,2.5,,49.0,,0.64,0.054000000000000006,5.0,1
51104,1461001,中の瀬北,ナカノセキタ,,35.42111111,139.74555556, 35:25:16,139:44:44,0.0,,,,,21.1,,,,1989,807,930.0,1989-08-07 09:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,4.6,,1.3,,,,0.36,0.09300000000000001,29.0,5
