,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
50479,1460101,京浜運河千鳥町,ケイヒンウンガチドリチヨウ,,35.50444444,139.75333333, 35:30:16,139:45:12,4.0,,,,16.9,16.2,,14.0,1.5,1989,410,1130.0,1989-04-10 11:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,12.0,,5.4,,1000.0,,2.5,0.12,5.0,1
50480,1460101,京浜運河千鳥町,ケイヒンウンガチドリチヨウ,,35.50444444,139.75333333, 35:30:16,139:45:12,0.0,,,,,13.6,,,,1989,410,1130.0,1989-04-10 11:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.8,,2.0,,,,0.87,0.068,13.0,3
50482,1460101,京浜運河千鳥町,ケイヒンウンガチドリチヨウ,,35.50444444,139.75333333, 35:30:16,139:45:12,2.0,,,,15.9,17.6,,14.0,2.7,1989,508,1105.0,1989-05-08 11:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.0,,3.5,,79.0,,2.4,0.09699999999999999,5.0,1
50483,1460101,京浜運河千鳥町,ケイヒンウンガチドリチヨウ,,35.50444444,139.75333333, 35:30:16,139:45:12,0.0,,,,,15.7,,,,1989,508,1105.0,1989-05-08 11:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.3,,2.7,,,,1.2,0.075,13.0,3
50485,1460101,京浜運河千鳥町,ケイヒンウンガチドリチヨウ,,35.50444444,139.75333333, 35:30:16,139:45:12,4.0,,,,23.8,20.8,,14.2,1.9,1989,605,1110.0,1989-06-05 11:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.9,,4.4,,49.0,,2.1,0.11,5.0,1
50486,1460101,京浜運河千鳥町,ケイヒンウンガチドリチヨウ,,35.50444444,139.75333333, 35:30:16,139:45:12,0.0,,,,,16.2,,,,1989,605,1110.0,1989-06-05 11:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,2.6,,2.3,,,,1.1,0.13,13.2,3
50488,1460101,京浜運河千鳥町,ケイヒンウンガチドリチヨウ,,35.50444444,139.75333333, 35:30:16,139:45:12,10.0,,,,17.0,20.6,,14.0,1.7,1989,703,1115.0,1989-07-03 11:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.2,,4.6,,4900.0,,3.0,0.12,5.0,1
50489,1460101,京浜運河千鳥町,ケイヒンウンガチドリチヨウ,,35.50444444,139.75333333, 35:30:16,139:45:12,0.0,,,,,18.1,,,,1989,703,1115.0,1989-07-03 11:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,2.6,,1.8,,,,0.94,0.12,13.0,3
50491,1460101,京浜運河千鳥町,ケイヒンウンガチドリチヨウ,,35.50444444,139.75333333, 35:30:16,139:45:12,4.0,,,,28.9,26.4,,14.6,1.2,1989,811,1142.0,1989-08-11 11:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,9.7,,5.5,,3300.0,,1.9,0.13,5.0,1
50492,1460101,京浜運河千鳥町,ケイヒンウンガチドリチヨウ,,35.50444444,139.75333333, 35:30:16,139:45:12,0.0,,,,,23.1,,,,1989,811,1142.0,1989-08-11 11:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.7,,2.0,,,,0.88,0.09699999999999999,13.6,3
50494,1460101,京浜運河千鳥町,ケイヒンウンガチドリチヨウ,,35.50444444,139.75333333, 35:30:16,139:45:12,4.0,,,,25.7,26.0,,14.1,2.6,1989,905,1157.0,1989-09-05 11:57:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.9,,3.4,,17000.0,,2.1,0.13,5.0,1
