,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
50551,1460103,京浜運河扇町,ケイヒンウンガオオギチヨウ,,35.49194444,139.72111111, 35:29:31,139:43:16,4.0,,,,17.3,16.0,,13.0,1.3,1989,410,1030.0,1989-04-10 10:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,12.0,,7.3,,330.0,,2.5,0.16,5.0,1
50552,1460103,京浜運河扇町,ケイヒンウンガオオギチヨウ,,35.49194444,139.72111111, 35:29:31,139:43:16,0.0,,,,,13.7,,,,1989,410,1030.0,1989-04-10 10:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.2,,2.3,,,,1.0,0.067,12.0,2
50554,1460103,京浜運河扇町,ケイヒンウンガオオギチヨウ,,35.49194444,139.72111111, 35:29:31,139:43:16,2.0,,,,17.9,17.5,,13.1,2.7,1989,508,1040.0,1989-05-08 10:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,9.0,,4.2,,49.0,,2.4,0.095,5.0,1
50555,1460103,京浜運河扇町,ケイヒンウンガオオギチヨウ,,35.49194444,139.72111111, 35:29:31,139:43:16,0.0,,,,,15.5,,,,1989,508,1040.0,1989-05-08 10:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.6,,2.6,,,,1.1,0.08199999999999999,12.1,2
50557,1460103,京浜運河扇町,ケイヒンウンガオオギチヨウ,,35.49194444,139.72111111, 35:29:31,139:43:16,4.0,,,,22.9,20.5,,12.5,1.9,1989,605,1020.0,1989-06-05 10:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,8.9,,5.4,,49.0,,1.9,0.12,5.0,1
50558,1460103,京浜運河扇町,ケイヒンウンガオオギチヨウ,,35.49194444,139.72111111, 35:29:31,139:43:16,0.0,,,,,16.2,,,,1989,605,1020.0,1989-06-05 10:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,3.0,,2.2,,,,1.3,0.13,11.5,2
50560,1460103,京浜運河扇町,ケイヒンウンガオオギチヨウ,,35.49194444,139.72111111, 35:29:31,139:43:16,10.0,,,,16.7,20.5,,12.3,1.9,1989,703,1040.0,1989-07-03 10:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.9,,4.7,,2400.0,,3.5,0.14,5.0,1
50561,1460103,京浜運河扇町,ケイヒンウンガオオギチヨウ,,35.49194444,139.72111111, 35:29:31,139:43:16,0.0,,,,,18.4,,,,1989,703,1040.0,1989-07-03 10:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,1.8,,2.3,,,,0.9,0.14,11.3,2
50563,1460103,京浜運河扇町,ケイヒンウンガオオギチヨウ,,35.49194444,139.72111111, 35:29:31,139:43:16,4.0,,,,28.0,26.8,,13.0,0.9,1989,811,1040.0,1989-08-11 10:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,11.0,,6.7,,220000.0,,2.3,0.18,5.0,1
50564,1460103,京浜運河扇町,ケイヒンウンガオオギチヨウ,,35.49194444,139.72111111, 35:29:31,139:43:16,0.0,,,,,24.1,,,,1989,811,1040.0,1989-08-11 10:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.1,,2.2,,,,0.98,0.092,12.0,2
50566,1460103,京浜運河扇町,ケイヒンウンガオオギチヨウ,,35.49194444,139.72111111, 35:29:31,139:43:16,4.0,,,,25.3,25.8,,13.6,2.5,1989,905,1128.0,1989-09-05 11:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.6,,3.3,,33000.0,,1.8,0.13,5.0,1
50567,1460103,京浜運河扇町,ケイヒンウンガオオギチヨウ,,35.49194444,139.72111111, 35:29:31,139:43:16,0.0,,,,,24.0,,,,1989,905,1128.0,1989-09-05 11:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.6,,2.1,,,,0.85,0.1,12.6,2
