,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
50803,1460601,千鳥町沖,ヒガシオウギジマオキ,,35.48388889,139.79555556, 35:29:02,139:47:44,4.0,,,,16.1,15.0,,28.7,1.3,1989,410,935.0,1989-04-10 09:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,14.0,,7.9,,4900.0,,3.2,0.2,5.0,1
50804,1460601,千鳥町沖,ヒガシオウギジマオキ,,35.48388889,139.79555556, 35:29:02,139:47:44,0.0,,,,,13.7,,,,1989,410,935.0,1989-04-10 09:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.6,,2.1,,,,1.1,0.057999999999999996,27.7,5
50806,1460601,千鳥町沖,ヒガシオウギジマオキ,,35.48388889,139.79555556, 35:29:02,139:47:44,2.0,,,,16.3,16.2,,29.0,2.5,1989,508,927.0,1989-05-08 09:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,9.5,,4.6,,330.0,,2.1,0.1,5.0,1
50807,1460601,千鳥町沖,ヒガシオウギジマオキ,,35.48388889,139.79555556, 35:29:02,139:47:44,0.0,,,,,14.7,,,,1989,508,927.0,1989-05-08 09:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.8,,1.8,,,,0.51,0.073,28.0,5
50809,1460601,千鳥町沖,ヒガシオウギジマオキ,,35.48388889,139.79555556, 35:29:02,139:47:44,4.0,,,,20.8,19.7,,28.0,1.8,1989,605,915.0,1989-06-05 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.0,,4.4,,22.0,,1.8,0.098,5.0,1
50810,1460601,千鳥町沖,ヒガシオウギジマオキ,,35.48388889,139.79555556, 35:29:02,139:47:44,0.0,,,,,15.4,,,,1989,605,915.0,1989-06-05 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,1.9,,2.5,,,,0.83,0.13,27.0,5
50812,1460601,千鳥町沖,ヒガシオウギジマオキ,,35.48388889,139.79555556, 35:29:02,139:47:44,10.0,,,,16.5,19.8,,27.1,1.5,1989,703,930.0,1989-07-03 09:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.2,,4.7,,4900.0,,2.7,0.13,5.0,1
50813,1460601,千鳥町沖,ヒガシオウギジマオキ,,35.48388889,139.79555556, 35:29:02,139:47:44,0.0,,,,,16.9,,,,1989,703,930.0,1989-07-03 09:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,2.9,,1.3,,,,0.55,0.076,26.1,5
50815,1460601,千鳥町沖,ヒガシオウギジマオキ,,35.48388889,139.79555556, 35:29:02,139:47:44,2.0,,,,28.1,26.8,,28.4,1.0,1989,811,930.0,1989-08-11 09:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,13.0,,7.1,,24000.0,,1.7,0.16,5.0,1
50816,1460601,千鳥町沖,ヒガシオウギジマオキ,,35.48388889,139.79555556, 35:29:02,139:47:44,0.0,,,,,21.5,,,,1989,811,930.0,1989-08-11 09:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.5,,2.2,,,,0.62,0.081,27.4,5
50818,1460601,千鳥町沖,ヒガシオウギジマオキ,,35.48388889,139.79555556, 35:29:02,139:47:44,4.0,,,,24.9,25.0,,29.0,3.4,1989,905,1050.0,1989-09-05 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,7.0,,5.2,,11.0,,1.0,0.086,5.0,1
50819,1460601,千鳥町沖,ヒガシオウギジマオキ,,35.48388889,139.79555556, 35:29:02,139:47:44,0.0,,,,,18.4,,,,1989,905,1050.0,1989-09-05 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,3.1,,3.1,,,,0.49,0.098,28.0,5
50821,1460601,千鳥町沖,ヒガシオウギジマオキ,,35.48388889,139.79555556, 35:29:02,139:47:44,1.0,,,,19.7,20.2,,29.9,5.0,1989,1005,918.0,1989-10-05 09:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.6,,2.9,,10000.0,,1.3,0.096,5.0,1
50822,1460601,千鳥町沖,ヒガシオウギジマオキ,,35.48388889,139.79555556, 35:29:02,139:47:44,0.0,,,,,17.8,,,,1989,1005,918.0,1989-10-05 09:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,3.6,,1.6,,,,0.47,0.064,28.9,5
