,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
50695,1460301,夏島沖,ナツシマオキ,,35.30666667,139.64666667, 35:18:24,139:38:48,4.0,,,,16.1,14.9,,15.0,3.0,1989,410,945.0,1989-04-10 09:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,12.0,,4.0,,79.0,,1.1,0.062,5.0,1
50696,1460301,夏島沖,ナツシマオキ,,35.30666667,139.64666667, 35:18:24,139:38:48,0.0,,,,,13.4,,,,1989,410,945.0,1989-04-10 09:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.2,,2.2,,,,0.77,0.064,14.0,3
50698,1460301,夏島沖,ナツシマオキ,,35.30666667,139.64666667, 35:18:24,139:38:48,2.0,,,,18.0,15.7,,15.0,4.8,1989,508,955.0,1989-05-08 09:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.1,,2.1,,8.0,,0.91,0.042,5.0,1
50699,1460301,夏島沖,ナツシマオキ,,35.30666667,139.64666667, 35:18:24,139:38:48,0.0,,,,,15.6,,,,1989,508,955.0,1989-05-08 09:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.8,,1.7,,,,0.79,0.04,14.0,3
50701,1460301,夏島沖,ナツシマオキ,,35.30666667,139.64666667, 35:18:24,139:38:48,4.0,,,,23.2,18.0,,14.0,3.0,1989,605,948.0,1989-06-05 09:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.7,,2.7,,49.0,,0.9,0.062,5.0,1
50702,1460301,夏島沖,ナツシマオキ,,35.30666667,139.64666667, 35:18:24,139:38:48,0.0,,,,,17.9,,,,1989,605,948.0,1989-06-05 09:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,6.0,,1.5,,,,0.63,0.052000000000000005,13.0,3
50704,1460301,夏島沖,ナツシマオキ,,35.30666667,139.64666667, 35:18:24,139:38:48,10.0,,,,17.8,20.3,,14.5,1.5,1989,703,940.0,1989-07-03 09:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,7.6,,4.6,,46.0,,1.2,0.07400000000000001,5.0,1
50705,1460301,夏島沖,ナツシマオキ,,35.30666667,139.64666667, 35:18:24,139:38:48,0.0,,,,,20.3,,,,1989,703,940.0,1989-07-03 09:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.7,,4.1,,,,1.1,0.07400000000000001,13.5,3
50707,1460301,夏島沖,ナツシマオキ,,35.30666667,139.64666667, 35:18:24,139:38:48,1.0,,,,29.5,24.6,,16.0,3.0,1989,807,1000.0,1989-08-07 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.9,,2.4,,22.0,,0.64,0.065,5.0,1
50708,1460301,夏島沖,ナツシマオキ,,35.30666667,139.64666667, 35:18:24,139:38:48,0.0,,,,,22.9,,,,1989,807,1000.0,1989-08-07 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,5.5,,1.6,,,,0.45,0.052000000000000005,15.0,3
