,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
55019,1360159,夢の島大橋,ユメノシマオオハシ,,35.65527778,139.82333333, 35:39:19,139:49:24,10.0,,,,14.8,14.7,,63.0,2.2,1987,407,1013.0,1987-04-07 10:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,5.4,,8.0,2.0,,,13.0,0.49,0.0,5
55021,1360159,夢の島大橋,ユメノシマオオハシ,,35.65527778,139.82333333, 35:39:19,139:49:24,2.0,,,,22.5,19.7,,61.0,0.9,1987,508,1035.0,1987-05-08 10:35:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.8,8.9,,14.0,7.0,,,18.0,0.77,0.0,5
55023,1360159,夢の島大橋,ユメノシマオオハシ,,35.65527778,139.82333333, 35:39:19,139:49:24,1.0,,,,28.5,23.9,,62.0,1.5,1987,617,1022.0,1987-06-17 10:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,7.5,,12.0,6.0,,,13.0,0.7,0.0,5
55025,1360159,夢の島大橋,ユメノシマオオハシ,,35.65527778,139.82333333, 35:39:19,139:49:24,1.0,,,,32.5,27.9,,60.0,1.2,1987,715,1042.0,1987-07-15 10:42:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.8,8.5,,12.0,9.0,,,12.0,0.59,0.0,5
55027,1360159,夢の島大橋,ユメノシマオオハシ,,35.65527778,139.82333333, 35:39:19,139:49:24,2.0,,,,31.0,29.0,,60.0,1.0,1987,818,1024.0,1987-08-18 10:24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,6.2,,12.0,3.0,,,14.0,1.1,0.0,5
55029,1360159,夢の島大橋,ユメノシマオオハシ,,35.65527778,139.82333333, 35:39:19,139:49:24,2.0,,,,24.5,23.9,,61.0,1.3,1987,918,1032.0,1987-09-18 10:32:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.3,2.1,,7.1,3.0,,,9.3,0.57,0.0,5
55031,1360159,夢の島大橋,ユメノシマオオハシ,,35.65527778,139.82333333, 35:39:19,139:49:24,2.0,,,,21.5,21.0,,63.0,2.6,1987,1014,1023.0,1987-10-14 10:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,4.6,,7.5,1.0,,,13.0,0.46,0.0,5
55033,1360159,夢の島大橋,ユメノシマオオハシ,,35.65527778,139.82333333, 35:39:19,139:49:24,1.0,,,,14.0,15.7,,65.0,3.8,1987,1125,1048.0,1987-11-25 10:48:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.6,5.6,,5.5,2.0,,,11.0,0.5,0.0,5
55035,1360159,夢の島大橋,ユメノシマオオハシ,,35.65527778,139.82333333, 35:39:19,139:49:24,2.0,,,,7.5,12.1,,65.0,1.4,1987,1215,1015.0,1987-12-15 10:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,4.1,,8.0,3.0,,,16.0,0.37,0.0,5
55037,1360159,夢の島大橋,ユメノシマオオハシ,,35.65527778,139.82333333, 35:39:19,139:49:24,2.0,,,,8.5,12.4,,66.0,2.1,1988,127,1108.0,1988-01-27 11:08:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.6,5.7,,7.3,2.0,,,14.0,0.56,0.0,5
55039,1360159,夢の島大橋,ユメノシマオオハシ,,35.65527778,139.82333333, 35:39:19,139:49:24,16.0,,,,7.5,10.1,,64.0,1.3,1988,224,1024.0,1988-02-24 10:24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,10.0,,8.8,8.0,,,16.0,0.43,0.0,5
55041,1360159,夢の島大橋,ユメノシマオオハシ,,35.65527778,139.82333333, 35:39:19,139:49:24,1.0,,,,10.0,12.7,,63.0,1.4,1988,310,1033.0,1988-03-10 10:33:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.8,10.0,,10.0,5.0,,,23.0,0.73,0.0,5
52499,1360159,夢の島大橋,ユメノシマオオハシ,,35.65527778,139.82333333, 35:39:19,139:49:24,4.0,,,,16.0,16.3,,57.0,1.3,1988,414,1029.0,1988-04-14 10:29:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,4.6,,9.2,4.0,,,15.0,0.63,0.0,5
52501,1360159,夢の島大橋,ユメノシマオオハシ,,35.65527778,139.82333333, 35:39:19,139:49:24,4.0,,,,17.5,18.5,,64.0,1.3,1988,524,1027.0,1988-05-24 10:27:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.3,4.2,,10.0,4.0,,,12.0,0.71,0.0,5
52503,1360159,夢の島大橋,ユメノシマオオハシ,,35.65527778,139.82333333, 35:39:19,139:49:24,2.0,,,,26.0,23.8,,62.0,1.4,1988,622,1032.0,1988-06-22 10:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,7.8,,11.0,7.0,,,16.0,0.73,0.0,5
52505,1360159,夢の島大橋,ユメノシマオオハシ,,35.65527778,139.82333333, 35:39:19,139:49:24,4.0,,,,22.0,23.3,,62.0,1.9,1988,720,1050.0,1988-07-20 10:50:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.4,4.7,,8.3,6.0,,,13.0,0.82,0.0,5
52507,1360159,夢の島大橋,ユメノシマオオハシ,,35.65527778,139.82333333, 35:39:19,139:49:24,2.0,,,,30.4,26.3,,62.0,1.6,1988,818,1022.0,1988-08-18 10:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,4.3,,8.1,4.0,,,12.0,0.68,0.0,5
