,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
50983,1460701,大津湾,オオツワン,,35.27888889,139.70000000, 35:16:44,139:42:00,4.0,,,,18.0,15.0,,31.0,1.5,1989,410,1203.0,1989-04-10 12:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,12.0,,4.9,,330.0,,1.2,0.066,5.0,1
50984,1460701,大津湾,オオツワン,,35.27888889,139.70000000, 35:16:44,139:42:00,0.0,,,,,13.7,,,,1989,410,1203.0,1989-04-10 12:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.5,,1.2,,,,0.5,0.039,30.0,5
50986,1460701,大津湾,オオツワン,,35.27888889,139.70000000, 35:16:44,139:42:00,2.0,,,,20.0,16.3,,30.5,5.0,1989,508,1240.0,1989-05-08 12:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.0,,2.1,,5.0,,0.89,0.045,5.0,1
50987,1460701,大津湾,オオツワン,,35.27888889,139.70000000, 35:16:44,139:42:00,0.0,,,,,15.6,,,,1989,508,1240.0,1989-05-08 12:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.7,,1.5,,,,0.68,0.04,29.5,5
50989,1460701,大津湾,オオツワン,,35.27888889,139.70000000, 35:16:44,139:42:00,4.0,,,,24.8,19.0,,31.0,3.0,1989,605,1125.0,1989-06-05 11:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.9,,3.0,,5.0,,0.77,0.049,5.0,1
50990,1460701,大津湾,オオツワン,,35.27888889,139.70000000, 35:16:44,139:42:00,0.0,,,,,17.0,,,,1989,605,1125.0,1989-06-05 11:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,6.5,,0.9,,,,0.39,0.040999999999999995,30.0,5
50992,1460701,大津湾,オオツワン,,35.27888889,139.70000000, 35:16:44,139:42:00,10.0,,,,17.7,19.8,,31.0,1.8,1989,703,1112.0,1989-07-03 11:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.5,,4.0,,130.0,,1.2,0.067,5.0,1
50993,1460701,大津湾,オオツワン,,35.27888889,139.70000000, 35:16:44,139:42:00,0.0,,,,,15.5,,,,1989,703,1112.0,1989-07-03 11:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,6.3,,1.5,,,,0.28,0.039,30.0,5
50995,1460701,大津湾,オオツワン,,35.27888889,139.70000000, 35:16:44,139:42:00,1.0,,,,28.0,25.9,,31.0,3.5,1989,807,1205.0,1989-08-07 12:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,6.2,,2.1,,230.0,,0.5,0.049,5.0,1
50996,1460701,大津湾,オオツワン,,35.27888889,139.70000000, 35:16:44,139:42:00,0.0,,,,,21.3,,,,1989,807,1205.0,1989-08-07 12:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,5.6,,0.9,,,,0.31,0.045,30.0,5
50998,1460701,大津湾,オオツワン,,35.27888889,139.70000000, 35:16:44,139:42:00,4.0,,,,26.5,24.2,,31.0,3.5,1989,905,1132.0,1989-09-05 11:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,6.0,,1.8,,2400.0,,0.68,0.081,5.0,1
50999,1460701,大津湾,オオツワン,,35.27888889,139.70000000, 35:16:44,139:42:00,0.0,,,,,20.3,,,,1989,905,1132.0,1989-09-05 11:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,5.5,,1.0,,,,0.42,0.052000000000000005,30.0,5
51001,1460701,大津湾,オオツワン,,35.27888889,139.70000000, 35:16:44,139:42:00,10.0,,,,18.5,20.9,,31.0,4.0,1989,1002,1135.0,1989-10-02 11:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,7.4,,2.4,,5.0,,0.68,0.057999999999999996,5.0,1
51002,1460701,大津湾,オオツワン,,35.27888889,139.70000000, 35:16:44,139:42:00,0.0,,,,,17.9,,,,1989,1002,1135.0,1989-10-02 11:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.4,,1.0,,,,0.34,0.044000000000000004,30.0,5
51004,1460701,大津湾,オオツワン,,35.27888889,139.70000000, 35:16:44,139:42:00,4.0,,,,20.6,17.5,,31.0,5.4,1989,1106,1135.0,1989-11-06 11:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,8.9,,2.9,,0.0,,0.88,0.08,5.0,1
51005,1460701,大津湾,オオツワン,,35.27888889,139.70000000, 35:16:44,139:42:00,0.0,,,,,18.3,,,,1989,1106,1135.0,1989-11-06 11:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,6.4,,0.8,,,,0.33,0.039,30.0,5
51008,1460701,大津湾,オオツワン,,35.27888889,139.70000000, 35:16:44,139:42:00,0.0,,,,,16.4,,,,1989,1204,1205.0,1989-12-04 12:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.0,,0.8,,,,0.36,0.034,30.0,5
51007,1460701,大津湾,オオツワン,,35.27888889,139.70000000, 35:16:44,139:42:00,2.0,,,,18.0,15.3,,31.0,5.0,1989,1204,1205.0,1989-12-04 12:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.4,,1.8,,2.0,,0.54,0.045,5.0,1
51011,1460701,大津湾,オオツワン,,35.27888889,139.70000000, 35:16:44,139:42:00,0.0,,,,,12.2,,,,1990,108,1158.0,1990-01-08 11:58:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.4,,1.1,,,,0.53,0.04,30.0,5
51010,1460701,大津湾,オオツワン,,35.27888889,139.70000000, 35:16:44,139:42:00,1.0,,,,10.5,11.5,,31.0,6.5,1990,108,1158.0,1990-01-08 11:58:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.6,,1.0,,2.0,,0.66,0.045,5.0,1
