,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
50911,1460604,富岡沖,トミオカオキ,,35.37000000,139.67333333, 35:22:12,139:40:24,4.0,,,,16.0,15.0,,15.0,1.5,1989,410,1035.0,1989-04-10 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,15.0,,6.5,,330.0,,1.9,0.11,5.0,2
50912,1460604,富岡沖,トミオカオキ,,35.37000000,139.67333333, 35:22:12,139:40:24,0.0,,,,,13.5,,,,1989,410,1035.0,1989-04-10 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,1.8,,,,0.79,0.043,14.0,4
50914,1460604,富岡沖,トミオカオキ,,35.37000000,139.67333333, 35:22:12,139:40:24,2.0,,,,18.0,15.9,,15.0,4.0,1989,508,1050.0,1989-05-08 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.5,,2.7,,17.0,,1.2,0.055999999999999994,5.0,2
50915,1460604,富岡沖,トミオカオキ,,35.37000000,139.67333333, 35:22:12,139:40:24,0.0,,,,,15.7,,,,1989,508,1050.0,1989-05-08 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.8,,2.1,,,,0.86,0.048,14.0,4
50917,1460604,富岡沖,トミオカオキ,,35.37000000,139.67333333, 35:22:12,139:40:24,4.0,,,,24.3,18.8,,15.0,3.0,1989,605,1035.0,1989-06-05 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.5,,2.6,,330.0,,0.95,0.069,5.0,2
50918,1460604,富岡沖,トミオカオキ,,35.37000000,139.67333333, 35:22:12,139:40:24,0.0,,,,,17.6,,,,1989,605,1035.0,1989-06-05 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,5.9,,1.3,,,,0.59,0.061,14.0,4
50920,1460604,富岡沖,トミオカオキ,,35.37000000,139.67333333, 35:22:12,139:40:24,10.0,,,,18.1,20.6,,15.0,1.5,1989,703,1035.0,1989-07-03 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.6,,7.1,,220.0,,1.4,0.085,5.0,2
50921,1460604,富岡沖,トミオカオキ,,35.37000000,139.67333333, 35:22:12,139:40:24,0.0,,,,,17.8,,,,1989,703,1035.0,1989-07-03 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,5.4,,1.5,,,,0.52,0.059000000000000004,14.0,4
50924,1460604,富岡沖,トミオカオキ,,35.37000000,139.67333333, 35:22:12,139:40:24,0.0,,,,,22.3,,,,1989,807,1105.0,1989-08-07 11:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,5.5,,1.2,,,,0.41,0.057,14.0,4
50923,1460604,富岡沖,トミオカオキ,,35.37000000,139.67333333, 35:22:12,139:40:24,1.0,,,,30.5,24.8,,15.0,3.5,1989,807,1105.0,1989-08-07 11:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,6.5,,1.4,,130.0,,0.42,0.057,5.0,2
