,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
50515,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,4.0,,,,17.1,15.7,,19.9,1.3,1989,410,1010.0,1989-04-10 10:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,13.0,,7.0,,490.0,,2.6,0.14,5.0,1
50516,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,0.0,,,,,13.4,,,,1989,410,1010.0,1989-04-10 10:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.2,,2.6,,,,1.0,0.057,18.9,3
50518,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,2.0,,,,16.1,16.3,,18.8,2.6,1989,508,1018.0,1989-05-08 10:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,9.2,,4.0,,240.0,,1.5,0.09300000000000001,5.0,1
50519,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,0.0,,,,,15.2,,,,1989,508,1018.0,1989-05-08 10:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.2,,2.2,,,,0.65,0.078,17.8,3
50521,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,4.0,,,,21.6,19.4,,18.3,2.8,1989,605,1000.0,1989-06-05 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.8,,3.4,,13.0,,1.2,0.08900000000000001,5.0,1
50522,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,0.0,,,,,16.0,,,,1989,605,1000.0,1989-06-05 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,2.6,,2.0,,,,0.92,0.12,17.3,3
50524,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,10.0,,,,16.6,20.4,,17.2,1.6,1989,703,1015.0,1989-07-03 10:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.4,,5.1,,1700.0,,2.2,0.12,5.0,1
50525,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,0.0,,,,,17.5,,,,1989,703,1015.0,1989-07-03 10:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,2.9,,1.9,,,,0.76,0.09699999999999999,16.2,3
50527,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,2.0,,,,28.2,26.4,,18.4,1.1,1989,811,1018.0,1989-08-11 10:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,11.0,,6.0,,17000.0,,1.8,0.16,5.0,1
50528,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,0.0,,,,,23.1,,,,1989,811,1018.0,1989-08-11 10:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,2.8,,1.8,,,,0.89,0.1,17.4,3
50530,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,4.0,,,,24.9,25.2,,19.8,2.8,1989,905,1054.0,1989-09-05 10:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.0,,3.2,,3300.0,,1.4,0.1,5.0,1
50531,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,0.0,,,,,21.1,,,,1989,905,1054.0,1989-09-05 10:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.4,,2.5,,,,0.68,0.096,18.8,3
50533,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,1.0,,,,20.8,21.4,,18.6,5.3,1989,1005,955.0,1989-10-05 09:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.3,,3.0,,79.0,,1.2,0.09300000000000001,5.0,1
50534,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,0.0,,,,,18.4,,,,1989,1005,955.0,1989-10-05 09:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,2.6,,1.7,,,,0.36,0.081,17.6,3
50536,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,4.0,,,,18.0,18.0,,19.6,4.2,1989,1106,1025.0,1989-11-06 10:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,3.5,,130.0,,1.7,0.11,5.0,1
50537,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,0.0,,,,,18.4,,,,1989,1106,1025.0,1989-11-06 10:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,3.5,,1.9,,,,0.88,0.083,18.6,3
50540,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,0.0,,,,,16.4,,,,1989,1204,1103.0,1989-12-04 11:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.7,,1.9,,,,0.64,0.063,19.0,3
50539,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,2.0,,,,17.6,16.5,,20.0,4.5,1989,1204,1103.0,1989-12-04 11:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.0,,2.4,,13.0,,1.1,0.079,5.0,1
50543,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,0.0,,,,,12.4,,,,1990,108,1005.0,1990-01-08 10:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.2,,1.7,,,,0.75,0.055999999999999994,18.1,3
50542,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,1.0,,,,7.2,12.2,,19.1,4.9,1990,108,1005.0,1990-01-08 10:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.4,,1.8,,7.0,,0.76,0.063,5.0,1
50545,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,4.0,,,,4.2,8.5,,19.0,3.8,1990,205,1035.0,1990-02-05 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,9.2,,3.3,,330.0,,2.3,0.11,5.0,1
50546,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,0.0,,,,,9.0,,,,1990,205,1035.0,1990-02-05 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.0,,2.4,,,,1.2,0.064,18.0,3
50548,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,4.0,,,,9.3,10.4,,18.6,2.4,1990,305,1010.0,1990-03-05 10:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,9.9,,3.4,,4900.0,,2.1,0.087,5.0,1
50549,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,,35.47916667,139.74583333, 35:28:45,139:44:45,0.0,,,,,13.1,,,,1990,305,1010.0,1990-03-05 10:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.6,,2.2,,,,1.1,0.055,17.6,3
47989,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,Kawasakikobohateioki,35.47916667,139.74583333, 35:28:45,139:44:45,2.0,,,,18.6,14.7,,17.8,2.9,1990,410,1020.0,1990-04-10 10:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.8,,4.0,,33.0,,1.1,0.064,5.0,1
47990,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,Kawasakikobohateioki,35.47916667,139.74583333, 35:28:45,139:44:45,0.0,,,,,13.7,,,,1990,410,1020.0,1990-04-10 10:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.2,,3.4,,,,0.99,0.059000000000000004,16.8,3
47992,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,Kawasakikobohateioki,35.47916667,139.74583333, 35:28:45,139:44:45,4.0,,,,18.3,17.4,,18.1,2.1,1990,508,1016.0,1990-05-08 10:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,9.3,,5.0,,140.0,,2.2,0.15,5.0,1
47993,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,Kawasakikobohateioki,35.47916667,139.74583333, 35:28:45,139:44:45,0.0,,,,,16.0,,,,1990,508,1016.0,1990-05-08 10:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.1,,2.0,,,,0.9,0.07200000000000001,17.1,3
47995,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,Kawasakikobohateioki,35.47916667,139.74583333, 35:28:45,139:44:45,10.0,,,,18.8,20.3,,18.0,2.4,1990,605,1035.0,1990-06-05 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,7.5,,4.9,,7.0,,1.2,0.068,5.0,1
47996,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,Kawasakikobohateioki,35.47916667,139.74583333, 35:28:45,139:44:45,0.0,,,,,17.1,,,,1990,605,1035.0,1990-06-05 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.8,,1.9,,,,0.72,0.077,17.0,3
47998,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,Kawasakikobohateioki,35.47916667,139.74583333, 35:28:45,139:44:45,10.0,,,,22.5,22.8,,19.0,1.9,1990,703,1000.0,1990-07-03 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,10.0,,6.3,,33.0,,1.9,0.14,5.0,1
47999,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,Kawasakikobohateioki,35.47916667,139.74583333, 35:28:45,139:44:45,0.0,,,,,17.8,,,,1990,703,1000.0,1990-07-03 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,2.6,,1.2,,,,0.56,0.084,18.0,3
48001,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,Kawasakikobohateioki,35.47916667,139.74583333, 35:28:45,139:44:45,2.0,,,,29.5,27.9,,18.0,1.7,1990,807,1120.0,1990-08-07 11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,9.8,,5.6,,11.0,,1.7,0.17,5.0,1
48002,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,Kawasakikobohateioki,35.47916667,139.74583333, 35:28:45,139:44:45,0.0,,,,,20.4,,,,1990,807,1120.0,1990-08-07 11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,1.7,,1.8,,,,0.59,0.12,17.0,3
48004,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,Kawasakikobohateioki,35.47916667,139.74583333, 35:28:45,139:44:45,1.0,,,,29.4,26.6,,18.0,3.9,1990,904,1005.0,1990-09-04 10:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,5.0,,3.0,,33.0,,0.67,0.1,5.0,1
48005,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,Kawasakikobohateioki,35.47916667,139.74583333, 35:28:45,139:44:45,0.0,,,,,25.8,,,,1990,904,1005.0,1990-09-04 10:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,3.3,,2.8,,,,0.57,0.11,17.0,3
48008,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,Kawasakikobohateioki,35.47916667,139.74583333, 35:28:45,139:44:45,0.0,,,,,21.8,,,,1990,1002,1022.0,1990-10-02 10:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.0,,1.6,,,,0.42,0.06,17.0,3
48007,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,Kawasakikobohateioki,35.47916667,139.74583333, 35:28:45,139:44:45,4.0,,,,22.0,21.6,,18.0,0.9,1990,1002,1022.0,1990-10-02 10:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,6.8,,2.8,,49000.0,,2.4,0.13,5.0,1
48010,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,Kawasakikobohateioki,35.47916667,139.74583333, 35:28:45,139:44:45,1.0,,,,20.6,18.2,,19.2,2.2,1990,1106,1035.0,1990-11-06 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.4,,3.0,,10000.0,,2.3,0.11,5.0,1
48011,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,Kawasakikobohateioki,35.47916667,139.74583333, 35:28:45,139:44:45,0.0,,,,,19.8,,,,1990,1106,1035.0,1990-11-06 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,5.8,,1.8,,,,0.63,0.06,18.2,3
48013,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,Kawasakikobohateioki,35.47916667,139.74583333, 35:28:45,139:44:45,1.0,,,,13.2,14.9,,18.2,1.7,1990,1204,945.0,1990-12-04 09:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.1,,2.9,,7900.0,,1.8,0.09,5.0,1
48014,1460102,川崎港防波堤沖,ヒガシオウギジマボウハテイニシ,Kawasakikobohateioki,35.47916667,139.74583333, 35:28:45,139:44:45,0.0,,,,,17.1,,,,1990,1204,945.0,1990-12-04 09:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.0,,2.0,,,,1.0,0.071,17.2,3
