,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
50947,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,4.0,,,,16.2,15.1,,17.5,1.5,1989,410,1020.0,1989-04-10 10:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,14.0,,5.3,,460.0,,1.8,0.09300000000000001,5.0,2
50948,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,0.0,,,,,13.4,,,,1989,410,1020.0,1989-04-10 10:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.6,,1.8,,,,0.67,0.044000000000000004,16.5,4
50950,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,2.0,,,,18.0,16.0,,19.0,3.5,1989,508,1038.0,1989-05-08 10:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.3,,2.5,,79.0,,1.0,0.051,5.0,2
50951,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,0.0,,,,,15.6,,,,1989,508,1038.0,1989-05-08 10:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.8,,2.1,,,,0.84,0.048,18.0,5
50953,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,4.0,,,,24.0,18.6,,18.0,3.0,1989,605,1024.0,1989-06-05 10:24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.2,,2.8,,27.0,,0.87,0.07,5.0,2
50954,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,0.0,,,,,17.5,,,,1989,605,1024.0,1989-06-05 10:24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,6.0,,1.3,,,,0.53,0.059000000000000004,17.0,4
50956,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,10.0,,,,17.9,20.4,,17.5,1.5,1989,703,1020.0,1989-07-03 10:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.7,,4.4,,130.0,,1.3,0.078,5.0,2
50957,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,0.0,,,,,18.3,,,,1989,703,1020.0,1989-07-03 10:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,5.4,,1.8,,,,0.63,0.063,16.5,4
50960,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,0.0,,,,,23.1,,,,1989,807,1050.0,1989-08-07 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,5.9,,1.1,,,,0.37,0.043,18.0,5
50959,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,1.0,,,,29.1,24.5,,19.0,4.0,1989,807,1050.0,1989-08-07 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.3,,2.0,,3400.0,,0.67,0.057,5.0,2
50962,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,4.0,,,,27.5,24.5,,18.0,3.1,1989,905,1035.0,1989-09-05 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,5.9,,2.0,,790.0,,0.84,0.079,5.0,2
50963,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,0.0,,,,,23.8,,,,1989,905,1035.0,1989-09-05 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,4.8,,1.6,,,,0.7,0.083,17.0,4
50965,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,10.0,,,,19.5,21.5,,18.0,2.5,1989,1002,1050.0,1989-10-02 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.0,,3.0,,17.0,,0.8,0.069,5.0,2
50966,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,0.0,,,,,21.4,,,,1989,1002,1050.0,1989-10-02 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,7.8,,3.0,,,,0.79,0.071,17.0,4
50968,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,4.0,,,,16.9,17.4,,19.0,4.0,1989,1106,1010.0,1989-11-06 10:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,9.0,,3.2,,170.0,,1.0,0.086,5.0,2
50969,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,0.0,,,,,17.5,,,,1989,1106,1010.0,1989-11-06 10:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,6.3,,1.0,,,,0.42,0.055,18.0,5
50971,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,2.0,,,,16.9,15.1,,18.0,3.5,1989,1204,1045.0,1989-12-04 10:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,9.0,,1.9,,79.0,,0.82,0.059000000000000004,5.0,2
50972,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,0.0,,,,,15.7,,,,1989,1204,1045.0,1989-12-04 10:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.2,,1.3,,,,0.52,0.045,17.0,4
50975,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,0.0,,,,,11.3,,,,1990,108,1020.0,1990-01-08 10:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.6,,1.4,,,,0.7,0.05,16.5,4
50974,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,1.0,,,,8.6,11.1,,17.5,5.5,1990,108,1020.0,1990-01-08 10:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.2,,1.1,,13.0,,0.74,0.054000000000000006,5.0,2
50978,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,0.0,,,,,9.5,,,,1990,205,1035.0,1990-02-05 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.0,,1.1,,,,0.84,0.045,16.0,4
50977,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,10.0,,,,4.5,8.3,,17.0,5.5,1990,205,1035.0,1990-02-05 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.3,,1.5,,790.0,,1.4,0.07400000000000001,5.0,2
50980,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,4.0,,,,8.7,10.5,,18.0,3.0,1990,305,1115.0,1990-03-05 11:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.7,,2.3,,220.0,,1.2,0.051,5.0,2
50981,1460651,平潟湾沖,ヒラガタワンオキ,,35.33666667,139.65833333, 35:20:12,139:39:30,0.0,,,,,11.5,,,,1990,305,1115.0,1990-03-05 11:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.5,,1.6,,,,0.71,0.037000000000000005,17.0,4
