,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
55247,1360176,御楯橋,ミタテバシ,,35.62888889,139.74527778, 35:37:44,139:44:43,2.0,,,,21.2,16.2,,39.0,1.8,1987,406,1028.0,1987-04-06 10:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,4.9,,7.7,3.0,,,12.0,0.55,0.0,5
55249,1360176,御楯橋,ミタテバシ,,35.62888889,139.74527778, 35:37:44,139:44:43,1.0,,,,21.0,19.6,,39.0,1.6,1987,506,1024.0,1987-05-06 10:24:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.6,6.2,,10.0,3.0,,,14.0,1.1,0.0,5
55251,1360176,御楯橋,ミタテバシ,,35.62888889,139.74527778, 35:37:44,139:44:43,2.0,,,,27.0,22.7,,38.0,2.2,1987,616,1017.0,1987-06-16 10:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,3.4,,8.9,4.0,,,9.9,0.63,0.0,5
55253,1360176,御楯橋,ミタテバシ,,35.62888889,139.74527778, 35:37:44,139:44:43,2.0,,,,28.0,25.1,,30.0,1.6,1987,713,1037.0,1987-07-13 10:37:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.4,4.4,,10.0,2.0,,,13.0,0.53,0.0,5
55255,1360176,御楯橋,ミタテバシ,,35.62888889,139.74527778, 35:37:44,139:44:43,2.0,,,,33.0,28.1,,40.0,1.2,1987,817,1026.0,1987-08-17 10:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,5.4,,10.0,6.0,,,11.0,1.1,0.0,5
55257,1360176,御楯橋,ミタテバシ,,35.62888889,139.74527778, 35:37:44,139:44:43,16.0,,,,24.5,25.9,,36.0,1.7,1987,916,1030.0,1987-09-16 10:30:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.3,3.9,,8.2,3.0,,,12.0,0.68,0.0,5
55259,1360176,御楯橋,ミタテバシ,,35.62888889,139.74527778, 35:37:44,139:44:43,1.0,,,,21.0,24.0,,39.0,1.6,1987,1013,1025.0,1987-10-13 10:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,2.8,,7.3,2.0,,,11.0,0.7,0.0,5
55261,1360176,御楯橋,ミタテバシ,,35.62888889,139.74527778, 35:37:44,139:44:43,1.0,,,,16.0,18.9,,42.0,2.8,1987,1124,1020.0,1987-11-24 10:20:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.3,4.3,,6.3,2.0,,,10.0,0.88,0.0,5
55263,1360176,御楯橋,ミタテバシ,,35.62888889,139.74527778, 35:37:44,139:44:43,4.0,,,,10.5,16.2,,41.0,1.5,1987,1216,1008.0,1987-12-16 10:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,5.1,,7.9,3.0,,,13.0,0.78,0.0,5
55265,1360176,御楯橋,ミタテバシ,,35.62888889,139.74527778, 35:37:44,139:44:43,1.0,,,,9.5,14.4,,43.0,1.6,1988,125,1030.0,1988-01-25 10:30:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.4,5.7,,8.0,3.0,,,13.0,0.58,0.0,5
55267,1360176,御楯橋,ミタテバシ,,35.62888889,139.74527778, 35:37:44,139:44:43,4.0,,,,8.5,12.6,,33.0,1.3,1988,223,1021.0,1988-02-23 10:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7.3,,8.8,4.0,,,19.0,1.0,0.0,5
55269,1360176,御楯橋,ミタテバシ,,35.62888889,139.74527778, 35:37:44,139:44:43,1.0,,,,9.0,13.7,,32.0,1.6,1988,309,1027.0,1988-03-09 10:27:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.5,6.1,,8.1,3.0,,,18.0,0.78,0.0,5
52727,1360176,御楯橋,ミタテバシ,,35.62888889,139.74527778, 35:37:44,139:44:43,10.0,,,,16.5,16.4,,35.0,1.2,1988,413,1002.0,1988-04-13 10:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,5.8,,10.0,4.0,,,18.0,1.5,0.0,5
52729,1360176,御楯橋,ミタテバシ,,35.62888889,139.74527778, 35:37:44,139:44:43,10.0,,,,15.0,19.2,,41.0,1.2,1988,523,1030.0,1988-05-23 10:30:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.2,3.9,,7.7,6.0,,,7.1,0.43,0.0,5
52731,1360176,御楯橋,ミタテバシ,,35.62888889,139.74527778, 35:37:44,139:44:43,4.0,,,,22.0,24.1,,35.0,1.5,1988,621,1021.0,1988-06-21 10:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,4.5,,9.1,6.0,,,15.0,0.87,0.0,5
52733,1360176,御楯橋,ミタテバシ,,35.62888889,139.74527778, 35:37:44,139:44:43,4.0,,,,23.5,23.7,,35.0,1.3,1988,718,1025.0,1988-07-18 10:25:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.2,3.0,,7.4,3.0,,,8.2,0.35,0.0,5
52735,1360176,御楯橋,ミタテバシ,,35.62888889,139.74527778, 35:37:44,139:44:43,4.0,,,,25.5,25.7,,37.0,1.2,1988,817,1026.0,1988-08-17 10:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,2.8,,7.9,3.0,,,12.0,0.44,0.0,5
52737,1360176,御楯橋,ミタテバシ,,35.62888889,139.74527778, 35:37:44,139:44:43,2.0,,,,27.5,25.5,,39.0,1.7,1988,919,1028.0,1988-09-19 10:28:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.4,3.7,,8.2,3.0,,,15.0,0.38,0.0,5
52739,1360176,御楯橋,ミタテバシ,,35.62888889,139.74527778, 35:37:44,139:44:43,4.0,,,,16.5,22.8,,36.0,1.9,1988,1018,1029.0,1988-10-18 10:29:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,3.5,,7.4,2.0,,,15.0,0.84,0.0,5
52741,1360176,御楯橋,ミタテバシ,,35.62888889,139.74527778, 35:37:44,139:44:43,2.0,,,,13.0,19.0,,36.0,1.2,1988,1115,1017.0,1988-11-15 10:17:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.5,4.5,,8.8,5.0,,,16.0,0.65,0.0,5
52743,1360176,御楯橋,ミタテバシ,,35.62888889,139.74527778, 35:37:44,139:44:43,1.0,,,,10.0,15.8,,41.0,1.5,1988,1214,1007.0,1988-12-14 10:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,5.2,,7.8,7.0,,,15.0,0.9,0.0,5
