,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
34608,1360158,新砂２丁目地先,シンスナ２チヨウメヒカ゛シサキ,Shinsuna2chomehigashisaki,35.66166667,139.82805556, 35:39:42,139:49:41,2.0,,182.0,181.0,26.0,25.3,,7.8,1.8,1995,719,1135.0,1995-07-19 11:35:00,0.001,,0.002,0.01,0.005,0.0005,,,,,,,,,,,0.001,0.0002,,,,,,,,,,,7.5,7.1,,7.7,5.0,,,8.7,0.54,0.0,5
34610,1360158,新砂２丁目地先,シンスナ２チヨウメヒカ゛シサキ,Shinsuna2chomehigashisaki,35.66166667,139.82805556, 35:39:42,139:49:41,1.0,,162.0,181.0,6.2,8.5,,7.6,2.2,1996,125,1111.0,1996-01-25 11:11:00,0.001,,0.002,0.01,0.005,0.0005,,,,,,,,,,,0.001,0.0002,,,,,,,,,,,7.6,7.3,,4.7,4.0,,,5.9,0.31,0.0,5
31940,1360158,新砂２丁目地先,シンスナ２チヨウメヒカ゛シサキ,Shinsuna2chomehigashisaki,35.66166667,139.82805556, 35:39:42,139:49:41,4.0,,182.0,181.0,26.3,26.1,,7.2,1.5,1996,722,1140.0,1996-07-22 11:40:00,0.001,,0.002,0.01,0.005,0.0005,,,,,,,,,,,0.001,0.0002,,,,,,,,,,,7.4,4.7,,8.0,4.0,,,8.5,0.55,0.0,5
31942,1360158,新砂２丁目地先,シンスナ２チヨウメヒカ゛シサキ,Shinsuna2chomehigashisaki,35.66166667,139.82805556, 35:39:42,139:49:41,2.0,,381.0,181.0,3.2,9.1,,7.5,1.8,1997,122,1135.0,1997-01-22 11:35:00,0.001,,0.002,0.01,0.005,0.0005,,,,,,,,,,,0.001,0.0002,,,,,,,,,,,7.9,8.1,,4.1,3.0,,,4.6,0.25,0.0,5
29272,1360158,新砂２丁目地先,シンスナ２チヨウメヒカ゛シサキ,Shinsuna2chomehigashisaki,35.66166667,139.82805556, 35:39:42,139:49:41,2.0,,181.0,182.0,29.8,27.6,,7.3,1.0,1997,716,1112.0,1997-07-16 11:12:00,0.001,,0.002,0.01,0.005,0.0005,,,,,,,,,,,0.001,0.0002,,,,,,,,,,,7.9,11.0,,10.0,10.0,,,11.0,1.2,0.0,5
29274,1360158,新砂２丁目地先,シンスナ２チヨウメヒカ゛シサキ,Shinsuna2chomehigashisaki,35.66166667,139.82805556, 35:39:42,139:49:41,2.0,,182.0,181.0,8.8,7.9,,8.2,2.9,1998,122,1108.0,1998-01-22 11:08:00,0.001,,0.002,0.01,0.005,0.0005,,,,,,,,,,,0.001,0.0002,,,,,,,,,,,7.3,6.1,,6.9,1.0,,,9.1,0.47,0.0,5
26628,1360158,新砂２丁目地先,シンスナ２チヨウメヒカ゛シサキ,Shinsuna2chomehigashisaki,35.66166667,139.82805556, 35:39:42,139:49:41,10.0,,181.0,181.0,18.8,23.3,,6.3,2.1,1998,716,1117.0,1998-07-16 11:17:00,0.001,,0.002,0.01,0.005,0.0005,,,,,,,,,,,0.001,0.0002,,,,,,,,,,,7.4,4.1,,6.0,2.0,,,5.2,0.55,0.0,5
26630,1360158,新砂２丁目地先,シンスナ２チヨウメヒカ゛シサキ,Shinsuna2chomehigashisaki,35.66166667,139.82805556, 35:39:42,139:49:41,4.0,,182.0,182.0,11.2,9.0,,6.6,1.4,1999,127,1100.0,1999-01-27 11:00:00,0.001,,0.002,0.01,0.005,0.0005,,,,,,,,,,,0.001,0.0002,,,,,,,,,,,7.4,4.3,,7.1,3.0,,,9.3,0.66,0.0,5
24124,1360158,新砂２丁目地先,シンスナ２チヨウメヒカ゛シサキ,Shinsuna2chomehigashisaki,35.66166667,139.82805556, 35:39:42,139:49:41,,,,,30.0,26.5,,7.8,1.0,1999,722,1116.0,1999-07-22 11:16:00,0.001,,0.002,0.01,0.005,0.0005,,,,,,,,,,,0.001,0.0002,,,,,,,0.35,3.7,,,7.6,7.9,,8.8,8.0,,,6.59,0.7759999999999999,0.0,5
24126,1360158,新砂２丁目地先,シンスナ２チヨウメヒカ゛シサキ,Shinsuna2chomehigashisaki,35.66166667,139.82805556, 35:39:42,139:49:41,,,,,5.1,10.2,,7.8,2.4,2000,125,1023.0,2000-01-25 10:23:00,0.001,,0.002,0.01,0.005,0.0005,,,,,,,,,,,0.001,0.0002,,,,,,,0.23,1.4,,,7.7,6.8,,4.8,2.0,,,4.63,0.359,0.0,5
