,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
55171,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,10.0,,,,14.4,13.1,,42.0,3.0,1987,407,1057.0,1987-04-07 10:57:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,5.8,,4.6,2.0,,,4.4,0.23,0.0,5
55173,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,2.0,,,,21.0,17.6,,42.0,0.5,1987,508,1122.0,1987-05-08 11:22:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,8.5,12.0,,23.0,20.0,,,5.2,0.59,0.0,5
55175,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,2.0,,,,28.5,22.2,,41.0,3.9,1987,617,1104.0,1987-06-17 11:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,4.7,,4.9,2.0,,,3.1,0.31,0.0,5
55177,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,1.0,,,,31.0,24.6,,36.0,2.6,1987,714,1056.0,1987-07-14 10:56:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.6,4.3,,4.8,1.0,,,3.6,0.39,0.0,5
55179,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,1.0,,,,31.0,28.0,,42.0,1.1,1987,818,1107.0,1987-08-18 11:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,7.9,,8.3,8.0,,,2.9,0.32,0.0,5
55181,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,2.0,,,,24.5,22.2,,42.0,1.8,1987,918,1118.0,1987-09-18 11:18:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.8,3.7,,3.0,3.0,,,1.5,0.24,0.0,5
55183,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,1.0,,,,21.5,20.5,,44.0,3.0,1987,1014,1106.0,1987-10-14 11:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,4.4,,3.6,1.0,,,4.1,0.25,0.0,5
55185,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,1.0,,,,14.0,16.2,,48.0,4.4,1987,1125,1120.0,1987-11-25 11:20:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.9,6.3,,2.6,3.0,,,3.2,0.19,0.0,5
55187,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,2.0,,,,7.5,12.4,,45.0,4.5,1987,1215,1105.0,1987-12-15 11:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,5.9,,3.2,1.0,,,4.3,0.19,0.0,5
55189,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,1.0,,,,8.5,11.4,,48.0,4.8,1988,126,1102.0,1988-01-26 11:02:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.9,7.1,,3.6,2.0,,,3.8,0.15,0.0,5
55191,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,16.0,,,,6.5,8.9,,43.0,1.8,1988,224,1108.0,1988-02-24 11:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.9,,4.4,7.0,,,3.1,0.11,0.0,5
55193,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,1.0,,,,10.5,10.1,,40.0,2.4,1988,310,1116.0,1988-03-10 11:16:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,8.1,8.5,,4.3,4.0,,,3.8,0.14,0.0,5
52651,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,2.0,,,,17.0,14.1,,38.0,3.1,1988,414,1105.0,1988-04-14 11:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,6.3,,4.0,2.0,,,4.7,0.23,0.0,5
52653,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,2.0,,,,17.5,17.8,,43.0,1.6,1988,524,1113.0,1988-05-24 11:13:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.9,5.9,,7.1,4.0,,,4.6,0.38,0.0,5
52655,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,1.0,,,,26.0,22.4,,45.0,3.8,1988,622,1114.0,1988-06-22 11:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,5.8,,5.6,3.0,,,4.0,0.27,0.0,5
52657,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,4.0,,,,24.0,22.0,,40.0,2.2,1988,719,1049.0,1988-07-19 10:49:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.5,2.5,,4.1,2.0,,,3.2,0.32,0.0,5
52659,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,4.0,,,,31.9,25.2,,40.0,1.5,1988,818,1104.0,1988-08-18 11:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,5.2,,5.1,6.0,,,4.5,0.25,0.0,5
52661,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,2.0,,,,27.0,23.5,,42.0,2.7,1988,920,1108.0,1988-09-20 11:08:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.7,5.3,,3.3,2.0,,,3.4,0.18,0.0,5
52663,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,1.0,,,,18.5,20.1,,41.0,4.1,1988,1019,1109.0,1988-10-19 11:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,4.4,,2.8,1.0,,,2.5,0.17,0.0,5
52665,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,4.0,,,,11.0,16.1,,45.0,4.5,1988,1116,1101.0,1988-11-16 11:01:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.8,5.7,,2.1,1.0,,,1.8,0.13,0.0,5
52667,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,2.0,,,,10.0,12.5,,47.0,4.7,1988,1215,1106.0,1988-12-15 11:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,6.8,,2.3,1.0,,,2.9,0.13,0.0,5
52669,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,2.0,,,,8.5,9.9,,43.0,4.3,1989,116,1045.0,1989-01-16 10:45:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,8.0,8.2,,2.7,1.0,,,3.5,0.14,0.0,5
52671,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,4.0,,,,14.5,10.5,,41.0,2.8,1989,216,1058.0,1989-02-16 10:58:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,8.1,,2.5,2.0,,,2.8,0.16,0.0,5
52673,1360172,有明ふ頭橋,アリアケフトウバシ,,35.62750000,139.78861111, 35:37:39,139:47:19,1.0,,,,14.5,12.1,,44.0,3.9,1989,315,1108.0,1989-03-15 11:08:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.5,6.9,,3.6,1.0,,,4.0,0.16,0.0,5
47581,1360172,有明ふ頭橋,アリアケフトウバシ,Ariakefutobashi,35.62750000,139.78861111, 35:37:39,139:47:19,2.0,,,,15.4,14.5,,4.7,2.9,1990,419,1047.0,1990-04-19 10:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,6.0,,3.9,2.0,,,4.3,0.26,0.0,5
47583,1360172,有明ふ頭橋,アリアケフトウバシ,Ariakefutobashi,35.62750000,139.78861111, 35:37:39,139:47:19,4.0,,,,21.8,18.4,,4.4,3.0,1990,518,1052.0,1990-05-18 10:52:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,7.7,6.5,,4.1,2.0,,,3.1,0.22,0.0,5
47585,1360172,有明ふ頭橋,アリアケフトウバシ,Ariakefutobashi,35.62750000,139.78861111, 35:37:39,139:47:19,2.0,,,,28.3,23.1,,3.5,2.6,1990,621,1100.0,1990-06-21 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,4.8,,5.0,3.0,,,3.6,0.28,0.0,5
47587,1360172,有明ふ頭橋,アリアケフトウバシ,Ariakefutobashi,35.62750000,139.78861111, 35:37:39,139:47:19,1.0,,,,31.6,26.8,,4.0,1.3,1990,718,1106.0,1990-07-18 11:06:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,8.5,13.0,,7.3,12.0,,,4.3,0.33,0.0,5
47589,1360172,有明ふ頭橋,アリアケフトウバシ,Ariakefutobashi,35.62750000,139.78861111, 35:37:39,139:47:19,1.0,,,,33.4,29.0,,4.0,2.0,1990,824,1435.0,1990-08-24 14:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.9,,4.8,2.0,,,3.4,0.27,0.0,5
47591,1360172,有明ふ頭橋,アリアケフトウバシ,Ariakefutobashi,35.62750000,139.78861111, 35:37:39,139:47:19,2.0,,,,29.7,26.3,,3.5,1.9,1990,918,1103.0,1990-09-18 11:03:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,7.7,3.3,,3.9,3.0,,,3.2,0.33,0.0,5
47593,1360172,有明ふ頭橋,アリアケフトウバシ,Ariakefutobashi,35.62750000,139.78861111, 35:37:39,139:47:19,2.0,,,,21.0,20.6,,4.5,2.1,1990,1025,1111.0,1990-10-25 11:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,3.9,,2.6,3.0,,,2.1,0.16,0.0,5
47595,1360172,有明ふ頭橋,アリアケフトウバシ,Ariakefutobashi,35.62750000,139.78861111, 35:37:39,139:47:19,4.0,,,,19.7,17.3,,4.2,2.5,1990,1127,1430.0,1990-11-27 14:30:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,7.8,4.3,,2.6,2.0,,,2.6,0.14,0.0,5
47597,1360172,有明ふ頭橋,アリアケフトウバシ,Ariakefutobashi,35.62750000,139.78861111, 35:37:39,139:47:19,10.0,,,,7.2,13.6,,4.4,2.5,1990,1221,1100.0,1990-12-21 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,5.6,,2.3,3.0,,,2.8,0.13,0.0,5
47599,1360172,有明ふ頭橋,アリアケフトウバシ,Ariakefutobashi,35.62750000,139.78861111, 35:37:39,139:47:19,1.0,,,,11.0,11.4,,5.4,2.9,1991,110,1102.0,1991-01-10 11:02:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,8.0,6.8,,2.4,2.0,,,2.1,0.12,0.0,5
47601,1360172,有明ふ頭橋,アリアケフトウバシ,Ariakefutobashi,35.62750000,139.78861111, 35:37:39,139:47:19,1.0,,,,6.8,9.5,,4.3,2.7,1991,222,1049.0,1991-02-22 10:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.4,,4.4,4.0,,,3.2,0.13,0.0,5
47603,1360172,有明ふ頭橋,アリアケフトウバシ,Ariakefutobashi,35.62750000,139.78861111, 35:37:39,139:47:19,2.0,,,,20.2,12.3,,3.8,1.8,1991,320,1106.0,1991-03-20 11:06:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,8.1,8.5,,4.4,7.0,,,3.3,0.19,0.0,5
45037,1360172,有明ふ頭橋,アリアケフトウバシ,Ariakefutobashi,35.62750000,139.78861111, 35:37:39,139:47:19,16.0,,,,20.4,15.8,,4.2,1.5,1991,418,1043.0,1991-04-18 10:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.2,,3.2,9.0,,,3.0,0.19,0.0,5
45039,1360172,有明ふ頭橋,アリアケフトウバシ,Ariakefutobashi,35.62750000,139.78861111, 35:37:39,139:47:19,2.0,,,,21.4,20.4,,4.6,1.2,1991,522,1037.0,1991-05-22 10:37:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,8.4,10.0,,7.3,13.0,,,4.1,0.3,0.0,5
45041,1360172,有明ふ頭橋,アリアケフトウバシ,Ariakefutobashi,35.62750000,139.78861111, 35:37:39,139:47:19,4.0,,,,26.3,22.8,,4.7,1.4,1991,619,1040.0,1991-06-19 10:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,6.0,,5.1,2.0,,,4.3,0.3,0.0,5
45043,1360172,有明ふ頭橋,アリアケフトウバシ,Ariakefutobashi,35.62750000,139.78861111, 35:37:39,139:47:19,2.0,,,,28.4,24.0,,4.4,2.0,1991,717,1114.0,1991-07-17 11:14:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,7.8,5.4,,5.0,2.0,,,3.8,0.33,0.0,5
45045,1360172,有明ふ頭橋,アリアケフトウバシ,Ariakefutobashi,35.62750000,139.78861111, 35:37:39,139:47:19,2.0,,,,29.2,25.0,,4.2,1.4,1991,821,1055.0,1991-08-21 10:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,3.0,,5.1,6.0,,,4.0,0.35,0.0,5
45047,1360172,有明ふ頭橋,アリアケフトウバシ,Ariakefutobashi,35.62750000,139.78861111, 35:37:39,139:47:19,16.0,,,,20.8,22.4,,4.5,2.2,1991,926,1417.0,1991-09-26 14:17:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,7.7,2.7,,2.5,3.0,,,4.0,0.16,0.0,5
45049,1360172,有明ふ頭橋,アリアケフトウバシ,Ariakefutobashi,35.62750000,139.78861111, 35:37:39,139:47:19,2.0,,,,20.9,20.0,,4.9,2.9,1991,1029,1445.0,1991-10-29 14:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,3.0,,2.4,2.0,,,3.1,0.14,0.0,5
45051,1360172,有明ふ頭橋,アリアケフトウバシ,Ariakefutobashi,35.62750000,139.78861111, 35:37:39,139:47:19,2.0,,,,15.0,18.0,,4.8,4.8,1991,1119,1120.0,1991-11-19 11:20:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,7.7,4.2,,2.0,2.0,,,2.1,0.13,0.0,5
45053,1360172,有明ふ頭橋,アリアケフトウバシ,Ariakefutobashi,35.62750000,139.78861111, 35:37:39,139:47:19,2.0,,,,12.9,14.3,,4.8,2.4,1991,1219,1118.0,1991-12-19 11:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,6.1,,2.2,3.0,,,2.1,0.1,0.0,5
45055,1360172,有明ふ頭橋,アリアケフトウバシ,Ariakefutobashi,35.62750000,139.78861111, 35:37:39,139:47:19,10.0,,,,6.8,12.3,,4.5,2.9,1992,109,1136.0,1992-01-09 11:36:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,7.8,6.7,,1.9,2.0,,,2.3,0.14,0.0,5
45057,1360172,有明ふ頭橋,アリアケフトウバシ,Ariakefutobashi,35.62750000,139.78861111, 35:37:39,139:47:19,1.0,,,,11.2,10.4,,5.0,3.0,1992,214,1109.0,1992-02-14 11:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.8,,2.6,1.0,,,2.4,0.1,0.0,5
