,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
59311,1260701,東京湾１,トウキヨウワン１,,35.61166667,139.89500000, 35:36:42,139:53:42,1.0,,,,,13.0,,,,1985,418,1008.0,1985-04-18 10:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,5.7,,3.2,,79.0,,0.93,0.073,0.7,1
59312,1260701,東京湾１,トウキヨウワン１,,35.61166667,139.89500000, 35:36:42,139:53:42,1.0,,,,10.4,13.3,,8.0,1.8,1985,418,1013.0,1985-04-18 10:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,10.0,,3.8,,49.0,,1.0,0.08800000000000001,0.5,1
59314,1260701,東京湾１,トウキヨウワン１,,35.61166667,139.89500000, 35:36:42,139:53:42,10.0,,,,,17.6,,,,1985,507,1203.0,1985-05-07 12:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.0,,4.3,,130.0,,1.5,0.087,7.0,4
59315,1260701,東京湾１,トウキヨウワン１,,35.61166667,139.89500000, 35:36:42,139:53:42,10.0,,,,14.0,17.6,,8.0,1.8,1985,507,1208.0,1985-05-07 12:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.2,,4.0,,240.0,,1.5,0.095,0.5,1
59317,1260701,東京湾１,トウキヨウワン１,,35.61166667,139.89500000, 35:36:42,139:53:42,4.0,,,,,16.1,,,,1985,612,1015.0,1985-06-12 10:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,1.7,,4.5,,33.0,,1.4,0.12,7.0,4
59318,1260701,東京湾１,トウキヨウワン１,,35.61166667,139.89500000, 35:36:42,139:53:42,4.0,,,,22.0,20.4,,8.0,2.0,1985,612,1020.0,1985-06-12 10:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,9.1,,6.6,,790.0,,1.5,0.13,0.5,1
59320,1260701,東京湾１,トウキヨウワン１,,35.61166667,139.89500000, 35:36:42,139:53:42,10.0,,,,,18.4,,,,1985,703,1021.0,1985-07-03 10:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.6,,2.4,,240.0,,1.6,0.06,7.0,4
59321,1260701,東京湾１,トウキヨウワン１,,35.61166667,139.89500000, 35:36:42,139:53:42,10.0,,,,23.8,19.8,,8.0,0.5,1985,703,1026.0,1985-07-03 10:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,6.9,,3.5,,13000.0,,2.3,0.068,0.5,1
59323,1260701,東京湾１,トウキヨウワン１,,35.61166667,139.89500000, 35:36:42,139:53:42,2.0,,,,,27.8,,,,1985,805,1235.0,1985-08-05 12:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,8.2,,7.2,,0.0,,1.4,0.095,7.0,4
59324,1260701,東京湾１,トウキヨウワン１,,35.61166667,139.89500000, 35:36:42,139:53:42,2.0,,,,30.0,29.4,,8.0,0.9,1985,805,1240.0,1985-08-05 12:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,14.0,,10.0,,0.0,,1.6,0.13,0.5,1
59326,1260701,東京湾１,トウキヨウワン１,,35.61166667,139.89500000, 35:36:42,139:53:42,4.0,,,,,26.0,,,,1985,911,1023.0,1985-09-11 10:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,3.6,,4.9,,27.0,,1.0,0.091,7.0,4
59327,1260701,東京湾１,トウキヨウワン１,,35.61166667,139.89500000, 35:36:42,139:53:42,4.0,,,,27.0,27.5,,8.0,1.5,1985,911,1028.0,1985-09-11 10:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,10.0,,6.1,,2400.0,,1.0,0.1,0.5,1
59329,1260701,東京湾１,トウキヨウワン１,,35.61166667,139.89500000, 35:36:42,139:53:42,2.0,,,,,19.7,,,,1985,1002,1013.0,1985-10-02 10:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,4.0,,2.0,,240.0,,0.76,0.1,7.0,4
59330,1260701,東京湾１,トウキヨウワン１,,35.61166667,139.89500000, 35:36:42,139:53:42,2.0,,,,21.0,19.7,,8.0,3.0,1985,1002,1018.0,1985-10-02 10:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,5.3,,2.5,,330.0,,0.61,0.1,0.5,1
59332,1260701,東京湾１,トウキヨウワン１,,35.61166667,139.89500000, 35:36:42,139:53:42,2.0,,,,,18.7,,,,1985,1105,1215.0,1985-11-05 12:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,5.1,,2.3,,2.0,,0.72,0.064,7.0,4
