,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
59479,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,10.0,,,,,12.7,,,,1985,418,1038.0,1985-04-18 10:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,5.6,,2.6,,2.0,,0.9,0.079,19.0,5
59480,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,10.0,,,,10.0,12.9,,20.0,2.2,1985,418,1043.0,1985-04-18 10:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,10.0,,3.2,,33.0,,0.93,0.068,0.5,1
59482,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,10.0,,,,,15.4,,,,1985,507,1121.0,1985-05-07 11:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.8,,2.3,,0.0,,1.0,0.057999999999999996,19.0,5
59483,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,10.0,,,,14.0,16.6,,20.0,3.8,1985,507,1126.0,1985-05-07 11:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.9,,2.5,,0.0,,1.0,0.05,0.5,1
59485,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,4.0,,,,,15.4,,,,1985,612,1041.0,1985-06-12 10:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.6,,1.9,,0.0,,0.56,0.057999999999999996,19.0,5
59486,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,4.0,,,,21.6,20.1,,20.0,1.5,1985,612,1046.0,1985-06-12 10:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,9.4,,8.0,,2.0,,1.2,0.12,0.5,1
59488,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,10.0,,,,,18.2,,,,1985,703,955.0,1985-07-03 09:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.6,,2.4,,240.0,,0.73,0.068,19.0,5
59489,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,10.0,,,,23.5,22.2,,20.0,1.3,1985,703,1000.0,1985-07-03 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.9,,4.5,,2400.0,,2.1,0.085,0.5,1
59491,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,2.0,,,,,20.2,,,,1985,805,1210.0,1985-08-05 12:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,0.8,,3.6,,2.0,,1.0,0.077,19.0,5
59492,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,2.0,,,,31.0,28.8,,20.0,1.1,1985,805,1215.0,1985-08-05 12:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,11.0,,8.5,,0.0,,1.2,0.09300000000000001,0.5,1
59494,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,4.0,,,,,17.9,,,,1985,911,1051.0,1985-09-11 10:51:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,0.5,,2.0,,2.0,,0.79,0.11,19.0,5
59495,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,4.0,,,,27.0,26.8,,20.0,2.0,1985,911,1056.0,1985-09-11 10:56:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,9.8,,5.3,,0.0,,0.88,0.062,0.5,1
59497,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,2.0,,,,,19.9,,,,1985,1003,948.0,1985-10-03 09:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,4.9,,1.9,,5.0,,0.56,0.092,18.0,5
59498,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,2.0,,,,23.0,19.9,,19.0,2.5,1985,1003,953.0,1985-10-03 09:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.0,,3.7,,240.0,,0.63,0.1,0.5,1
59500,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,2.0,,,,,19.4,,,,1985,1105,1157.0,1985-11-05 11:57:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.2,,1.6,,0.0,,0.65,0.07400000000000001,19.0,5
59501,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,2.0,,,,22.5,18.0,,20.0,3.0,1985,1105,1202.0,1985-11-05 12:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.5,,3.0,,49.0,,0.84,0.08199999999999999,0.5,1
59503,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,1.0,,,,,16.9,,,,1985,1204,1052.0,1985-12-04 10:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,3.8,,1.8,,0.0,,1.0,0.083,19.0,5
59504,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,1.0,,,,14.0,15.0,,20.0,4.5,1985,1204,1057.0,1985-12-04 10:57:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.7,,2.1,,0.0,,1.0,0.08199999999999999,0.5,1
59506,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,1.0,,,,,9.5,,,,1986,110,1043.0,1986-01-10 10:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.2,,2.6,,2.0,,0.97,0.065,19.0,5
59507,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,1.0,,,,9.0,8.7,,20.0,5.0,1986,110,1048.0,1986-01-10 10:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,9.4,,2.1,,130.0,,1.0,0.071,0.5,1
59509,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,2.0,,,,,8.4,,,,1986,204,1125.0,1986-02-04 11:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,11.0,,3.2,,0.0,,1.1,0.057,19.0,5
59510,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,2.0,,,,6.3,8.5,,20.0,1.7,1986,204,1130.0,1986-02-04 11:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,11.0,,2.7,,0.0,,1.2,0.055,0.5,1
59512,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,10.0,,,,,8.4,,,,1986,314,1050.0,1986-03-14 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,6.7,,3.7,,0.0,,0.94,0.049,19.0,5
59513,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,10.0,,,,6.7,8.4,,20.0,2.1,1986,314,1055.0,1986-03-14 10:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,10.0,,4.0,,2.0,,1.2,0.049,0.5,1
56959,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,4.0,,,,,12.3,,,,1986,417,1031.0,1986-04-17 10:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.9,,2.9,,5.0,,1.0,0.055999999999999994,18.0,5
56960,1260901,東京湾１０,トウキヨウワン１０,,35.53500000,139.94666667, 35:32:06,139:56:48,4.0,,,,12.5,12.0,,19.0,2.8,1986,417,1036.0,1986-04-17 10:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.7,,2.8,,2.0,,1.1,0.078,0.5,1
