,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
59143,1260203,東京湾１１,トウキヨウワン１１,,35.50166667,139.98166667, 35:30:06,139:58:54,4.0,,,,,13.3,,,,1985,415,1300.0,1985-04-15 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.3,,1.8,,8.0,,0.71,0.061,16.0,5
59144,1260203,東京湾１１,トウキヨウワン１１,,35.50166667,139.98166667, 35:30:06,139:58:54,4.0,,,,16.5,12.8,,17.0,3.0,1985,415,1305.0,1985-04-15 13:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.7,,2.8,,33.0,,1.0,0.075,0.5,1
59146,1260203,東京湾１１,トウキヨウワン１１,,35.50166667,139.98166667, 35:30:06,139:58:54,10.0,,,,,16.0,,,,1985,507,1111.0,1985-05-07 11:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.9,,1.6,,2.0,,0.82,0.044000000000000004,16.0,5
59147,1260203,東京湾１１,トウキヨウワン１１,,35.50166667,139.98166667, 35:30:06,139:58:54,10.0,,,,13.5,16.8,,17.0,5.5,1985,507,1116.0,1985-05-07 11:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.6,,1.9,,7.0,,1.0,0.042,0.5,1
59149,1260203,東京湾１１,トウキヨウワン１１,,35.50166667,139.98166667, 35:30:06,139:58:54,4.0,,,,,16.2,,,,1985,611,1256.0,1985-06-11 12:56:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,5.4,,2.2,,2.0,,0.6,0.052000000000000005,16.0,5
59150,1260203,東京湾１１,トウキヨウワン１１,,35.50166667,139.98166667, 35:30:06,139:58:54,4.0,,,,24.5,20.0,,17.0,2.5,1985,611,1301.0,1985-06-11 13:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.4,,5.0,,0.0,,1.0,0.1,0.5,1
59152,1260203,東京湾１１,トウキヨウワン１１,,35.50166667,139.98166667, 35:30:06,139:58:54,10.0,,,,,19.3,,,,1985,702,1251.0,1985-07-02 12:51:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.8,,1.3,,130.0,,0.69,0.06,16.0,5
59153,1260203,東京湾１１,トウキヨウワン１１,,35.50166667,139.98166667, 35:30:06,139:58:54,10.0,,,,23.8,21.4,,17.0,1.2,1985,702,1256.0,1985-07-02 12:56:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.1,,4.3,,3400.0,,1.7,0.1,0.5,1
59155,1260203,東京湾１１,トウキヨウワン１１,,35.50166667,139.98166667, 35:30:06,139:58:54,2.0,,,,,20.3,,,,1985,805,955.0,1985-08-05 09:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,2.1,,2.5,,2.0,,0.8,0.076,16.0,5
59156,1260203,東京湾１１,トウキヨウワン１１,,35.50166667,139.98166667, 35:30:06,139:58:54,2.0,,,,29.5,28.5,,17.0,1.2,1985,805,1000.0,1985-08-05 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,10.0,,7.0,,22.0,,1.3,0.069,0.5,1
