,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
59587,1261001,東京湾１３,トウキヨウワン１３,,35.48833333,139.90666667, 35:29:18,139:54:24,4.0,,,,,13.2,,,,1985,415,1242.0,1985-04-15 12:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.4,,1.3,,79.0,,0.83,0.05,19.0,5
59588,1261001,東京湾１３,トウキヨウワン１３,,35.48833333,139.90666667, 35:29:18,139:54:24,4.0,,,,16.0,13.2,,20.0,2.5,1985,415,1247.0,1985-04-15 12:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,10.0,,3.8,,49.0,,1.1,0.069,0.5,1
59590,1261001,東京湾１３,トウキヨウワン１３,,35.48833333,139.90666667, 35:29:18,139:54:24,10.0,,,,,15.2,,,,1985,507,1057.0,1985-05-07 10:57:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.7,,1.7,,0.0,,0.76,0.047,19.0,5
59591,1261001,東京湾１３,トウキヨウワン１３,,35.48833333,139.90666667, 35:29:18,139:54:24,10.0,,,,14.0,16.5,,20.0,6.5,1985,507,1102.0,1985-05-07 11:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.5,,1.8,,0.0,,0.95,0.047,0.5,1
59593,1261001,東京湾１３,トウキヨウワン１３,,35.48833333,139.90666667, 35:29:18,139:54:24,4.0,,,,,15.6,,,,1985,611,1238.0,1985-06-11 12:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,4.7,,2.1,,17.0,,0.56,0.071,19.0,5
59594,1261001,東京湾１３,トウキヨウワン１３,,35.48833333,139.90666667, 35:29:18,139:54:24,4.0,,,,24.5,20.3,,20.0,2.0,1985,611,1243.0,1985-06-11 12:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,9.2,,6.5,,240.0,,0.92,0.071,0.5,1
59596,1261001,東京湾１３,トウキヨウワン１３,,35.48833333,139.90666667, 35:29:18,139:54:24,10.0,,,,,18.9,,,,1985,702,1232.0,1985-07-02 12:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.9,,1.9,,79.0,,0.63,0.06,19.0,5
59597,1261001,東京湾１３,トウキヨウワン１３,,35.48833333,139.90666667, 35:29:18,139:54:24,10.0,,,,22.0,21.3,,20.0,1.2,1985,702,1237.0,1985-07-02 12:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,9.7,,6.2,,2400.0,,2.1,0.1,0.5,1
59599,1261001,東京湾１３,トウキヨウワン１３,,35.48833333,139.90666667, 35:29:18,139:54:24,2.0,,,,,20.3,,,,1985,805,1148.0,1985-08-05 11:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,2.2,,2.8,,2.0,,0.92,0.11,19.0,5
59600,1261001,東京湾１３,トウキヨウワン１３,,35.48833333,139.90666667, 35:29:18,139:54:24,2.0,,,,30.5,28.7,,20.0,1.2,1985,805,1153.0,1985-08-05 11:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,9.8,,8.0,,8.0,,1.3,0.071,0.5,1
59602,1261001,東京湾１３,トウキヨウワン１３,,35.48833333,139.90666667, 35:29:18,139:54:24,2.0,,,,,18.1,,,,1985,910,1225.0,1985-09-10 12:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,1.5,,1.5,,7.0,,0.55,0.1,19.0,5
