,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
59551,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,2.0,,,,,12.6,,,,1985,415,1123.0,1985-04-15 11:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.4,,1.2,,49.0,,0.95,0.054000000000000006,14.0,5
59552,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,2.0,,,,14.8,12.9,,15.0,5.0,1985,415,1128.0,1985-04-15 11:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.1,,1.6,,23.0,,0.79,0.054000000000000006,0.5,1
59554,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,10.0,,,,,15.6,,,,1985,507,1022.0,1985-05-07 10:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,6.6,,1.9,,33.0,,0.77,0.045,14.0,5
59555,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,10.0,,,,13.5,16.2,,15.0,5.0,1985,507,1027.0,1985-05-07 10:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.1,,1.7,,79.0,,0.92,0.055999999999999994,0.5,1
59557,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,4.0,,,,,16.9,,,,1985,611,1121.0,1985-06-11 11:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,5.7,,2.4,,0.0,,0.59,0.04,14.0,5
59558,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,4.0,,,,24.0,18.4,,15.0,2.5,1985,611,1126.0,1985-06-11 11:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.3,,3.2,,13.0,,0.68,0.054000000000000006,0.5,1
59560,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,10.0,,,,,19.1,,,,1985,702,1113.0,1985-07-02 11:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.1,,1.7,,240.0,,0.61,0.078,14.0,5
59561,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,10.0,,,,23.8,20.2,,15.0,2.5,1985,702,1118.0,1985-07-02 11:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.2,,2.3,,490.0,,0.75,0.073,0.5,1
59563,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,2.0,,,,,20.8,,,,1985,805,1049.0,1985-08-05 10:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,2.9,,4.1,,2.0,,0.62,0.065,14.0,5
59564,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,2.0,,,,27.8,26.4,,15.0,1.8,1985,805,1054.0,1985-08-05 10:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,9.7,,5.3,,2.0,,0.96,0.061,0.5,1
59566,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,2.0,,,,,21.1,,,,1985,910,1115.0,1985-09-10 11:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,1.6,,3.0,,2.0,,0.67,0.068,14.0,5
59567,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,2.0,,,,30.5,25.9,,15.0,2.8,1985,910,1120.0,1985-09-10 11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,8.5,,4.7,,11.0,,0.65,0.068,0.5,1
59569,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,2.0,,,,,20.2,,,,1985,1001,1120.0,1985-10-01 11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.5,,2.7,,0.0,,0.75,0.092,14.0,5
59570,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,2.0,,,,25.4,20.6,,15.0,3.5,1985,1001,1125.0,1985-10-01 11:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.0,,2.2,,5.0,,0.62,0.083,0.5,1
59572,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,2.0,,,,,18.7,,,,1985,1105,1038.0,1985-11-05 10:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,5.8,,2.0,,0.0,,0.67,0.062,14.0,5
59573,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,2.0,,,,23.5,18.0,,15.0,5.5,1985,1105,1043.0,1985-11-05 10:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.9,,2.2,,0.0,,0.65,0.068,0.5,1
59575,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,1.0,,,,,15.9,,,,1985,1203,1125.0,1985-12-03 11:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.0,,1.6,,2.0,,0.83,0.067,14.0,5
59576,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,1.0,,,,15.4,15.5,,15.0,4.8,1985,1203,1130.0,1985-12-03 11:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.1,,2.1,,0.0,,0.69,0.068,0.5,1
59578,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,2.0,,,,,10.4,,,,1986,108,1123.0,1986-01-08 11:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.6,,2.5,,23.0,,1.0,0.067,14.0,5
59579,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,2.0,,,,11.2,10.2,,15.0,8.5,1986,108,1128.0,1986-01-08 11:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.2,,1.8,,2.0,,0.94,0.061,0.5,1
59581,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,4.0,,,,,8.7,,,,1986,204,1025.0,1986-02-04 10:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,10.0,,2.4,,0.0,,0.72,0.044000000000000004,14.0,5
59582,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,4.0,,,,5.2,8.6,,15.0,2.5,1986,204,1030.0,1986-02-04 10:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,10.0,,2.4,,0.0,,0.75,0.042,0.5,1
59584,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,1.0,,,,,9.1,,,,1986,313,1122.0,1986-03-13 11:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.7,,2.8,,2.0,,0.83,0.047,14.0,5
59585,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,1.0,,,,14.3,9.4,,15.0,3.8,1986,313,1127.0,1986-03-13 11:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,9.4,,2.6,,49.0,,0.82,0.036000000000000004,0.5,1
57031,1260903,東京湾１８,トウキヨウワン１８,,35.35333333,139.80166667, 35:21:12,139:48:06,10.0,,,,,12.5,,,,1986,415,1117.0,1986-04-15 11:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.6,,1.8,,0.0,,1.0,0.05,14.0,5
