,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
59659,1261101,東京湾１９,トウキヨウワン１９,,35.28833333,139.78000000, 35:17:18,139:46:48,2.0,,,,,13.0,,,,1985,415,1110.0,1985-04-15 11:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.7,,1.6,,17.0,,0.8,0.043,7.0,3
59660,1261101,東京湾１９,トウキヨウワン１９,,35.28833333,139.78000000, 35:17:18,139:46:48,2.0,,,,15.8,12.9,,8.0,6.0,1985,415,1115.0,1985-04-15 11:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.2,,1.3,,2.0,,0.79,0.052000000000000005,0.5,1
59662,1261101,東京湾１９,トウキヨウワン１９,,35.28833333,139.78000000, 35:17:18,139:46:48,2.0,,,,,15.6,,,,1985,508,1102.0,1985-05-08 11:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.7,,2.0,,0.0,,0.9,0.044000000000000004,7.0,3
59663,1261101,東京湾１９,トウキヨウワン１９,,35.28833333,139.78000000, 35:17:18,139:46:48,2.0,,,,22.5,16.4,,8.0,6.5,1985,508,1107.0,1985-05-08 11:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,6.9,,2.0,,0.0,,0.94,0.04,0.5,1
59665,1261101,東京湾１９,トウキヨウワン１９,,35.28833333,139.78000000, 35:17:18,139:46:48,4.0,,,,,17.7,,,,1985,611,1108.0,1985-06-11 11:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.2,,2.0,,4.0,,0.69,0.04,7.0,3
59666,1261101,東京湾１９,トウキヨウワン１９,,35.28833333,139.78000000, 35:17:18,139:46:48,4.0,,,,24.0,18.3,,8.0,5.5,1985,611,1113.0,1985-06-11 11:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.6,,2.4,,11.0,,0.68,0.042,0.5,1
59668,1261101,東京湾１９,トウキヨウワン１９,,35.28833333,139.78000000, 35:17:18,139:46:48,10.0,,,,,18.7,,,,1985,702,1101.0,1985-07-02 11:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,4.6,,2.4,,49.0,,0.52,0.059000000000000004,7.0,3
59669,1261101,東京湾１９,トウキヨウワン１９,,35.28833333,139.78000000, 35:17:18,139:46:48,10.0,,,,22.5,21.0,,8.0,1.8,1985,702,1106.0,1985-07-02 11:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.7,,2.0,,790.0,,0.62,0.066,0.5,1
59671,1261101,東京湾１９,トウキヨウワン１９,,35.28833333,139.78000000, 35:17:18,139:46:48,2.0,,,,,22.3,,,,1985,806,1102.0,1985-08-06 11:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,5.1,,4.2,,0.0,,0.71,0.044000000000000004,7.0,3
59672,1261101,東京湾１９,トウキヨウワン１９,,35.28833333,139.78000000, 35:17:18,139:46:48,2.0,,,,28.5,26.4,,8.0,2.5,1985,806,1107.0,1985-08-06 11:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,7.0,,4.1,,5.0,,0.66,0.051,0.5,1
