,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
59275,1260601,東京湾２,トウキヨウワン２,,35.67638889,139.94500000, 35:40:35,139:56:42,10.0,,,,,13.7,,,,1985,418,940.0,1985-04-18 09:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,6.1,,2.2,,1400.0,,1.0,0.11,0.6,1
59276,1260601,東京湾２,トウキヨウワン２,,35.67638889,139.94500000, 35:40:35,139:56:42,10.0,,,,10.0,13.6,,7.0,2.5,1985,418,945.0,1985-04-18 09:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,6.7,,2.9,,1700.0,,1.2,0.1,0.5,1
59278,1260601,東京湾２,トウキヨウワン２,,35.67638889,139.94500000, 35:40:35,139:56:42,4.0,,,,,17.7,,,,1985,507,1234.0,1985-05-07 12:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,5.1,,6.5,,1300.0,,2.4,0.26,5.0,3
59279,1260601,東京湾２,トウキヨウワン２,,35.67638889,139.94500000, 35:40:35,139:56:42,4.0,,,,14.4,17.7,,6.0,0.9,1985,507,1239.0,1985-05-07 12:39:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,5.5,,8.4,,340.0,,3.0,0.32,0.5,1
59281,1260601,東京湾２,トウキヨウワン２,,35.67638889,139.94500000, 35:40:35,139:56:42,4.0,,,,,17.9,,,,1985,612,947.0,1985-06-12 09:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,2.2,,3.2,,790.0,,1.3,0.18,6.0,3
59282,1260601,東京湾２,トウキヨウワン２,,35.67638889,139.94500000, 35:40:35,139:56:42,4.0,,,,21.2,18.4,,7.0,3.5,1985,612,952.0,1985-06-12 09:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,3.5,,3.7,,24000.0,,1.1,0.2,0.5,1
59284,1260601,東京湾２,トウキヨウワン２,,35.67638889,139.94500000, 35:40:35,139:56:42,10.0,,,,,19.4,,,,1985,703,1052.0,1985-07-03 10:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,4.0,,12.0,,49000.0,,2.3,0.6,6.0,3
59285,1260601,東京湾２,トウキヨウワン２,,35.67638889,139.94500000, 35:40:35,139:56:42,10.0,,,,21.5,16.6,,7.0,0.1,1985,703,1057.0,1985-07-03 10:57:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,7.0,,13.0,,240000.0,,3.9,0.6,0.5,1
59287,1260601,東京湾２,トウキヨウワン２,,35.67638889,139.94500000, 35:40:35,139:56:42,1.0,,,,,28.8,,,,1985,805,1307.0,1985-08-05 13:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,4.0,,8.4,,230.0,,1.5,0.19,6.0,3
59288,1260601,東京湾２,トウキヨウワン２,,35.67638889,139.94500000, 35:40:35,139:56:42,1.0,,,,30.4,29.6,,7.0,0.6,1985,805,1312.0,1985-08-05 13:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,10.0,,9.2,,79.0,,1.8,0.18,0.5,1
59290,1260601,東京湾２,トウキヨウワン２,,35.67638889,139.94500000, 35:40:35,139:56:42,4.0,,,,,26.8,,,,1985,911,950.0,1985-09-11 09:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,2.4,,5.0,,490.0,,1.3,0.18,5.0,3
59291,1260601,東京湾２,トウキヨウワン２,,35.67638889,139.94500000, 35:40:35,139:56:42,4.0,,,,27.0,27.2,,6.0,1.5,1985,911,955.0,1985-09-11 09:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,5.9,,5.7,,490.0,,1.2,0.17,0.5,1
59293,1260601,東京湾２,トウキヨウワン２,,35.67638889,139.94500000, 35:40:35,139:56:42,2.0,,,,,18.5,,,,1985,1002,1045.0,1985-10-02 10:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,3.8,,2.3,,490.0,,1.3,0.18,5.0,3
59294,1260601,東京湾２,トウキヨウワン２,,35.67638889,139.94500000, 35:40:35,139:56:42,2.0,,,,21.5,18.3,,6.0,1.5,1985,1002,1050.0,1985-10-02 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,5.2,,2.9,,1300.0,,1.0,0.18,0.5,1
59296,1260601,東京湾２,トウキヨウワン２,,35.67638889,139.94500000, 35:40:35,139:56:42,4.0,,,,,16.8,,,,1985,1105,1252.0,1985-11-05 12:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,7.4,,3.0,,330.0,,1.2,0.14,6.0,3
59297,1260601,東京湾２,トウキヨウワン２,,35.67638889,139.94500000, 35:40:35,139:56:42,4.0,,,,22.0,16.8,,7.0,1.8,1985,1105,1257.0,1985-11-05 12:57:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,7.3,,3.0,,790.0,,1.1,0.15,0.5,1
