,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
59695,1261102,東京湾２０,トウキヨウワン２０,,35.24500000,139.83000000, 35:14:42,139:49:48,2.0,,,,,12.7,,,,1985,415,1050.0,1985-04-15 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,2.4,,5.0,,0.84,0.049,9.0,4
59696,1261102,東京湾２０,トウキヨウワン２０,,35.24500000,139.83000000, 35:14:42,139:49:48,2.0,,,,16.4,12.8,,10.0,5.0,1985,415,1055.0,1985-04-15 10:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.6,,1.4,,5.0,,0.82,0.045,0.5,1
59698,1261102,東京湾２０,トウキヨウワン２０,,35.24500000,139.83000000, 35:14:42,139:49:48,2.0,,,,,15.9,,,,1985,508,1047.0,1985-05-08 10:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.3,,1.6,,0.0,,0.63,0.034,9.0,4
59699,1261102,東京湾２０,トウキヨウワン２０,,35.24500000,139.83000000, 35:14:42,139:49:48,2.0,,,,22.5,16.8,,10.0,9.5,1985,508,1052.0,1985-05-08 10:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.0,,1.5,,0.0,,0.73,0.024,0.5,1
59701,1261102,東京湾２０,トウキヨウワン２０,,35.24500000,139.83000000, 35:14:42,139:49:48,4.0,,,,,17.3,,,,1985,611,1046.0,1985-06-11 10:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,6.6,,2.0,,11.0,,0.53,0.036000000000000004,9.0,4
59702,1261102,東京湾２０,トウキヨウワン２０,,35.24500000,139.83000000, 35:14:42,139:49:48,4.0,,,,23.0,18.6,,10.0,3.0,1985,611,1051.0,1985-06-11 10:51:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.1,,3.8,,13.0,,0.71,0.05,0.5,1
59704,1261102,東京湾２０,トウキヨウワン２０,,35.24500000,139.83000000, 35:14:42,139:49:48,10.0,,,,,19.1,,,,1985,702,1046.0,1985-07-02 10:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,5.4,,2.4,,46.0,,0.47,0.055999999999999994,9.0,4
59705,1261102,東京湾２０,トウキヨウワン２０,,35.24500000,139.83000000, 35:14:42,139:49:48,10.0,,,,22.0,20.5,,10.0,2.0,1985,702,1051.0,1985-07-02 10:51:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.3,,2.1,,330.0,,0.6,0.067,0.5,1
59707,1261102,東京湾２０,トウキヨウワン２０,,35.24500000,139.83000000, 35:14:42,139:49:48,2.0,,,,,22.9,,,,1985,806,1045.0,1985-08-06 10:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,5.7,,3.9,,2.0,,0.7,0.047,9.0,4
59708,1261102,東京湾２０,トウキヨウワン２０,,35.24500000,139.83000000, 35:14:42,139:49:48,2.0,,,,30.0,25.7,,10.0,2.0,1985,806,1050.0,1985-08-06 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,8.1,,4.3,,0.0,,0.79,0.05,0.5,1
