,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
59821,1261154,東京湾２４,トウキヨウワン２４,,35.02333333,139.81666667, 35:01:24,139:49:00,2.0,,,,20.8,15.9,,10.0,,1985,422,1217.0,1985-04-22 12:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,9.7,,2.4,,2.0,,0.27,0.018000000000000002,0.9,1
59822,1261154,東京湾２４,トウキヨウワン２４,,35.02333333,139.81666667, 35:01:24,139:49:00,2.0,,,,20.8,16.8,,10.0,6.0,1985,422,1223.0,1985-04-22 12:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,9.7,,2.3,,0.0,,0.23,0.019,0.5,1
59823,1261154,東京湾２４,トウキヨウワン２４,,35.02333333,139.81666667, 35:01:24,139:49:00,4.0,,,,22.0,18.0,,10.0,7.5,1985,513,1250.0,1985-05-13 12:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.4,,1.3,,0.0,,0.2,0.017,9.0,2
59824,1261154,東京湾２４,トウキヨウワン２４,,35.02333333,139.81666667, 35:01:24,139:49:00,4.0,,,,22.0,18.0,,10.0,7.5,1985,513,1255.0,1985-05-13 12:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.6,,2.4,,0.0,,0.15,0.02,0.5,1
59826,1261154,東京湾２４,トウキヨウワン２４,,35.02333333,139.81666667, 35:01:24,139:49:00,4.0,,,,22.8,20.5,,10.0,8.0,1985,617,1206.0,1985-06-17 12:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.9,,2.3,,0.0,,0.32,0.013999999999999999,9.0,2
59827,1261154,東京湾２４,トウキヨウワン２４,,35.02333333,139.81666667, 35:01:24,139:49:00,4.0,,,,22.8,20.9,,10.0,8.0,1985,617,1211.0,1985-06-17 12:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.8,,1.8,,0.0,,0.26,0.016,0.5,1
59828,1261154,東京湾２４,トウキヨウワン２４,,35.02333333,139.81666667, 35:01:24,139:49:00,2.0,,,,29.0,19.7,,10.0,4.0,1985,715,1225.0,1985-07-15 12:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,6.1,,1.3,,5.0,,0.27,0.019,9.0,2
59829,1261154,東京湾２４,トウキヨウワン２４,,35.02333333,139.81666667, 35:01:24,139:49:00,2.0,,,,29.0,23.9,,10.0,4.0,1985,715,1230.0,1985-07-15 12:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,9.5,,2.5,,0.0,,0.09,0.019,0.5,1
59831,1261154,東京湾２４,トウキヨウワン２４,,35.02333333,139.81666667, 35:01:24,139:49:00,4.0,,,,30.8,22.7,,10.0,2.0,1985,819,1208.0,1985-08-19 12:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,6.3,,1.6,,49.0,,0.29,0.027000000000000003,9.0,2
59832,1261154,東京湾２４,トウキヨウワン２４,,35.02333333,139.81666667, 35:01:24,139:49:00,4.0,,,,30.8,26.6,,10.0,2.0,1985,819,1213.0,1985-08-19 12:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,7.8,,2.8,,0.0,,0.34,0.033,0.5,1
