,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
59851,1261155,東京湾２５,トウキヨウワン２５,,35.00333333,139.84666667, 35:00:12,139:50:48,2.0,,,,22.5,15.9,,10.0,,1985,422,1239.0,1985-04-22 12:39:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,7.7,,1.3,,5.0,,0.21,0.023,9.0,3
59852,1261155,東京湾２５,トウキヨウワン２５,,35.00333333,139.84666667, 35:00:12,139:50:48,2.0,,,,22.5,16.7,,10.0,7.0,1985,422,1241.0,1985-04-22 12:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,9.4,,2.2,,5.0,,0.13,0.027999999999999997,0.5,1
59853,1261155,東京湾２５,トウキヨウワン２５,,35.00333333,139.84666667, 35:00:12,139:50:48,4.0,,,,22.2,17.5,,9.0,5.5,1985,513,1258.0,1985-05-13 12:58:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.9,,1.4,,4.0,,0.22,0.018000000000000002,8.0,3
59854,1261155,東京湾２５,トウキヨウワン２５,,35.00333333,139.84666667, 35:00:12,139:50:48,4.0,,,,22.2,18.5,,9.0,5.5,1985,513,1303.0,1985-05-13 13:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.6,,1.1,,0.0,,0.21,0.021,0.5,1
59856,1261155,東京湾２５,トウキヨウワン２５,,35.00333333,139.84666667, 35:00:12,139:50:48,4.0,,,,21.5,20.8,,10.0,6.5,1985,617,1241.0,1985-06-17 12:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.2,,2.0,,7.0,,0.32,0.019,9.0,3
59857,1261155,東京湾２５,トウキヨウワン２５,,35.00333333,139.84666667, 35:00:12,139:50:48,4.0,,,,21.5,20.5,,10.0,6.5,1985,617,1246.0,1985-06-17 12:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.6,,1.5,,0.0,,0.27,0.016,0.5,1
59858,1261155,東京湾２５,トウキヨウワン２５,,35.00333333,139.84666667, 35:00:12,139:50:48,2.0,,,,29.0,20.8,,10.0,3.5,1985,715,1250.0,1985-07-15 12:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,7.0,,1.6,,2.0,,0.26,0.019,9.0,3
59859,1261155,東京湾２５,トウキヨウワン２５,,35.00333333,139.84666667, 35:00:12,139:50:48,2.0,,,,29.0,24.2,,10.0,3.5,1985,715,1255.0,1985-07-15 12:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,10.0,,2.5,,0.0,,0.3,0.02,0.5,1
59861,1261155,東京湾２５,トウキヨウワン２５,,35.00333333,139.84666667, 35:00:12,139:50:48,4.0,,,,30.5,23.5,,10.0,3.0,1985,819,1215.0,1985-08-19 12:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,6.1,,2.0,,4.0,,0.24,0.024,9.0,3
59862,1261155,東京湾２５,トウキヨウワン２５,,35.00333333,139.84666667, 35:00:12,139:50:48,4.0,,,,30.5,26.8,,10.0,3.0,1985,819,1220.0,1985-08-19 12:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.5,,2.8,,11.0,,0.26,0.027000000000000003,0.5,1
59863,1261155,東京湾２５,トウキヨウワン２５,,35.00333333,139.84666667, 35:00:12,139:50:48,2.0,,,,25.4,23.0,,10.0,7.0,1985,917,1233.0,1985-09-17 12:33:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.7,,2.6,,0.0,,0.23,0.027000000000000003,9.0,3
59864,1261155,東京湾２５,トウキヨウワン２５,,35.00333333,139.84666667, 35:00:12,139:50:48,2.0,,,,25.4,23.3,,10.0,7.0,1985,917,1238.0,1985-09-17 12:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.8,,2.0,,33.0,,0.14,0.028999999999999998,0.5,1
