,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
34420,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,4.0,,,,16.6,17.9,,16.0,12.3,1995,418,1120.0,1995-04-18 11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,7.7,,0.9,,0.0,,0.21,0.017,5.0,1
34421,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,4.0,,,,,17.6,,,,1995,418,1125.0,1995-04-18 11:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,7.6,,0.8,,0.0,,0.19,0.016,150.0,2
34423,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,10.0,,,,17.6,18.2,,124.0,7.0,1995,515,1117.0,1995-05-15 11:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.4,,1.2,,0.0,,0.33,0.02,5.0,1
34424,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,10.0,,,,,18.1,,,,1995,515,1122.0,1995-05-15 11:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.4,,1.1,,0.0,,0.25,0.013999999999999999,150.0,2
34426,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,10.0,,,,19.0,19.8,,124.0,9.1,1995,614,1115.0,1995-06-14 11:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.4,,1.0,,5.0,,0.14,0.012,5.0,1
34427,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,10.0,,,,,19.6,,,,1995,614,1120.0,1995-06-14 11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.4,,0.9,,2.0,,0.12,0.01,150.0,2
34429,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,2.0,,,,23.4,23.0,,124.0,4.0,1995,711,1135.0,1995-07-11 11:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.4,,1.8,,0.0,,0.29,0.019,5.0,1
34430,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,2.0,,,,,21.2,,,,1995,711,1140.0,1995-07-11 11:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.0,,1.1,,2.0,,0.21,0.019,150.0,2
34432,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,2.0,,,,27.1,26.0,,124.0,11.0,1995,821,1150.0,1995-08-21 11:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,6.9,,1.4,,0.0,,0.21,0.015,5.0,1
34433,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,2.0,,,,,23.6,,,,1995,821,1155.0,1995-08-21 11:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,4.6,,0.9,,0.0,,0.12,0.013999999999999999,150.0,2
34435,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,2.0,,,,24.0,23.6,,124.0,12.5,1995,912,1118.0,1995-09-12 11:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.1,,1.2,,0.0,,0.13,0.013999999999999999,5.0,1
34436,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,2.0,,,,,23.6,,,,1995,912,1123.0,1995-09-12 11:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.0,,0.9,,0.0,,0.13,0.013000000000000001,150.0,2
34438,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,1.0,,,,19.1,22.0,,500.0,20.0,1995,1030,1126.0,1995-10-30 11:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,6.9,,1.0,,2.0,,0.16,0.009000000000000001,5.0,1
34439,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,1.0,,,,,21.9,,,,1995,1030,1131.0,1995-10-30 11:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.1,,0.8,,0.0,,0.11,0.009000000000000001,150.0,2
34441,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,1.0,,,,15.5,19.8,,500.0,20.0,1995,1113,1120.0,1995-11-13 11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.3,,0.9,,0.0,,0.23,0.017,5.0,1
34442,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,1.0,,,,,19.8,,,,1995,1113,1125.0,1995-11-13 11:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.1,,0.7,,0.0,,0.14,0.015,150.0,2
34444,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,2.0,,,,12.0,17.8,,500.0,15.8,1995,1209,1115.0,1995-12-09 11:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.2,,0.9,,0.0,,0.27,0.013999999999999999,5.0,1
34445,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,2.0,,,,,17.8,,,,1995,1209,1120.0,1995-12-09 11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.2,,0.6,,0.0,,0.13,0.013000000000000001,150.0,2
34447,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,4.0,,,,5.3,14.1,,500.0,20.0,1996,119,1120.0,1996-01-19 11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.2,,0.7,,0.0,,0.33,0.022000000000000002,5.0,1
34448,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,4.0,,,,,13.4,,,,1996,119,1125.0,1996-01-19 11:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.5,,0.7,,0.0,,0.22,0.025,150.0,2
34450,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,2.0,,,,12.8,14.7,,500.0,25.0,1996,213,1135.0,1996-02-13 11:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.5,,0.5,,0.0,,0.24,0.021,5.0,1
34451,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,2.0,,,,,14.4,,,,1996,213,1140.0,1996-02-13 11:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.4,,0.7,,0.0,,0.22,0.021,150.0,2
34453,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,2.0,,,,9.7,12.6,,500.0,14.3,1996,314,1115.0,1996-03-14 11:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.5,,0.7,,0.0,,0.35,0.03,5.0,1
34454,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,2.0,,,,,12.6,,,,1996,314,1120.0,1996-03-14 11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.3,,0.6,,0.0,,0.36,0.031,150.0,2
31752,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,,,,,9.5,15.0,,500.0,18.7,1996,422,1115.0,1996-04-22 11:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.5,,0.8,,,,0.26,0.02,5.0,1
31753,1261158,東京湾２８,トウキョウワン２８,Tokyowan28,35.05666667,139.75777778, 35:03:24,139:45:28,,,,,,14.6,,,,1996,422,1120.0,1996-04-22 11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.7,,0.9,,,,0.22,0.02,150.0,2
