,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
59407,1260801,東京湾４,トウキヨウワン４,,35.60750000,139.96277778, 35:36:27,139:57:46,10.0,,,,,13.0,,,,1985,418,955.0,1985-04-18 09:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.6,,3.8,,8.0,,0.99,0.076,0.9,1
59408,1260801,東京湾４,トウキヨウワン４,,35.60750000,139.96277778, 35:36:27,139:57:46,10.0,,,,10.8,13.1,,10.0,2.0,1985,418,1000.0,1985-04-18 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,10.0,,3.4,,49.0,,1.1,0.073,0.5,1
59410,1260801,東京湾４,トウキヨウワン４,,35.60750000,139.96277778, 35:36:27,139:57:46,4.0,,,,,17.7,,,,1985,507,1218.0,1985-05-07 12:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.0,,4.2,,13.0,,1.7,0.086,9.0,4
59411,1260801,東京湾４,トウキヨウワン４,,35.60750000,139.96277778, 35:36:27,139:57:46,4.0,,,,14.0,17.7,,10.0,2.0,1985,507,1223.0,1985-05-07 12:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.0,,3.6,,130.0,,1.7,0.083,0.5,1
59413,1260801,東京湾４,トウキヨウワン４,,35.60750000,139.96277778, 35:36:27,139:57:46,4.0,,,,,15.9,,,,1985,612,1000.0,1985-06-12 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.5,,3.5,,17.0,,0.84,0.11,9.0,4
59414,1260801,東京湾４,トウキヨウワン４,,35.60750000,139.96277778, 35:36:27,139:57:46,4.0,,,,20.5,19.1,,10.0,2.5,1985,612,1005.0,1985-06-12 10:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,7.8,,4.8,,22.0,,0.98,0.08,0.5,1
59416,1260801,東京湾４,トウキヨウワン４,,35.60750000,139.96277778, 35:36:27,139:57:46,3.0,,,,,17.4,,,,1985,703,1035.0,1985-07-03 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,3.4,,3.0,,700.0,,1.1,0.081,9.0,4
59417,1260801,東京湾４,トウキヨウワン４,,35.60750000,139.96277778, 35:36:27,139:57:46,3.0,,,,22.0,18.8,,10.0,0.5,1985,703,1040.0,1985-07-03 10:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,5.3,,3.1,,4900.0,,2.2,0.091,0.5,1
59419,1260801,東京湾４,トウキヨウワン４,,35.60750000,139.96277778, 35:36:27,139:57:46,2.0,,,,,24.3,,,,1985,805,1250.0,1985-08-05 12:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,0.5,,8.4,,8.0,,1.2,0.099,9.0,4
59420,1260801,東京湾４,トウキヨウワン４,,35.60750000,139.96277778, 35:36:27,139:57:46,2.0,,,,31.7,29.7,,10.0,0.8,1985,805,1255.0,1985-08-05 12:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,12.0,,10.0,,0.0,,1.8,0.13,0.5,1
59422,1260801,東京湾４,トウキヨウワン４,,35.60750000,139.96277778, 35:36:27,139:57:46,4.0,,,,,26.2,,,,1985,911,1007.0,1985-09-11 10:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,0.5,,4.9,,13.0,,1.0,0.11,9.0,4
59423,1260801,東京湾４,トウキヨウワン４,,35.60750000,139.96277778, 35:36:27,139:57:46,4.0,,,,27.0,27.5,,10.0,1.5,1985,911,1012.0,1985-09-11 10:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,12.0,,6.9,,0.0,,1.0,0.096,0.5,1
59425,1260801,東京湾４,トウキヨウワン４,,35.60750000,139.96277778, 35:36:27,139:57:46,2.0,,,,,18.4,,,,1985,1002,1028.0,1985-10-02 10:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,5.3,,2.1,,240.0,,0.7,0.12,9.0,4
59426,1260801,東京湾４,トウキヨウワン４,,35.60750000,139.96277778, 35:36:27,139:57:46,2.0,,,,21.5,19.7,,10.0,2.2,1985,1002,1033.0,1985-10-02 10:33:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,6.6,,3.0,,330.0,,0.74,0.12,0.5,1
59428,1260801,東京湾４,トウキヨウワン４,,35.60750000,139.96277778, 35:36:27,139:57:46,2.0,,,,,17.4,,,,1985,1105,1238.0,1985-11-05 12:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.3,,2.4,,230.0,,0.8,0.1,9.0,4
59429,1260801,東京湾４,トウキヨウワン４,,35.60750000,139.96277778, 35:36:27,139:57:46,2.0,,,,21.5,18.0,,10.0,2.0,1985,1105,1243.0,1985-11-05 12:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.8,,3.4,,2400.0,,0.97,0.098,0.5,1
59431,1260801,東京湾４,トウキヨウワン４,,35.60750000,139.96277778, 35:36:27,139:57:46,1.0,,,,,13.8,,,,1985,1204,1009.0,1985-12-04 10:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,7.6,,2.4,,33.0,,1.0,0.1,9.0,4
59432,1260801,東京湾４,トウキヨウワン４,,35.60750000,139.96277778, 35:36:27,139:57:46,1.0,,,,13.0,13.5,,10.0,3.8,1985,1204,1014.0,1985-12-04 10:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,7.9,,2.3,,17.0,,1.1,0.1,0.5,1
