,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
58855,1260101,東京湾５,トウキヨウワン５,,35.60500000,140.06083333, 35:36:18,140:03:39,10.0,,,,,13.0,,,,1985,418,906.0,1985-04-18 09:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,5.8,,2.6,,79.0,,1.0,0.08199999999999999,0.5,1
58856,1260101,東京湾５,トウキヨウワン５,,35.60500000,140.06083333, 35:36:18,140:03:39,10.0,,,,10.2,13.3,,6.0,3.5,1985,418,911.0,1985-04-18 09:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,8.0,,2.3,,230.0,,1.3,0.083,0.5,1
58858,1260101,東京湾５,トウキヨウワン５,,35.60500000,140.06083333, 35:36:18,140:03:39,4.0,,,,,17.2,,,,1985,507,1334.0,1985-05-07 13:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.1,,3.4,,13.0,,1.5,0.07400000000000001,5.0,2
58859,1260101,東京湾５,トウキヨウワン５,,35.60500000,140.06083333, 35:36:18,140:03:39,4.0,,,,14.0,17.7,,6.0,2.0,1985,507,1339.0,1985-05-07 13:39:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.1,,3.3,,490.0,,1.4,0.07,0.5,1
58861,1260101,東京湾５,トウキヨウワン５,,35.60500000,140.06083333, 35:36:18,140:03:39,4.0,,,,,16.9,,,,1985,612,915.0,1985-06-12 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,3.9,,1.9,,130.0,,0.85,0.094,5.0,2
58862,1260101,東京湾５,トウキヨウワン５,,35.60500000,140.06083333, 35:36:18,140:03:39,4.0,,,,19.6,17.4,,6.0,6.0,1985,612,920.0,1985-06-12 09:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,5.0,,2.9,,490.0,,1.0,0.085,0.5,1
58864,1260101,東京湾５,トウキヨウワン５,,35.60500000,140.06083333, 35:36:18,140:03:39,3.0,,,,,19.4,,,,1985,703,912.0,1985-07-03 09:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,5.1,,4.0,,330.0,,1.4,0.09,5.0,2
58865,1260101,東京湾５,トウキヨウワン５,,35.60500000,140.06083333, 35:36:18,140:03:39,3.0,,,,23.2,22.1,,6.0,1.5,1985,703,917.0,1985-07-03 09:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,9.3,,5.4,,2400.0,,1.5,0.1,0.5,1
58867,1260101,東京湾５,トウキヨウワン５,,35.60500000,140.06083333, 35:36:18,140:03:39,2.0,,,,,28.2,,,,1985,805,1402.0,1985-08-05 14:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,6.7,,6.2,,8.0,,1.4,0.096,5.0,2
58868,1260101,東京湾５,トウキヨウワン５,,35.60500000,140.06083333, 35:36:18,140:03:39,2.0,,,,30.8,29.8,,6.0,0.8,1985,805,1407.0,1985-08-05 14:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,10.0,,8.7,,22.0,,1.9,0.1,0.5,1
