,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
59071,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,10.0,,,,,13.0,,,,1985,418,1133.0,1985-04-18 11:33:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,5.4,,2.1,,5.0,,0.88,0.075,11.0,4
59072,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,10.0,,,,10.4,12.9,,12.0,2.8,1985,418,1138.0,1985-04-18 11:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,8.9,,2.8,,33.0,,1.0,0.077,0.5,1
59074,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,4.0,,,,,16.5,,,,1985,507,1326.0,1985-05-07 13:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.1,,2.5,,33.0,,1.1,0.05,11.0,4
59075,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,4.0,,,,14.0,17.4,,12.0,2.8,1985,507,1331.0,1985-05-07 13:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,3.8,,240.0,,1.2,0.071,0.5,1
59077,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,4.0,,,,,16.1,,,,1985,612,1117.0,1985-06-12 11:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.8,,2.3,,0.0,,0.58,0.055,11.0,4
59078,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,4.0,,,,21.0,18.4,,12.0,4.5,1985,612,1122.0,1985-06-12 11:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.2,,3.7,,49.0,,0.79,0.062,0.5,1
59080,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,3.0,,,,,18.8,,,,1985,703,920.0,1985-07-03 09:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.1,,2.1,,240.0,,1.2,0.07200000000000001,11.0,4
59081,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,3.0,,,,23.3,23.3,,12.0,1.7,1985,703,925.0,1985-07-03 09:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.4,,4.6,,490.0,,1.7,0.08800000000000001,0.5,1
59083,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,2.0,,,,,21.4,,,,1985,805,1353.0,1985-08-05 13:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,1.1,,5.4,,5.0,,1.2,0.099,11.0,4
59084,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,2.0,,,,32.4,29.6,,12.0,0.7,1985,805,1358.0,1985-08-05 13:58:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,12.0,,10.0,,49.0,,1.5,0.1,0.5,1
59086,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,10.0,,,,,24.6,,,,1985,911,1126.0,1985-09-11 11:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,0.5,,2.5,,5.0,,0.8,0.1,11.0,4
59087,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,10.0,,,,27.0,27.1,,12.0,2.0,1985,911,1131.0,1985-09-11 11:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,10.0,,5.9,,23.0,,0.92,0.07400000000000001,0.5,1
59089,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,2.0,,,,,19.8,,,,1985,1002,914.0,1985-10-02 09:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,4.3,,2.5,,130.0,,0.57,0.1,11.0,4
59090,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,2.0,,,,20.0,19.9,,12.0,2.2,1985,1002,919.0,1985-10-02 09:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.0,,3.0,,49.0,,0.73,0.1,0.5,1
59092,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,2.0,,,,,18.3,,,,1985,1105,1335.0,1985-11-05 13:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.5,,2.2,,5.0,,0.65,0.081,11.0,4
59093,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,2.0,,,,22.0,18.3,,12.0,3.2,1985,1105,1340.0,1985-11-05 13:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.5,,2.9,,0.0,,0.7,0.079,0.5,1
59095,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,1.0,,,,,15.1,,,,1985,1204,1127.0,1985-12-04 11:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,8.0,,2.6,,0.0,,1.2,0.091,11.0,4
59096,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,1.0,,,,15.0,15.1,,12.0,3.0,1985,1204,1132.0,1985-12-04 11:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,8.5,,2.7,,5.0,,1.2,0.08900000000000001,0.5,1
59098,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,1.0,,,,,9.9,,,,1986,110,1120.0,1986-01-10 11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.3,,2.9,,2.0,,0.95,0.077,11.0,4
59099,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,1.0,,,,10.2,9.7,,12.0,6.5,1986,110,1125.0,1986-01-10 11:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.4,,1.9,,2.0,,1.0,0.067,0.5,1
59101,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,2.0,,,,,8.2,,,,1986,204,1330.0,1986-02-04 13:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,9.8,,2.9,,11.0,,1.0,0.059000000000000004,11.0,4
59102,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,2.0,,,,7.6,8.6,,12.0,1.8,1986,204,1335.0,1986-02-04 13:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,12.0,,2.7,,5.0,,1.1,0.044000000000000004,0.5,1
59104,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,10.0,,,,,9.7,,,,1986,314,1127.0,1986-03-14 11:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,9.0,,4.2,,11.0,,1.1,0.051,11.0,4
59105,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,10.0,,,,7.1,9.1,,12.0,1.9,1986,314,1132.0,1986-03-14 11:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,10.0,,4.0,,49.0,,1.4,0.055,0.5,1
56551,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,4.0,,,,,12.0,,,,1986,417,1104.0,1986-04-17 11:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.3,,3.5,,22.0,,1.2,0.066,11.0,4
56552,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,4.0,,,,15.8,12.4,,12.0,2.0,1986,417,1109.0,1986-04-17 11:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.1,,3.4,,49.0,,1.3,0.068,0.5,1
56554,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,4.0,,,,,13.8,,,,1986,506,1332.0,1986-05-06 13:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.7,,1.9,,49.0,,1.0,0.079,11.0,4
56555,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,4.0,,,,17.6,15.5,,12.0,6.0,1986,506,1337.0,1986-05-06 13:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.7,,2.6,,49.0,,1.1,0.057999999999999996,0.5,1
56557,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,4.0,,,,,16.7,,,,1986,603,1107.0,1986-06-03 11:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,2.1,,4.6,,33.0,,1.4,0.08900000000000001,11.0,4
56558,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,4.0,,,,23.6,21.3,,12.0,0.9,1986,603,1112.0,1986-06-03 11:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,10.0,,8.5,,33.0,,2.0,0.15,0.5,1
56560,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,10.0,,,,,16.8,,,,1986,702,913.0,1986-07-02 09:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,3.0,,2.1,,330.0,,0.91,0.071,11.0,4
56561,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,10.0,,,,19.9,19.4,,12.0,1.9,1986,702,918.0,1986-07-02 09:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.0,,3.6,,790.0,,1.4,0.08,0.5,1
56563,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,1.0,,,,,21.0,,,,1986,806,1318.0,1986-08-06 13:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,3.8,,4.0,,170.0,,1.0,0.14,11.0,4
56564,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,1.0,,,,30.2,24.6,,12.0,1.2,1986,806,1323.0,1986-08-06 13:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,14.0,,4.7,,790.0,,1.5,0.13,0.5,1
56566,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,2.0,,,,,23.5,,,,1986,911,1123.0,1986-09-11 11:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,2.6,,2.9,,33.0,,0.91,0.079,11.0,4
56567,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,2.0,,,,29.5,26.1,,12.0,1.2,1986,911,1128.0,1986-09-11 11:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,12.0,,5.4,,130.0,,1.3,0.08900000000000001,0.5,1
56569,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,2.0,,,,,19.6,,,,1986,1014,920.0,1986-10-14 09:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.4,,2.0,,11.0,,0.64,0.075,11.0,4
56570,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,2.0,,,,21.0,19.6,,12.0,2.2,1986,1014,925.0,1986-10-14 09:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.7,,2.6,,8.0,,0.67,0.08800000000000001,0.5,1
56572,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,4.0,,,,,17.1,,,,1986,1104,1346.0,1986-11-04 13:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,3.1,,2.3,,33.0,,0.81,0.098,11.0,4
56573,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,4.0,,,,22.0,17.3,,12.0,2.0,1986,1104,1351.0,1986-11-04 13:51:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,12.0,,4.3,,130.0,,0.93,0.1,0.5,1
56575,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,1.0,,,,,13.2,,,,1986,1202,1111.0,1986-12-02 11:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.6,,2.1,,13.0,,1.0,0.063,11.0,4
56576,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,1.0,,,,12.2,13.2,,12.0,4.2,1986,1202,1116.0,1986-12-02 11:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.7,,2.5,,70.0,,1.0,0.066,0.5,1
56578,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,2.0,,,,,9.8,,,,1987,108,1146.0,1987-01-08 11:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.9,,1.6,,17.0,,1.1,0.067,11.0,4
56579,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,2.0,,,,15.0,10.0,,12.0,6.0,1987,108,1151.0,1987-01-08 11:51:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.2,,1.7,,17.0,,1.1,0.064,0.5,1
56581,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,2.0,,,,,8.7,,,,1987,203,915.0,1987-02-03 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.4,,3.0,,2.0,,1.4,0.073,11.0,4
56582,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,2.0,,,,7.0,8.2,,12.0,2.0,1987,203,920.0,1987-02-03 09:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.5,,2.7,,11.0,,1.4,0.067,0.5,1
56584,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,1.0,,,,,8.8,,,,1987,302,1125.0,1987-03-02 11:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.1,,3.0,,8.0,,1.3,0.064,11.0,4
56585,1260201,東京湾６,トウキヨウワン６,,35.58444444,140.05166667, 35:35:04,140:03:06,1.0,,,,7.8,8.7,,12.0,1.8,1987,302,1130.0,1987-03-02 11:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,10.0,,3.2,,17.0,,1.2,0.059000000000000004,0.5,1
