,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
59443,1260802,東京湾８,トウキヨウワン８,,35.55444444,139.90555556, 35:33:16,139:54:20,10.0,,,,,12.7,,,,1985,418,1023.0,1985-04-18 10:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.4,,1.7,,5.0,,0.69,0.053,16.0,5
59444,1260802,東京湾８,トウキヨウワン８,,35.55444444,139.90555556, 35:33:16,139:54:20,10.0,,,,10.4,12.9,,17.0,2.0,1985,418,1028.0,1985-04-18 10:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,10.0,,3.4,,33.0,,0.98,0.062,0.5,1
59446,1260802,東京湾８,トウキヨウワン８,,35.55444444,139.90555556, 35:33:16,139:54:20,10.0,,,,,15.6,,,,1985,507,1129.0,1985-05-07 11:29:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.8,,2.2,,2.0,,1.0,0.054000000000000006,16.0,5
59447,1260802,東京湾８,トウキヨウワン８,,35.55444444,139.90555556, 35:33:16,139:54:20,10.0,,,,14.1,16.8,,17.0,3.5,1985,507,1134.0,1985-05-07 11:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.6,,2.9,,2.0,,1.1,0.051,0.5,1
59449,1260802,東京湾８,トウキヨウワン８,,35.55444444,139.90555556, 35:33:16,139:54:20,2.0,,,,,15.8,,,,1985,612,1029.0,1985-06-12 10:29:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,4.2,,2.5,,0.0,,0.71,0.064,16.0,5
59450,1260802,東京湾８,トウキヨウワン８,,35.55444444,139.90555556, 35:33:16,139:54:20,2.0,,,,21.5,20.3,,17.0,1.5,1985,612,1034.0,1985-06-12 10:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,10.0,,7.6,,2.0,,1.3,0.1,0.5,1
59452,1260802,東京湾８,トウキヨウワン８,,35.55444444,139.90555556, 35:33:16,139:54:20,10.0,,,,,17.6,,,,1985,703,1007.0,1985-07-03 10:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.6,,2.5,,490.0,,1.3,0.066,16.0,5
59453,1260802,東京湾８,トウキヨウワン８,,35.55444444,139.90555556, 35:33:16,139:54:20,10.0,,,,22.7,22.0,,17.0,1.3,1985,703,1012.0,1985-07-03 10:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.7,,4.3,,2400.0,,2.0,0.1,0.5,1
59455,1260802,東京湾８,トウキヨウワン８,,35.55444444,139.90555556, 35:33:16,139:54:20,2.0,,,,,20.2,,,,1985,805,1220.0,1985-08-05 12:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.5,,3.5,,2.0,,0.86,0.098,16.0,5
59456,1260802,東京湾８,トウキヨウワン８,,35.55444444,139.90555556, 35:33:16,139:54:20,2.0,,,,30.2,28.5,,17.0,1.2,1985,805,1225.0,1985-08-05 12:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,10.0,,7.3,,0.0,,1.1,0.068,0.5,1
