,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
55143,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,10.0,,,,14.5,14.6,,55.0,2.4,1987,407,1038.0,1987-04-07 10:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,4.9,,6.2,3.0,,,9.7,0.39,0.0,5
55145,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,2.0,,,,22.0,18.5,,54.0,0.8,1987,508,1102.0,1987-05-08 11:02:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,8.4,10.0,,16.0,20.0,,,7.9,0.66,0.0,5
55147,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,1.0,,,,28.5,23.7,,53.0,2.2,1987,617,1045.0,1987-06-17 10:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,6.1,,6.5,5.0,,,5.8,0.43,0.0,5
55149,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,4.0,,,,30.5,26.5,,48.0,1.4,1987,714,1035.0,1987-07-14 10:35:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.7,6.6,,8.0,5.0,,,8.2,0.52,0.0,5
55151,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,1.0,,,,31.0,28.9,,46.0,1.0,1987,818,1048.0,1987-08-18 10:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.2,,10.0,9.0,,,7.1,0.74,0.0,5
55153,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,2.0,,,,25.0,23.0,,53.0,1.4,1987,918,1059.0,1987-09-18 10:59:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.6,3.0,,4.3,2.0,,,4.1,0.41,0.0,5
55155,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,2.0,,,,21.5,20.7,,54.0,2.9,1987,1014,1049.0,1987-10-14 10:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,4.0,,3.7,2.0,,,3.5,0.24,0.0,5
55157,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,1.0,,,,14.0,16.0,,58.0,4.3,1987,1125,1035.0,1987-11-25 10:35:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.9,5.9,,2.7,1.0,,,2.8,0.2,0.0,5
55159,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,4.0,,,,7.5,12.6,,55.0,2.4,1987,1215,1047.0,1987-12-15 10:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,5.5,,4.5,2.0,,,5.8,0.23,0.0,5
55161,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,1.0,,,,9.0,10.9,,55.0,3.3,1988,126,1036.0,1988-01-26 10:36:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.7,6.8,,4.5,2.0,,,6.0,0.25,0.0,5
55163,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,16.0,,,,7.0,9.3,,55.0,1.3,1988,224,1052.0,1988-02-24 10:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,10.0,,6.3,7.0,,,7.3,0.23,0.0,5
55165,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,1.0,,,,10.5,11.3,,50.0,1.3,1988,310,1059.0,1988-03-10 10:59:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,8.1,10.0,,7.1,6.0,,,8.3,0.28,0.0,5
52623,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,2.0,,,,17.0,15.2,,48.0,1.2,1988,414,1049.0,1988-04-14 10:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,4.2,,7.9,6.0,,,11.0,0.53,0.0,5
52625,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,4.0,,,,17.5,18.4,,55.0,1.0,1988,524,1054.0,1988-05-24 10:54:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.5,5.3,,9.3,6.0,,,8.1,0.62,0.0,5
52627,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,2.0,,,,26.0,23.1,,51.0,1.9,1988,622,1055.0,1988-06-22 10:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,6.8,,7.5,5.0,,,6.5,0.39,0.0,5
52629,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,4.0,,,,24.0,22.7,,54.0,2.0,1988,719,1025.0,1988-07-19 10:25:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.3,2.8,,5.2,3.0,,,4.4,0.39,0.0,5
52631,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,2.0,,,,31.4,25.9,,54.0,1.4,1988,818,1046.0,1988-08-18 10:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,5.0,,5.7,5.0,,,6.9,0.36,0.0,5
52633,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,2.0,,,,28.0,24.0,,53.0,2.3,1988,920,1050.0,1988-09-20 10:50:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.6,4.7,,4.1,2.0,,,4.1,0.23,0.0,5
52635,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,1.0,,,,18.5,20.3,,46.0,3.6,1988,1019,1050.0,1988-10-19 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,4.0,,3.5,1.0,,,4.2,0.23,0.0,5
52637,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,2.0,,,,11.0,16.0,,54.0,4.2,1988,1116,1042.0,1988-11-16 10:42:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.8,5.5,,2.8,1.0,,,2.8,0.17,0.0,5
52639,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,4.0,,,,9.5,12.2,,56.0,4.4,1988,1215,1049.0,1988-12-15 10:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,6.7,,2.6,1.0,,,4.1,0.16,0.0,5
52641,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,2.0,,,,8.5,9.7,,46.0,4.6,1989,118,1018.0,1989-01-18 10:18:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.9,7.9,,3.4,1.0,,,4.6,0.21,0.0,5
52643,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,4.0,,,,14.5,10.7,,54.0,2.2,1989,216,1035.0,1989-02-16 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,7.5,,4.5,2.0,,,5.6,0.29,0.0,5
52645,1360170,東雲橋,シノノメバシ,,35.65027778,139.80000000, 35:39:01,139:48:00,1.0,,,,14.5,13.0,,54.0,2.8,1989,315,1049.0,1989-03-15 10:49:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.5,6.0,,4.7,2.0,,,5.4,0.23,0.0,5
47553,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,2.0,,,,14.6,14.5,,4.4,2.9,1990,419,1032.0,1990-04-19 10:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,4.8,,5.1,2.0,,,5.7,0.35,0.0,5
47555,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,2.0,,,,22.8,19.6,,4.5,1.8,1990,518,1034.0,1990-05-18 10:34:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,7.7,8.2,,6.4,4.0,,,6.7,0.32,0.0,5
47557,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,4.0,,,,27.3,24.6,,3.5,1.9,1990,621,1039.0,1990-06-21 10:39:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,5.9,,7.6,5.0,,,8.1,0.47,0.0,5
47559,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,1.0,,,,30.5,26.5,,4.6,1.8,1990,718,1036.0,1990-07-18 10:36:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,8.0,10.0,,6.8,8.0,,,4.9,0.46,0.0,5
47561,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,1.0,,,,33.6,30.2,,4.0,1.2,1990,824,1418.0,1990-08-24 14:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,9.2,,7.8,4.0,,,5.9,0.35,0.0,5
47563,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,2.0,,,,29.8,27.0,,3.8,2.0,1990,918,1043.0,1990-09-18 10:43:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,7.5,2.1,,6.4,3.0,,,6.7,0.53,0.0,5
47565,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,2.0,,,,19.5,20.5,,5.1,2.6,1990,1025,1050.0,1990-10-25 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,4.5,,3.1,1.0,,,3.3,0.2,0.0,5
47567,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,4.0,,,,19.2,17.4,,5.1,2.6,1990,1127,1410.0,1990-11-27 14:10:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,7.6,3.9,,4.2,1.0,,,5.2,0.23,0.0,5
47569,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,10.0,,,,7.4,13.8,,4.7,2.5,1990,1221,1044.0,1990-12-21 10:44:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,5.7,,2.8,2.0,,,3.9,0.15,0.0,5
47571,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,1.0,,,,10.9,10.8,,5.3,3.4,1991,110,1028.0,1991-01-10 10:28:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,7.9,6.7,,2.9,1.0,,,3.0,0.17,0.0,5
47573,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,1.0,,,,6.9,9.2,,4.6,2.0,1991,222,1030.0,1991-02-22 10:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.5,,5.0,6.0,,,4.8,0.18,0.0,5
47575,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,2.0,,,,19.4,12.6,,4.5,1.8,1991,320,1046.0,1991-03-20 10:46:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,8.0,7.9,,5.6,7.0,,,6.0,0.28,0.0,5
45009,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,4.0,,,,18.8,16.8,,4.7,2.1,1991,418,1028.0,1991-04-18 10:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,6.1,,4.4,3.0,,,6.3,0.33,0.0,5
45011,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,4.0,,,,24.0,20.9,,4.8,1.1,1991,522,1155.0,1991-05-22 11:55:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,8.5,12.0,,10.0,15.0,,,5.9,0.41,0.0,5
45013,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,4.0,,,,26.8,24.0,,5.3,1.2,1991,619,1104.0,1991-06-19 11:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.0,,6.6,4.0,,,7.0,0.38,0.0,5
45015,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,2.0,,,,28.6,25.1,,5.0,1.7,1991,717,1046.0,1991-07-17 10:46:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,7.8,5.3,,7.1,3.0,,,7.6,0.42,0.0,5
45017,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,2.0,,,,29.7,26.3,,4.4,0.9,1991,821,1118.0,1991-08-21 11:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,1.6,,5.6,10.0,,,4.9,0.41,0.0,5
45019,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,16.0,,,,21.4,22.6,,4.6,2.1,1991,926,1355.0,1991-09-26 13:55:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,7.4,3.1,,3.8,2.0,,,5.6,0.23,0.0,5
45021,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,2.0,,,,21.1,19.2,,5.2,3.5,1991,1029,1428.0,1991-10-29 14:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,3.5,,3.5,1.0,,,5.5,0.21,0.0,5
45023,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,2.0,,,,15.2,17.7,,5.2,3.0,1991,1119,1057.0,1991-11-19 10:57:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,7.5,4.0,,3.4,1.0,,,4.9,0.23,0.0,5
45025,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,2.0,,,,11.2,14.0,,5.2,2.6,1991,1219,1050.0,1991-12-19 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,5.7,,3.1,2.0,,,4.3,0.19,0.0,5
45027,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,10.0,,,,6.8,12.5,,5.3,3.3,1992,109,1057.0,1992-01-09 10:57:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,7.7,6.3,,2.4,1.0,,,2.7,0.15,0.0,5
45029,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,1.0,,,,11.3,10.6,,5.2,3.7,1992,214,1050.0,1992-02-14 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,7.5,,3.9,1.0,,,5.4,0.2,0.0,5
45031,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,4.0,,,,7.8,11.0,,4.5,2.6,1992,323,1101.0,1992-03-23 11:01:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,7.7,5.7,,4.4,2.0,,,5.5,0.2,0.0,5
42465,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,2.0,,,,20.0,16.6,,4.5,2.3,1992,420,1113.0,1992-04-20 11:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,5.8,,5.6,2.0,,,6.8,0.27,0.0,5
42467,1360170,東雲橋,シノノメバシ,Shinonomebashi,35.65027778,139.80000000, 35:39:01,139:48:00,1.0,,,,24.2,20.8,,4.8,1.4,1992,521,1120.0,1992-05-21 11:20:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0009,,,,,,,,,,,7.3,4.0,,6.5,4.0,,,7.0,0.34,0.0,5
