,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
50623,1460105,横浜港内,ヨコハマコウナイ,,35.46027778,139.64694444, 35:27:37,139:38:49,4.0,,,,17.6,15.5,,11.0,1.5,1989,410,1139.0,1989-04-10 11:39:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.3,,3.7,,4900.0,,2.0,0.11,5.0,1
50624,1460105,横浜港内,ヨコハマコウナイ,,35.46027778,139.64694444, 35:27:37,139:38:49,0.0,,,,,16.5,,,,1989,410,1139.0,1989-04-10 11:39:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.5,,2.2,,,,1.0,0.11,10.0,2
50626,1460105,横浜港内,ヨコハマコウナイ,,35.46027778,139.64694444, 35:27:37,139:38:49,2.0,,,,18.4,16.3,,11.0,2.5,1989,508,1205.0,1989-05-08 12:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,9.4,,4.4,,1300.0,,1.6,0.094,5.0,1
50627,1460105,横浜港内,ヨコハマコウナイ,,35.46027778,139.64694444, 35:27:37,139:38:49,0.0,,,,,15.9,,,,1989,508,1205.0,1989-05-08 12:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.9,,2.7,,,,1.2,0.069,10.0,2
50629,1460105,横浜港内,ヨコハマコウナイ,,35.46027778,139.64694444, 35:27:37,139:38:49,4.0,,,,24.7,20.8,,11.0,1.2,1989,605,1140.0,1989-06-05 11:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,10.0,,6.2,,14.0,,1.6,0.13,5.0,1
50630,1460105,横浜港内,ヨコハマコウナイ,,35.46027778,139.64694444, 35:27:37,139:38:49,0.0,,,,,18.2,,,,1989,605,1140.0,1989-06-05 11:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,6.2,,2.1,,,,1.0,0.094,10.0,2
50632,1460105,横浜港内,ヨコハマコウナイ,,35.46027778,139.64694444, 35:27:37,139:38:49,10.0,,,,18.3,20.3,,11.0,1.3,1989,703,1140.0,1989-07-03 11:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.9,,5.5,,54000.0,,2.8,0.14,5.0,1
50633,1460105,横浜港内,ヨコハマコウナイ,,35.46027778,139.64694444, 35:27:37,139:38:49,0.0,,,,,17.7,,,,1989,703,1140.0,1989-07-03 11:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,4.5,,1.7,,,,0.7,0.1,10.0,2
50636,1460105,横浜港内,ヨコハマコウナイ,,35.46027778,139.64694444, 35:27:37,139:38:49,0.0,,,,,22.6,,,,1989,807,1225.0,1989-08-07 12:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,4.3,,1.6,,,,0.64,0.1,9.0,1
50635,1460105,横浜港内,ヨコハマコウナイ,,35.46027778,139.64694444, 35:27:37,139:38:49,1.0,,,,30.4,25.1,,10.0,2.0,1989,807,1225.0,1989-08-07 12:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,6.2,,3.6,,22000.0,,1.6,0.12,5.0,1
50638,1460105,横浜港内,ヨコハマコウナイ,,35.46027778,139.64694444, 35:27:37,139:38:49,4.0,,,,26.5,24.9,,11.0,2.0,1989,905,1205.0,1989-09-05 12:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,5.9,,3.9,,230000.0,,1.7,0.15,5.0,1
50639,1460105,横浜港内,ヨコハマコウナイ,,35.46027778,139.64694444, 35:27:37,139:38:49,0.0,,,,,24.4,,,,1989,905,1205.0,1989-09-05 12:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,4.8,,2.1,,,,1.0,0.11,10.0,2
50641,1460105,横浜港内,ヨコハマコウナイ,,35.46027778,139.64694444, 35:27:37,139:38:49,4.0,,,,19.0,21.7,,11.0,2.5,1989,1002,1220.0,1989-10-02 12:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.5,,3.2,,3300.0,,1.5,0.1,5.0,1
50642,1460105,横浜港内,ヨコハマコウナイ,,35.46027778,139.64694444, 35:27:37,139:38:49,0.0,,,,,21.5,,,,1989,1002,1220.0,1989-10-02 12:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.6,,2.5,,,,1.0,0.08900000000000001,10.0,2
50644,1460105,横浜港内,ヨコハマコウナイ,,35.46027778,139.64694444, 35:27:37,139:38:49,4.0,,,,18.0,17.8,,11.0,5.5,1989,1106,1118.0,1989-11-06 11:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,6.1,,2.3,,2200.0,,1.2,0.09300000000000001,5.0,1
50645,1460105,横浜港内,ヨコハマコウナイ,,35.46027778,139.64694444, 35:27:37,139:38:49,0.0,,,,,17.7,,,,1989,1106,1118.0,1989-11-06 11:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,6.6,,1.7,,,,1.0,0.086,10.0,2
50647,1460105,横浜港内,ヨコハマコウナイ,,35.46027778,139.64694444, 35:27:37,139:38:49,2.0,,,,17.5,14.9,,11.0,4.5,1989,1204,1210.0,1989-12-04 12:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,6.9,,1.7,,170.0,,0.95,0.069,5.0,1
50648,1460105,横浜港内,ヨコハマコウナイ,,35.46027778,139.64694444, 35:27:37,139:38:49,0.0,,,,,15.0,,,,1989,1204,1210.0,1989-12-04 12:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.5,,1.9,,,,0.97,0.073,10.0,2
50651,1460105,横浜港内,ヨコハマコウナイ,,35.46027778,139.64694444, 35:27:37,139:38:49,0.0,,,,,11.5,,,,1990,108,1132.0,1990-01-08 11:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.3,,1.6,,,,0.97,0.063,10.0,2
50650,1460105,横浜港内,ヨコハマコウナイ,,35.46027778,139.64694444, 35:27:37,139:38:49,1.0,,,,9.1,10.6,,11.0,4.0,1990,108,1132.0,1990-01-08 11:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,8.7,,1.6,,130.0,,1.2,0.081,5.0,1
50654,1460105,横浜港内,ヨコハマコウナイ,,35.46027778,139.64694444, 35:27:37,139:38:49,0.0,,,,,9.5,,,,1990,205,1135.0,1990-02-05 11:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,8.6,,1.5,,,,1.2,0.068,10.0,2
50653,1460105,横浜港内,ヨコハマコウナイ,,35.46027778,139.64694444, 35:27:37,139:38:49,4.0,,,,4.5,8.1,,11.0,2.0,1990,205,1135.0,1990-02-05 11:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,8.7,,2.0,,2400.0,,1.9,0.11,5.0,1
