,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
55079,1360164,汐枝橋,シオエダバシ,,35.66027778,139.80611111, 35:39:37,139:48:22,10.0,,,,15.5,14.3,,36.0,2.7,1987,407,958.0,1987-04-07 09:58:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,4.5,,6.0,2.0,,,8.5,0.37,0.0,5
55081,1360164,汐枝橋,シオエダバシ,,35.66027778,139.80611111, 35:39:37,139:48:22,2.0,,,,25.5,19.4,,34.0,0.7,1987,508,1012.0,1987-05-08 10:12:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,8.4,12.0,,15.0,16.0,,,10.0,0.62,0.0,5
55083,1360164,汐枝橋,シオエダバシ,,35.66027778,139.80611111, 35:39:37,139:48:22,1.0,,,,28.5,23.1,,38.0,1.7,1987,617,1004.0,1987-06-17 10:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,7.9,,8.1,5.0,,,8.2,0.53,0.0,5
55085,1360164,汐枝橋,シオエダバシ,,35.66027778,139.80611111, 35:39:37,139:48:22,2.0,,,,31.5,28.5,,39.0,1.1,1987,715,1020.0,1987-07-15 10:20:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,8.0,10.0,,10.0,9.0,,,7.7,0.5,0.0,5
55087,1360164,汐枝橋,シオエダバシ,,35.66027778,139.80611111, 35:39:37,139:48:22,2.0,,,,31.0,28.8,,37.0,1.2,1987,818,1009.0,1987-08-18 10:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,9.9,,10.0,6.0,,,8.7,0.84,0.0,5
55089,1360164,汐枝橋,シオエダバシ,,35.66027778,139.80611111, 35:39:37,139:48:22,1.0,,,,24.5,22.3,,37.0,1.6,1987,918,1015.0,1987-09-18 10:15:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.5,2.9,,5.4,4.0,,,5.6,0.51,0.0,5
55091,1360164,汐枝橋,シオエダバシ,,35.66027778,139.80611111, 35:39:37,139:48:22,2.0,,,,21.5,20.3,,39.0,2.9,1987,1014,1009.0,1987-10-14 10:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,2.9,,4.7,2.0,,,5.1,0.34,0.0,5
55093,1360164,汐枝橋,シオエダバシ,,35.66027778,139.80611111, 35:39:37,139:48:22,1.0,,,,14.5,15.0,,39.0,2.0,1987,1125,1020.0,1987-11-25 10:20:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.7,5.1,,3.8,3.0,,,5.0,0.29,0.0,5
55095,1360164,汐枝橋,シオエダバシ,,35.66027778,139.80611111, 35:39:37,139:48:22,4.0,,,,7.5,10.9,,39.0,1.5,1987,1215,1000.0,1987-12-15 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,3.3,,5.8,3.0,,,7.0,0.37,0.0,5
55097,1360164,汐枝橋,シオエダバシ,,35.66027778,139.80611111, 35:39:37,139:48:22,2.0,,,,8.5,10.3,,39.0,3.1,1988,127,1032.0,1988-01-27 10:32:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.6,5.2,,5.3,1.0,,,9.1,0.34,0.0,5
