,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
55327,1360181,海老取川北口,エビトリガワキタグチ,,35.56277778,139.75388889, 35:33:46,139:45:14,2.0,,,,18.6,15.3,,42.0,1.7,1987,406,1113.0,1987-04-06 11:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,5.0,,7.6,3.0,,,9.3,0.73,0.0,5
55329,1360181,海老取川北口,エビトリガワキタグチ,,35.56277778,139.75388889, 35:33:46,139:45:14,1.0,,,,20.5,19.8,,43.0,1.6,1987,506,1120.0,1987-05-06 11:20:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.7,9.3,,8.0,5.0,,,8.8,0.69,0.0,5
55331,1360181,海老取川北口,エビトリガワキタグチ,,35.56277778,139.75388889, 35:33:46,139:45:14,1.0,,,,26.0,22.8,,39.0,1.5,1987,616,1109.0,1987-06-16 11:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,4.3,,9.1,5.0,,,9.8,0.81,0.0,5
55333,1360181,海老取川北口,エビトリガワキタグチ,,35.56277778,139.75388889, 35:33:46,139:45:14,2.0,,,,27.0,25.0,,32.0,1.2,1987,713,1159.0,1987-07-13 11:59:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.8,4.8,,6.0,10.0,,,4.1,0.36,0.0,5
55335,1360181,海老取川北口,エビトリガワキタグチ,,35.56277778,139.75388889, 35:33:46,139:45:14,2.0,,,,33.0,28.7,,42.0,1.0,1987,817,1118.0,1987-08-17 11:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,10.0,,8.2,8.0,,,6.6,0.7,0.0,5
55337,1360181,海老取川北口,エビトリガワキタグチ,,35.56277778,139.75388889, 35:33:46,139:45:14,4.0,,,,24.5,24.5,,45.0,1.9,1987,916,1123.0,1987-09-16 11:23:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.4,5.6,,7.5,6.0,,,11.0,0.8,0.0,5
55339,1360181,海老取川北口,エビトリガワキタグチ,,35.56277778,139.75388889, 35:33:46,139:45:14,1.0,,,,21.0,21.4,,44.0,1.9,1987,1013,1107.0,1987-10-13 11:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,4.9,,6.2,2.0,,,9.2,0.66,0.0,5
55341,1360181,海老取川北口,エビトリガワキタグチ,,35.56277778,139.75388889, 35:33:46,139:45:14,1.0,,,,16.5,17.0,,42.0,2.6,1987,1124,1113.0,1987-11-24 11:13:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.4,6.1,,5.3,5.0,,,8.3,0.66,0.0,5
55343,1360181,海老取川北口,エビトリガワキタグチ,,35.56277778,139.75388889, 35:33:46,139:45:14,4.0,,,,11.0,13.1,,47.0,2.1,1987,1216,1105.0,1987-12-16 11:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,5.9,,6.7,4.0,,,9.1,0.59,0.0,5
55345,1360181,海老取川北口,エビトリガワキタグチ,,35.56277778,139.75388889, 35:33:46,139:45:14,2.0,,,,9.5,13.6,,42.0,2.1,1988,125,1153.0,1988-01-25 11:53:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.6,7.0,,6.0,2.0,,,9.2,0.57,0.0,5
