,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
50659,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,4.0,,,,16.5,15.3,,17.0,1.5,1989,410,915.0,1989-04-10 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,14.0,,5.5,,130.0,,1.7,0.1,5.0,1
50660,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,0.0,,,,,13.5,,,,1989,410,915.0,1989-04-10 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.1,,2.4,,,,0.84,0.047,16.0,2
50662,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,2.0,,,,18.2,16.2,,17.0,4.7,1989,508,922.0,1989-05-08 09:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.0,,2.9,,23.0,,1.3,0.07200000000000001,5.0,1
50663,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,0.0,,,,,15.9,,,,1989,508,922.0,1989-05-08 09:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.7,,2.3,,,,0.98,0.057999999999999996,16.0,2
50665,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,2.0,,,,24.3,19.8,,17.0,2.5,1989,605,915.0,1989-06-05 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.1,,3.5,,11.0,,1.1,0.061,5.0,1
50666,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,0.0,,,,,17.1,,,,1989,605,915.0,1989-06-05 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,5.7,,1.7,,,,0.64,0.068,16.0,2
50668,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,10.0,,,,18.0,20.5,,16.0,1.3,1989,703,910.0,1989-07-03 09:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.8,,5.0,,1000.0,,1.5,0.092,5.0,1
50669,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,0.0,,,,,17.4,,,,1989,703,910.0,1989-07-03 09:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,5.1,,1.9,,,,1.3,0.067,15.0,2
50672,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,0.0,,,,,22.5,,,,1989,807,918.0,1989-08-07 09:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,5.4,,1.7,,,,0.46,0.052000000000000005,15.0,2
50671,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,1.0,,,,28.0,24.5,,16.0,4.0,1989,807,918.0,1989-08-07 09:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.7,,2.4,,330.0,,0.76,0.064,5.0,1
50674,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,4.0,,,,25.5,26.0,,16.0,3.5,1989,905,915.0,1989-09-05 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,5.8,,2.4,,23000.0,,0.95,0.095,5.0,1
50675,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,0.0,,,,,23.5,,,,1989,905,915.0,1989-09-05 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,4.7,,1.7,,,,0.71,0.08900000000000001,15.0,2
50677,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,10.0,,,,20.2,21.9,,16.0,2.5,1989,1002,920.0,1989-10-02 09:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.6,,3.9,,17.0,,0.95,0.081,5.0,1
50678,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,0.0,,,,,21.3,,,,1989,1002,920.0,1989-10-02 09:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.0,,2.0,,,,0.59,0.063,15.0,2
50680,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,4.0,,,,16.3,18.1,,16.0,4.5,1989,1106,906.0,1989-11-06 09:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,8.3,,2.6,,33.0,,1.1,0.084,5.0,1
50681,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,0.0,,,,,17.4,,,,1989,1106,906.0,1989-11-06 09:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,6.8,,1.9,,,,0.75,0.065,15.0,2
50683,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,2.0,,,,16.5,15.5,,15.0,3.5,1989,1204,925.0,1989-12-04 09:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.0,,2.3,,7.0,,0.91,0.065,5.0,1
50684,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,0.0,,,,,15.7,,,,1989,1204,925.0,1989-12-04 09:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.3,,1.7,,,,1.0,0.062,14.0,2
50687,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,0.0,,,,,11.5,,,,1990,108,912.0,1990-01-08 09:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.4,,1.5,,,,0.72,0.053,15.0,2
50686,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,1.0,,,,6.4,11.6,,16.0,4.5,1990,108,912.0,1990-01-08 09:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.5,,1.6,,8.0,,0.9,0.061,5.0,1
50690,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,0.0,,,,,9.3,,,,1990,205,926.0,1990-02-05 09:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.0,,1.4,,,,0.95,0.051,14.0,2
50689,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,10.0,,,,3.6,9.3,,15.0,5.0,1990,205,926.0,1990-02-05 09:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,9.2,,1.9,,1700.0,,1.5,0.081,5.0,1
50692,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,4.0,,,,9.4,10.6,,17.0,3.0,1990,305,915.0,1990-03-05 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.7,,2.4,,22.0,,1.4,0.049,5.0,1
50693,1460201,磯子沖,イソゴオキ,,35.39444444,139.64777778, 35:23:40,139:38:52,0.0,,,,,11.2,,,,1990,305,915.0,1990-03-05 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.4,,2.1,,,,0.98,0.044000000000000004,16.0,2
48133,1460201,磯子沖,イソゴオキ,Isogooki,35.39444444,139.64777778, 35:23:40,139:38:52,4.0,,,,15.1,14.6,,15.0,3.0,1990,410,911.0,1990-04-10 09:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.7,,2.5,,79.0,,1.0,0.057999999999999996,5.0,1
48134,1460201,磯子沖,イソゴオキ,Isogooki,35.39444444,139.64777778, 35:23:40,139:38:52,0.0,,,,,14.4,,,,1990,410,911.0,1990-04-10 09:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.1,,2.2,,,,0.89,0.039,14.0,2
48136,1460201,磯子沖,イソゴオキ,Isogooki,35.39444444,139.64777778, 35:23:40,139:38:52,4.0,,,,18.5,17.9,,15.0,1.5,1990,508,910.0,1990-05-08 09:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.2,,6.2,,5400.0,,1.7,0.18,5.0,1
48137,1460201,磯子沖,イソゴオキ,Isogooki,35.39444444,139.64777778, 35:23:40,139:38:52,0.0,,,,,16.1,,,,1990,508,910.0,1990-05-08 09:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,6.4,,1.7,,,,0.52,0.055999999999999994,14.0,2
48139,1460201,磯子沖,イソゴオキ,Isogooki,35.39444444,139.64777778, 35:23:40,139:38:52,10.0,,,,18.2,20.0,,17.0,2.3,1990,605,920.0,1990-06-05 09:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,7.8,,3.9,,49.0,,1.0,0.061,5.0,1
48140,1460201,磯子沖,イソゴオキ,Isogooki,35.39444444,139.64777778, 35:23:40,139:38:52,0.0,,,,,19.7,,,,1990,605,920.0,1990-06-05 09:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,7.4,,3.9,,,,0.95,0.06,16.0,2
48142,1460201,磯子沖,イソゴオキ,Isogooki,35.39444444,139.64777778, 35:23:40,139:38:52,4.0,,,,23.9,22.8,,16.0,2.2,1990,703,905.0,1990-07-03 09:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,9.6,,4.8,,79.0,,1.0,0.08800000000000001,5.0,1
48143,1460201,磯子沖,イソゴオキ,Isogooki,35.39444444,139.64777778, 35:23:40,139:38:52,0.0,,,,,21.3,,,,1990,703,905.0,1990-07-03 09:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,5.7,,1.7,,,,0.7,0.068,15.0,2
48146,1460201,磯子沖,イソゴオキ,Isogooki,35.39444444,139.64777778, 35:23:40,139:38:52,0.0,,,,,23.9,,,,1990,807,920.0,1990-08-07 09:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,5.3,,2.7,,,,0.72,0.1,14.0,2
48145,1460201,磯子沖,イソゴオキ,Isogooki,35.39444444,139.64777778, 35:23:40,139:38:52,2.0,,,,29.3,28.9,,15.0,2.5,1990,807,920.0,1990-08-07 09:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,7.1,,4.8,,230.0,,1.2,0.11,5.0,1
