,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
34704,1360167,貨物線鉄橋,カモツセンテツキヨウ,Kamotsusentekkyo,35.65888889,139.79888889, 35:39:32,139:47:56,4.0,,182.0,181.0,25.5,24.0,,6.2,2.4,1995,719,1015.0,1995-07-19 10:15:00,0.001,,0.002,0.01,0.005,0.0005,,,,,,,,,,,0.001,0.0002,,,,,,,,,,,7.4,4.7,,4.5,3.0,,,5.2,0.28,0.0,5
34706,1360167,貨物線鉄橋,カモツセンテツキヨウ,Kamotsusentekkyo,35.65888889,139.79888889, 35:39:32,139:47:56,1.0,,121.0,180.0,5.0,8.8,,6.5,3.3,1996,125,958.0,1996-01-25 09:58:00,0.001,,0.002,0.01,0.005,0.0005,,,,,,,,,,,0.001,0.0002,,,,,,,,,,,7.8,7.8,,3.4,2.0,,,3.6,0.18,0.0,5
32036,1360167,貨物線鉄橋,カモツセンテツキヨウ,Kamotsusentekkyo,35.65888889,139.79888889, 35:39:32,139:47:56,4.0,,181.0,181.0,27.4,26.0,,4.7,1.6,1996,722,1300.0,1996-07-22 13:00:00,0.001,,0.002,0.01,0.005,0.0005,,,,,,,,,,,0.001,0.0002,,,,,,,,,,,7.4,3.0,,5.7,3.0,,,4.9,0.38,0.0,5
32038,1360167,貨物線鉄橋,カモツセンテツキヨウ,Kamotsusentekkyo,35.65888889,139.79888889, 35:39:32,139:47:56,2.0,,381.0,180.0,1.6,10.0,,5.8,3.2,1997,122,1012.0,1997-01-22 10:12:00,0.001,,0.002,0.01,0.005,0.0005,,,,,,,,,,,0.001,0.0002,,,,,,,,,,,8.0,7.4,,3.3,2.0,,,3.6,0.21,0.0,5
29368,1360167,貨物線鉄橋,カモツセンテツキヨウ,Kamotsusentekkyo,35.65888889,139.79888889, 35:39:32,139:47:56,2.0,,381.0,181.0,30.0,26.2,,5.7,1.5,1997,716,1007.0,1997-07-16 10:07:00,0.001,,0.002,0.01,0.005,0.0005,,,,,,,,,,,0.001,0.0002,,,,,,,,,,,7.8,5.6,,6.5,5.0,,,5.0,0.53,0.0,5
29370,1360167,貨物線鉄橋,カモツセンテツキヨウ,Kamotsusentekkyo,35.65888889,139.79888889, 35:39:32,139:47:56,2.0,,182.0,181.0,8.2,10.0,,6.3,2.5,1998,122,1000.0,1998-01-22 10:00:00,0.001,,0.002,0.01,0.005,0.0005,,,,,,,,,,,0.001,0.0002,,,,,,,,,,,7.6,6.4,,3.7,3.0,,,4.0,0.22,0.0,5
26712,1360167,貨物線鉄橋,カモツセンテツキヨウ,Kamotsusentekkyo,35.65888889,139.79888889, 35:39:32,139:47:56,10.0,,151.0,181.0,18.8,22.5,,5.3,2.6,1998,716,1000.0,1998-07-16 10:00:00,0.001,,0.002,0.01,0.005,0.0005,,,,,,,,,,,0.001,0.0002,,,,,,,,,,,7.4,2.9,,4.1,1.0,,,3.7,0.39,0.0,5
26714,1360167,貨物線鉄橋,カモツセンテツキヨウ,Kamotsusentekkyo,35.65888889,139.79888889, 35:39:32,139:47:56,4.0,,182.0,181.0,10.8,10.6,,6.4,2.4,1999,127,951.0,1999-01-27 09:51:00,0.001,,0.002,0.01,0.005,0.0005,,,,,,,,,,,0.001,0.0002,,,,,,,,,,,7.8,6.5,,3.3,2.0,,,4.2,0.2,0.0,5
24208,1360167,貨物線鉄橋,カモツセンテツキヨウ,Kamotsusentekkyo,35.65888889,139.79888889, 35:39:32,139:47:56,,,,,28.8,24.7,,5.1,1.2,1999,722,956.0,1999-07-22 09:56:00,0.001,,0.002,0.01,0.005,0.0005,,,,,,,,,,,0.001,0.0006,,,,,,,0.255,2.3,,,7.2,3.3,,5.3,5.0,,,5.42,0.287,0.0,5
24210,1360167,貨物線鉄橋,カモツセンテツキヨウ,Kamotsusentekkyo,35.65888889,139.79888889, 35:39:32,139:47:56,,,,,2.7,10.8,,6.2,3.0,2000,127,1001.0,2000-01-27 10:01:00,0.001,,0.002,0.01,0.005,0.0005,,,,,,,,,,,0.001,0.0002,,,,,,,0.14300000000000002,0.92,,,7.8,7.3,,2.6,3.0,,,2.84,0.146,0.0,5
