,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
55119,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,10.0,,,,14.6,13.8,,58.0,2.9,1987,407,1116.0,1987-04-07 11:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,4.3,,5.5,2.0,,,6.6,0.39,0.0,5
55121,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,2.0,,,,24.5,19.2,,57.0,0.5,1987,508,1145.0,1987-05-08 11:45:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,8.6,14.0,,28.0,26.0,,,9.8,1.4,0.0,5
55123,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,2.0,,,,28.5,23.0,,54.0,2.9,1987,617,1125.0,1987-06-17 11:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,3.3,,5.4,2.0,,,4.7,0.47,0.0,5
55125,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,2.0,,,,31.0,25.0,,45.0,2.6,1987,714,1139.0,1987-07-14 11:39:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.4,3.5,,5.7,2.0,,,5.2,0.5,0.0,5
55127,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,2.0,,,,31.0,28.8,,58.0,1.2,1987,818,1132.0,1987-08-18 11:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.5,,8.2,6.0,,,5.7,0.61,0.0,5
55129,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,2.0,,,,27.0,23.1,,58.0,2.1,1987,918,1226.0,1987-09-18 12:26:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.6,2.8,,3.9,3.0,,,3.5,0.36,0.0,5
55131,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,1.0,,,,22.0,20.8,,57.0,3.1,1987,1014,1127.0,1987-10-14 11:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,3.3,,4.2,1.0,,,4.9,0.35,0.0,5
55133,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,1.0,,,,14.0,15.5,,55.0,4.6,1987,1125,1150.0,1987-11-25 11:50:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.8,5.5,,2.8,1.0,,,4.2,0.26,0.0,5
55135,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,2.0,,,,7.5,11.7,,60.0,1.7,1987,1215,1128.0,1987-12-15 11:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,5.0,,5.0,2.0,,,8.5,0.3,0.0,5
55137,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,1.0,,,,9.0,11.4,,57.0,3.6,1988,126,1141.0,1988-01-26 11:41:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.7,6.1,,4.3,2.0,,,5.3,0.24,0.0,5
55139,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,16.0,,,,6.5,9.1,,55.0,1.8,1988,224,1126.0,1988-02-24 11:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.3,,4.9,6.0,,,4.1,0.17,0.0,5
55141,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,1.0,,,,10.5,10.8,,53.0,2.3,1988,310,1135.0,1988-03-10 11:35:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,8.0,8.2,,4.9,3.0,,,5.1,0.18,0.0,5
52599,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,2.0,,,,17.0,15.0,,52.0,2.5,1988,414,1124.0,1988-04-14 11:24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,4.8,,5.5,2.0,,,6.1,0.36,0.0,5
52601,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,4.0,,,,17.5,18.4,,56.0,1.3,1988,524,1133.0,1988-05-24 11:33:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.4,4.2,,9.3,7.0,,,7.2,0.61,0.0,5
52603,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,2.0,,,,25.5,22.1,,56.0,3.0,1988,622,956.0,1988-06-22 09:56:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,3.5,,6.2,3.0,,,5.3,0.44,0.0,5
52605,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,4.0,,,,24.0,21.1,,52.0,2.0,1988,719,1129.0,1988-07-19 11:29:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.3,2.2,,4.8,3.0,,,3.9,0.34,0.0,5
52607,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,10.0,,,,31.8,24.3,,52.0,1.1,1988,818,1124.0,1988-08-18 11:24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,2.6,,4.4,7.0,,,4.9,0.25,0.0,5
52609,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,4.0,,,,26.5,23.4,,57.0,1.8,1988,920,1128.0,1988-09-20 11:28:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.5,4.4,,4.4,4.0,,,5.2,0.24,0.0,5
52611,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,1.0,,,,19.5,19.5,,56.0,2.3,1988,1019,1127.0,1988-10-19 11:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,4.1,,4.4,2.0,,,5.5,0.32,0.0,5
52613,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,2.0,,,,11.5,15.5,,58.0,3.2,1988,1116,1119.0,1988-11-16 11:19:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.6,4.9,,3.6,1.0,,,4.5,0.25,0.0,5
52615,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,4.0,,,,10.0,12.1,,56.0,3.4,1988,1215,1129.0,1988-12-15 11:29:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,6.1,,3.7,1.0,,,6.1,0.27,0.0,5
52617,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,2.0,,,,9.0,9.7,,57.0,4.3,1989,118,1116.0,1989-01-18 11:16:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.8,7.7,,3.4,1.0,,,5.8,0.22,0.0,5
52619,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,4.0,,,,15.0,10.5,,56.0,2.1,1989,216,1113.0,1989-02-16 11:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,7.1,,4.2,6.0,,,4.8,0.29,0.0,5
52621,1360169,黎明橋,レイメイバシ,,35.65722222,139.77916667, 35:39:26,139:46:45,1.0,,,,15.0,12.8,,55.0,2.8,1989,315,1129.0,1989-03-15 11:29:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,,,,,,,,,,,,,7.4,5.6,,5.3,2.0,,,5.5,0.29,0.0,5
47529,1360169,黎明橋,レイメイバシ,Reimeibashi,35.65722222,139.77916667, 35:39:26,139:46:45,2.0,,,,15.8,14.7,,5.4,2.1,1990,419,1103.0,1990-04-19 11:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,3.8,,5.7,3.0,,,6.2,0.41,0.0,5
47531,1360169,黎明橋,レイメイバシ,Reimeibashi,35.65722222,139.77916667, 35:39:26,139:46:45,2.0,,,,21.0,18.5,,5.7,3.1,1990,518,1120.0,1990-05-18 11:20:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,7.4,4.6,,4.9,1.0,,,5.1,0.33,0.0,5
47533,1360169,黎明橋,レイメイバシ,Reimeibashi,35.65722222,139.77916667, 35:39:26,139:46:45,4.0,,,,28.6,24.0,,4.7,2.5,1990,621,1127.0,1990-06-21 11:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,3.1,,6.1,2.0,,,5.8,0.47,0.0,5
47535,1360169,黎明橋,レイメイバシ,Reimeibashi,35.65722222,139.77916667, 35:39:26,139:46:45,1.0,,,,32.4,26.5,,5.4,1.4,1990,718,1142.0,1990-07-18 11:42:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,8.0,11.0,,7.3,7.0,,,5.5,0.46,0.0,5
47537,1360169,黎明橋,レイメイバシ,Reimeibashi,35.65722222,139.77916667, 35:39:26,139:46:45,1.0,,,,33.2,29.7,,5.3,1.9,1990,824,1452.0,1990-08-24 14:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,5.3,,5.4,3.0,,,6.3,0.35,0.0,5
47539,1360169,黎明橋,レイメイバシ,Reimeibashi,35.65722222,139.77916667, 35:39:26,139:46:45,4.0,,,,28.4,26.0,,4.7,1.8,1990,918,1135.0,1990-09-18 11:35:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,7.4,1.6,,5.4,3.0,,,4.7,0.51,0.0,5
47541,1360169,黎明橋,レイメイバシ,Reimeibashi,35.65722222,139.77916667, 35:39:26,139:46:45,2.0,,,,23.5,20.5,,5.8,2.6,1990,1025,1132.0,1990-10-25 11:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,4.4,,3.5,1.0,,,4.3,0.24,0.0,5
47543,1360169,黎明橋,レイメイバシ,Reimeibashi,35.65722222,139.77916667, 35:39:26,139:46:45,4.0,,,,19.7,17.1,,5.8,2.2,1990,1127,1452.0,1990-11-27 14:52:00,0.005,,0.05,0.02,0.02,0.0005,,,,,,,,,,,0.002,0.0005,,,,,,,,,,,7.7,4.1,,3.6,2.0,,,4.3,0.23,0.0,5
47545,1360169,黎明橋,レイメイバシ,Reimeibashi,35.65722222,139.77916667, 35:39:26,139:46:45,10.0,,,,7.5,12.3,,5.7,2.1,1990,1221,1122.0,1990-12-21 11:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,5.5,,4.0,4.0,,,5.0,0.22,0.0,5
