,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
34585,1360151,Ｓｔ‐１,ＳＴ．１,St-1,35.65055556,139.84388889, 35:39:02,139:50:38,,,153.0,,,21.2,,4.2,,1995,707,1247.0,1995-07-07 12:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.7,,3.1,,,,1.2,0.13,32.0,3
34584,1360151,Ｓｔ‐１,ＳＴ．１,St-1,35.65055556,139.84388889, 35:39:02,139:50:38,4.0,,152.0,272.0,23.8,21.0,,4.2,0.7,1995,707,1247.0,1995-07-07 12:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,5.7,,5.0,,,,2.9,0.19,0.0,5
34586,1360151,Ｓｔ‐１,ＳＴ．１,St-1,35.65055556,139.84388889, 35:39:02,139:50:38,1.0,,181.0,272.0,10.8,8.6,,4.7,1.1,1996,111,1222.0,1996-01-11 12:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,7.9,,4.0,,,,3.8,0.24,0.0,5
34587,1360151,Ｓｔ‐１,ＳＴ．１,St-1,35.65055556,139.84388889, 35:39:02,139:50:38,,,182.0,,,8.8,,4.7,,1996,117,1222.0,1996-01-17 12:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,8.4,,4.0,,,,3.3,0.2,37.0,4
31917,1360151,Ｓｔ‐１,ＳＴ．１,St-1,35.65055556,139.84388889, 35:39:02,139:50:38,,,381.0,,,22.9,,4.5,,1996,704,1000.0,1996-07-04 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,4.3,,4.6,,,,2.1,0.21,35.0,4
31916,1360151,Ｓｔ‐１,ＳＴ．１,St-1,35.65055556,139.84388889, 35:39:02,139:50:38,2.0,,381.0,272.0,24.6,25.4,,4.5,1.1,1996,704,1000.0,1996-07-04 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,5.1,,5.9,,,,4.1,0.3,0.0,5
31919,1360151,Ｓｔ‐１,ＳＴ．１,St-1,35.65055556,139.84388889, 35:39:02,139:50:38,,,381.0,,,11.3,,3.2,,1997,109,953.0,1997-01-09 09:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.8,,3.4,,,,1.8,0.15,22.0,2
31918,1360151,Ｓｔ‐１,ＳＴ．１,St-1,35.65055556,139.84388889, 35:39:02,139:50:38,1.0,,381.0,172.0,7.4,11.2,,3.2,1.3,1997,109,953.0,1997-01-09 09:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.5,,2.7,,,,1.9,0.14,0.0,5
29249,1360151,Ｓｔ‐１,ＳＴ．１,St-1,35.65055556,139.84388889, 35:39:02,139:50:38,,,381.0,,,25.3,,3.9,,1997,703,1007.0,1997-07-03 10:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,3.7,,7.5,,,,4.1,0.41,29.0,3
29248,1360151,Ｓｔ‐１,ＳＴ．１,St-1,35.65055556,139.84388889, 35:39:02,139:50:38,2.0,,382.0,272.0,29.8,25.7,,3.9,0.7,1997,703,1007.0,1997-07-03 10:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,5.0,,7.2,,,,3.5,0.29,0.0,5
29251,1360151,Ｓｔ‐１,ＳＴ．１,St-1,35.65055556,139.84388889, 35:39:02,139:50:38,,,151.0,,,12.1,,4.5,,1998,108,1000.0,1998-01-08 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,6.7,,2.6,,,,2.1,0.15,35.0,4
29250,1360151,Ｓｔ‐１,ＳＴ．１,St-1,35.65055556,139.84388889, 35:39:02,139:50:38,4.0,,181.0,181.0,4.7,10.4,,4.5,1.9,1998,108,1000.0,1998-01-08 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,6.5,,4.3,,,,4.6,0.3,0.0,5
26605,1360151,Ｓｔ‐１,ＳＴ．１,St-1,35.65055556,139.84388889, 35:39:02,139:50:38,,,151.0,,,26.8,,2.5,,1998,708,948.0,1998-07-08 09:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,2.5,,7.3,,,,4.1,0.42,15.0,2
26604,1360151,Ｓｔ‐１,ＳＴ．１,St-1,35.65055556,139.84388889, 35:39:02,139:50:38,4.0,,181.0,182.0,29.0,27.1,,2.5,0.7,1998,708,948.0,1998-07-08 09:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,2.8,,6.6,,,,4.0,0.35,0.0,5
26607,1360151,Ｓｔ‐１,ＳＴ．１,St-1,35.65055556,139.84388889, 35:39:02,139:50:38,,,151.0,,,12.5,,4.0,,1999,107,950.0,1999-01-07 09:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.1,,2.7,,,,1.4,0.11,30.0,3
26606,1360151,Ｓｔ‐１,ＳＴ．１,St-1,35.65055556,139.84388889, 35:39:02,139:50:38,4.0,,181.0,181.0,9.0,12.2,,4.0,2.5,1999,107,950.0,1999-01-07 09:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.8,,3.2,,,,3.7,0.33,0.0,5
24101,1360151,Ｓｔ‐１,ＳＴ．１,St-1,35.65055556,139.84388889, 35:39:02,139:50:38,,,,,,22.4,,2.6,,1999,708,950.0,1999-07-08 09:50:00,,,,,,,,,,,,,,,,,,,,,,,,,0.157,0.9,,,7.7,3.9,,4.7,,,,2.47,0.325,1.6,1
24100,1360151,Ｓｔ‐１,ＳＴ．１,St-1,35.65055556,139.84388889, 35:39:02,139:50:38,,,,,22.5,22.7,,2.6,1.0,1999,708,950.0,1999-07-08 09:50:00,,,,,,,,,,,,,,,,,,,,,,,,,0.203,1.6,,,7.3,5.0,,5.3,,,,3.9,0.326,0.0,5
24103,1360151,Ｓｔ‐１,ＳＴ．１,St-1,35.65055556,139.84388889, 35:39:02,139:50:38,,,,,,12.0,,3.5,,2000,106,1148.0,2000-01-06 11:48:00,,,,,,,,,,,,,,,,,,,,,,,,,0.154,0.95,,,7.8,6.8,,3.4,,,,3.21,0.201,2.5,1
