,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
35061,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,,,151.0,,,19.2,,11.4,,1995,707,1100.0,1995-07-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,5.3,,1.6,,,,0.49,0.052000000000000005,104.0,5
35060,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,4.0,,151.0,182.0,23.9,23.0,,11.4,1.3,1995,707,1100.0,1995-07-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,5.3,,5.4,,,,2.7,0.18,0.0,5
35063,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,,,181.0,,,9.2,,11.0,,1996,110,1200.0,1996-01-10 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.1,,1.8,,,,1.1,0.073,100.0,5
35062,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,1.0,,181.0,180.0,6.9,8.7,,11.0,3.5,1996,110,1200.0,1996-01-10 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.4,,2.5,,,,1.8,0.1,0.0,5
32393,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,,,151.0,,,21.7,,9.7,,1996,703,1227.0,1996-07-03 12:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,5.6,,3.4,,,,1.1,0.1,87.0,4
32392,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,2.0,,151.0,272.0,26.8,25.5,,9.7,1.3,1996,703,1227.0,1996-07-03 12:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.3,,5.1,,,,2.4,0.21,0.0,5
32395,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,,,151.0,,,12.3,,11.3,,1997,108,1208.0,1997-01-08 12:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.5,,2.0,,,,1.0,0.068,103.0,5
32394,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,4.0,,151.0,181.0,7.9,11.2,,11.3,2.6,1997,108,1208.0,1997-01-08 12:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.6,,3.0,,,,1.4,0.1,0.0,5
29725,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,,,11.0,,,21.1,,10.5,,1997,702,1147.0,1997-07-02 11:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,2.6,,3.0,,,,0.94,0.1,95.0,4
29724,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,4.0,,11.0,182.0,24.0,23.3,,10.5,1.4,1997,702,1147.0,1997-07-02 11:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,9.9,,5.8,,,,1.4,0.11,0.0,5
29727,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,,,151.0,,,12.2,,11.7,,1998,107,1156.0,1998-01-07 11:56:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.2,,1.6,,,,1.1,0.076,107.0,5
29726,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,1.0,,151.0,180.0,9.8,11.5,,11.7,3.4,1998,107,1156.0,1998-01-07 11:56:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.1,,2.4,,,,1.9,0.11,0.0,5
27061,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,,,181.0,,,18.5,,13.0,,1998,707,1115.0,1998-07-07 11:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,0.7,,2.0,,,,0.81,0.13,120.0,5
27060,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,4.0,,181.0,181.0,31.2,27.3,,13.0,1.7,1998,707,1115.0,1998-07-07 11:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.0,,6.2,,,,3.2,0.27,0.0,5
27063,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,,,151.0,,,12.8,,13.5,,1999,106,1122.0,1999-01-06 11:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.3,,2.0,,,,0.8,0.065,12.5,1
27062,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,4.0,,151.0,180.0,8.2,11.6,,13.5,3.3,1999,106,1122.0,1999-01-06 11:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.1,,2.8,,,,1.9,0.1,0.0,5
24533,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,,,,,,20.3,,11.2,,1999,707,1152.0,1999-07-07 11:52:00,,,,,,,,,,,,,,,,,,,,,,,,,0.046,0.31,,,8.1,4.4,,1.9,,,,0.67,0.086,10.2,1
24532,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,,,,,23.0,23.4,,11.2,2.0,1999,707,1152.0,1999-07-07 11:52:00,,,,,,,,,,,,,,,,,,,,,,,,,0.085,1.1,,,8.1,7.8,,3.8,,,,2.01,0.145,0.0,5
24535,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,,,,,,13.6,,10.9,,2000,111,1004.0,2000-01-11 10:04:00,,,,,,,,,,,,,,,,,,,,,,,,,0.054000000000000006,0.37,,,8.1,7.4,,1.9,,,,1.06,0.055999999999999994,9.9,1
24534,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,,,,,9.5,11.9,,10.9,3.7,2000,111,1004.0,2000-01-11 10:04:00,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.56,,,8.0,8.1,,3.0,,,,1.81,0.094,0.0,5
22061,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,,,,,,20.9,,10.5,,2000,706,1151.0,2000-07-06 11:51:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,4.8,,2.1,,,,0.66,0.084,9.5,1
22060,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,,,,,24.0,26.2,,10.5,1.3,2000,706,1151.0,2000-07-06 11:51:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,4.7,,5.4,,,,3.0,0.2,0.0,5
22063,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,,,,,,11.4,,11.2,,2001,105,1000.0,2001-01-05 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.1,,1.7,,,,0.98,0.063,10.2,1
22062,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,,,,,6.5,10.3,,11.2,6.6,2001,105,1000.0,2001-01-05 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.5,,1.9,,,,1.7,0.109,0.0,5
19589,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,,,,,,19.9,,9.3,,2001,703,1136.0,2001-07-03 11:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,1.7,,2.4,,,,0.67,0.087,8.3,1
19588,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,,,,,27.2,24.9,,9.3,1.2,2001,703,1136.0,2001-07-03 11:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,9.3,,6.2,,,,1.86,0.18100000000000002,0.0,5
19591,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,,,,,,10.7,,10.9,,2002,107,1101.0,2002-01-07 11:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,8.3,,1.8,,,,1.04,0.07,9.9,1
19590,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,,,,,5.1,9.3,,10.9,3.6,2002,107,1101.0,2002-01-07 11:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,8.5,,2.9,,,,2.73,0.131,0.0,5
17114,1360351,Ｓｔ‐１４,ＳＴ．１４,St-14,35.59611111,139.84388889, 35:35:46,139:50:38,,,,,22.7,21.4,,10.8,1.4,2002,701,1116.0,2002-07-01 11:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,8.0,,4.4,,,,2.86,0.20199999999999999,0.0,5
