,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
35065,1360352,Ｓｔ‐１５,ＳＴ．１５,St-15,35.59611111,139.86611111, 35:35:46,139:51:58,,,151.0,,,19.2,,11.7,,1995,707,1120.0,1995-07-07 11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.9,,1.5,,,,0.61,0.065,107.0,5
35064,1360352,Ｓｔ‐１５,ＳＴ．１５,St-15,35.59611111,139.86611111, 35:35:46,139:51:58,4.0,,151.0,182.0,23.8,21.7,,11.7,1.3,1995,707,1120.0,1995-07-07 11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,5.1,,4.9,,,,2.8,0.21,0.0,5
35067,1360352,Ｓｔ‐１５,ＳＴ．１５,St-15,35.59611111,139.86611111, 35:35:46,139:51:58,,,381.0,,,9.1,,11.7,,1996,111,1017.0,1996-01-11 10:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.3,,1.9,,,,1.2,0.075,107.0,5
35066,1360352,Ｓｔ‐１５,ＳＴ．１５,St-15,35.59611111,139.86611111, 35:35:46,139:51:58,1.0,,381.0,180.0,9.6,8.8,,11.7,5.0,1996,111,1017.0,1996-01-11 10:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.6,,2.2,,,,1.4,0.08900000000000001,0.0,5
32397,1360352,Ｓｔ‐１５,ＳＴ．１５,St-15,35.59611111,139.86611111, 35:35:46,139:51:58,,,151.0,,,21.0,,10.4,,1996,704,1203.0,1996-07-04 12:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,4.8,,2.7,,,,0.99,0.091,94.0,4
32396,1360352,Ｓｔ‐１５,ＳＴ．１５,St-15,35.59611111,139.86611111, 35:35:46,139:51:58,1.0,,151.0,172.0,24.8,24.6,,10.4,1.2,1996,704,1203.0,1996-07-04 12:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,14.0,,7.0,,,,1.4,0.12,0.0,5
32399,1360352,Ｓｔ‐１５,ＳＴ．１５,St-15,35.59611111,139.86611111, 35:35:46,139:51:58,,,11.0,,,12.3,,11.5,,1997,109,1203.0,1997-01-09 12:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.4,,1.6,,,,0.91,0.05,105.0,5
32398,1360352,Ｓｔ‐１５,ＳＴ．１５,St-15,35.59611111,139.86611111, 35:35:46,139:51:58,1.0,,11.0,171.0,8.6,10.8,,11.5,2.7,1997,109,1203.0,1997-01-09 12:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,9.8,,3.6,,,,1.4,0.1,0.0,5
29729,1360352,Ｓｔ‐１５,ＳＴ．１５,St-15,35.59611111,139.86611111, 35:35:46,139:51:58,,,11.0,,,22.2,,11.3,,1997,703,1307.0,1997-07-03 13:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,6.8,,3.6,,,,0.75,0.057999999999999996,103.0,5
29728,1360352,Ｓｔ‐１５,ＳＴ．１５,St-15,35.59611111,139.86611111, 35:35:46,139:51:58,2.0,,11.0,171.0,27.5,26.5,,11.3,1.6,1997,703,1307.0,1997-07-03 13:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,12.0,,6.2,,,,1.3,0.1,0.0,5
29731,1360352,Ｓｔ‐１５,ＳＴ．１５,St-15,35.59611111,139.86611111, 35:35:46,139:51:58,,,152.0,,,11.6,,11.7,,1998,108,1128.0,1998-01-08 11:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.0,,1.7,,,,1.0,0.079,107.0,5
29730,1360352,Ｓｔ‐１５,ＳＴ．１５,St-15,35.59611111,139.86611111, 35:35:46,139:51:58,4.0,,152.0,180.0,5.4,10.6,,11.7,3.6,1998,108,1128.0,1998-01-08 11:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.1,,2.2,,,,1.5,0.1,0.0,5
27065,1360352,Ｓｔ‐１５,ＳＴ．１５,St-15,35.59611111,139.86611111, 35:35:46,139:51:58,,,151.0,,,21.4,,11.3,,1998,708,1122.0,1998-07-08 11:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,3.0,,2.0,,,,0.7,0.087,103.0,5
27064,1360352,Ｓｔ‐１５,ＳＴ．１５,St-15,35.59611111,139.86611111, 35:35:46,139:51:58,4.0,,151.0,172.0,30.4,28.7,,11.3,1.3,1998,708,1122.0,1998-07-08 11:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,9.4,,6.0,,,,2.6,0.21,0.0,5
27067,1360352,Ｓｔ‐１５,ＳＴ．１５,St-15,35.59611111,139.86611111, 35:35:46,139:51:58,,,181.0,,,12.7,,13.0,,1999,107,1108.0,1999-01-07 11:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.5,,1.9,,,,0.77,0.051,120.0,5
