,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
35069,1360353,Ｓｔ‐１６,ＳＴ．１６,St-16,35.59611111,139.88833333, 35:35:46,139:53:18,,,183.0,,,21.0,,11.6,,1995,704,1345.0,1995-07-04 13:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,7.2,,2.6,,,,0.61,0.040999999999999995,106.0,5
35068,1360353,Ｓｔ‐１６,ＳＴ．１６,St-16,35.59611111,139.88833333, 35:35:46,139:53:18,10.0,,181.0,182.0,22.0,22.2,,11.6,1.3,1995,704,1345.0,1995-07-04 13:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.4,,3.6,,,,2.3,0.11,0.0,5
35071,1360353,Ｓｔ‐１６,ＳＴ．１６,St-16,35.59611111,139.88833333, 35:35:46,139:53:18,,,182.0,,,9.0,,12.4,,1996,111,1100.0,1996-01-11 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.3,,2.1,,,,1.2,0.075,114.0,5
35070,1360353,Ｓｔ‐１６,ＳＴ．１６,St-16,35.59611111,139.88833333, 35:35:46,139:53:18,1.0,,182.0,180.0,9.5,8.8,,12.4,5.2,1996,111,1100.0,1996-01-11 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.8,,2.3,,,,1.4,0.08800000000000001,0.0,5
32401,1360353,Ｓｔ‐１６,ＳＴ．１６,St-16,35.59611111,139.88833333, 35:35:46,139:53:18,,,151.0,,,20.5,,10.7,,1996,704,1125.0,1996-07-04 11:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,2.9,,2.7,,,,0.89,0.099,97.0,4
32400,1360353,Ｓｔ‐１６,ＳＴ．１６,St-16,35.59611111,139.88833333, 35:35:46,139:53:18,1.0,,151.0,172.0,25.2,24.3,,10.7,1.1,1996,704,1125.0,1996-07-04 11:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,14.0,,6.9,,,,1.3,0.11,0.0,5
32403,1360353,Ｓｔ‐１６,ＳＴ．１６,St-16,35.59611111,139.88833333, 35:35:46,139:53:18,,,151.0,,,12.3,,11.5,,1997,109,1116.0,1997-01-09 11:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.1,,1.7,,,,0.85,0.053,105.0,4
32402,1360353,Ｓｔ‐１６,ＳＴ．１６,St-16,35.59611111,139.88833333, 35:35:46,139:53:18,1.0,,151.0,181.0,8.4,10.8,,11.5,2.8,1997,109,1116.0,1997-01-09 11:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,9.8,,3.0,,,,1.3,0.087,0.0,5
29733,1360353,Ｓｔ‐１６,ＳＴ．１６,St-16,35.59611111,139.88833333, 35:35:46,139:53:18,,,11.0,,,23.2,,10.7,,1997,703,1120.0,1997-07-03 11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,7.2,,4.0,,,,0.85,0.063,97.0,4
29732,1360353,Ｓｔ‐１６,ＳＴ．１６,St-16,35.59611111,139.88833333, 35:35:46,139:53:18,2.0,,11.0,182.0,27.2,25.9,,10.7,1.4,1997,703,1120.0,1997-07-03 11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,10.0,,6.5,,,,2.4,0.18,0.0,5
