,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
55401,1360301,Ｓｔ‐２２,ＳＴ．２２,,35.58055556,139.88888889, 35:34:50,139:53:20,16.0,,,,9.2,10.8,,144.0,2.6,1987,402,1130.0,1987-04-02 11:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.8,,3.7,,330.0,,1.8,0.09,0.0,5
55402,1360301,Ｓｔ‐２２,ＳＴ．２２,,35.58055556,139.88888889, 35:34:50,139:53:20,,,,,,11.4,,,,1987,402,1130.0,1987-04-02 11:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,5.7,,2.3,,,,1.2,0.07200000000000001,134.0,5
55404,1360301,Ｓｔ‐２２,ＳＴ．２２,,35.58055556,139.88888889, 35:34:50,139:53:20,2.0,,,,21.0,17.8,,135.0,2.0,1987,512,1145.0,1987-05-12 11:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,9.2,,6.9,,,,1.9,0.14,0.0,5
55405,1360301,Ｓｔ‐２２,ＳＴ．２２,,35.58055556,139.88888889, 35:34:50,139:53:20,,,,,,17.0,,,,1987,512,1145.0,1987-05-12 11:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,7.6,,4.9,,,,1.4,0.081,125.0,4
55406,1360301,Ｓｔ‐２２,ＳＴ．２２,,35.58055556,139.88888889, 35:34:50,139:53:20,2.0,,,,24.0,20.8,,145.0,3.1,1987,604,1154.0,1987-06-04 11:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,7.2,,4.1,,2.0,,1.2,0.085,0.0,5
55407,1360301,Ｓｔ‐２２,ＳＴ．２２,,35.58055556,139.88888889, 35:34:50,139:53:20,,,,,,20.3,,,,1987,604,1154.0,1987-06-04 11:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,6.1,,3.7,,,,1.1,0.081,135.0,5
55409,1360301,Ｓｔ‐２２,ＳＴ．２２,,35.58055556,139.88888889, 35:34:50,139:53:20,10.0,,,,21.5,21.5,,150.0,2.0,1987,703,1136.0,1987-07-03 11:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.8,,4.8,4.0,,,1.7,0.13,0.0,5
55410,1360301,Ｓｔ‐２２,ＳＴ．２２,,35.58055556,139.88888889, 35:34:50,139:53:20,,,,,,18.3,,,,1987,703,1136.0,1987-07-03 11:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,2.7,,2.1,1.0,,,0.71,0.11,140.0,5
55412,1360301,Ｓｔ‐２２,ＳＴ．２２,,35.58055556,139.88888889, 35:34:50,139:53:20,,,,,,19.5,,,,1987,804,1154.0,1987-08-04 11:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,0.5,,1.6,,,,0.68,0.13,140.0,5
55411,1360301,Ｓｔ‐２２,ＳＴ．２２,,35.58055556,139.88888889, 35:34:50,139:53:20,4.0,,,,26.5,26.9,,150.0,1.1,1987,804,1154.0,1987-08-04 11:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,13.0,,7.3,,790.0,,1.9,0.16,0.0,5
