,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
54961,1360104,Ｓｔ‐２３,ＳＴ．２３,,35.57277778,139.78250000, 35:34:22,139:46:57,4.0,,,,6.0,11.2,,77.0,2.0,1987,401,1020.0,1987-04-01 10:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.4,,4.4,,170.0,,4.0,0.2,0.0,5
54962,1360104,Ｓｔ‐２３,ＳＴ．２３,,35.57277778,139.78250000, 35:34:22,139:46:57,,,,,,10.8,,,,1987,401,1020.0,1987-04-01 10:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.5,,4.4,,,,2.9,0.14,67.0,4
54964,1360104,Ｓｔ‐２３,ＳＴ．２３,,35.57277778,139.78250000, 35:34:22,139:46:57,2.0,,,,19.0,16.6,,60.0,2.0,1987,511,1216.0,1987-05-11 12:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.3,,5.2,,,,1.6,0.1,0.0,5
54965,1360104,Ｓｔ‐２３,ＳＴ．２３,,35.57277778,139.78250000, 35:34:22,139:46:57,,,,,,16.7,,,,1987,511,1216.0,1987-05-11 12:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.8,,4.4,,,,1.5,0.09300000000000001,50.0,3
54966,1360104,Ｓｔ‐２３,ＳＴ．２３,,35.57277778,139.78250000, 35:34:22,139:46:57,2.0,,,,26.5,20.5,,65.0,2.0,1987,604,1025.0,1987-06-04 10:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.7,,4.8,,790.0,,2.6,0.24,0.0,5
54967,1360104,Ｓｔ‐２３,ＳＴ．２３,,35.57277778,139.78250000, 35:34:22,139:46:57,,,,,,19.6,,,,1987,604,1025.0,1987-06-04 10:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.0,,4.0,,,,2.0,0.16,55.0,4
54969,1360104,Ｓｔ‐２３,ＳＴ．２３,,35.57277778,139.78250000, 35:34:22,139:46:57,10.0,,,,21.5,21.2,,72.0,1.8,1987,703,1028.0,1987-07-03 10:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.2,,5.9,4.0,,,2.4,0.35,0.0,5
54970,1360104,Ｓｔ‐２３,ＳＴ．２３,,35.57277778,139.78250000, 35:34:22,139:46:57,,,,,,19.1,,,,1987,703,1028.0,1987-07-03 10:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,2.5,,3.1,4.0,,,1.0,0.14,62.0,4
54972,1360104,Ｓｔ‐２３,ＳＴ．２３,,35.57277778,139.78250000, 35:34:22,139:46:57,,,,,,26.8,,,,1987,803,1022.0,1987-08-03 10:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,3.6,,4.5,,,,1.1,0.11,75.0,5
54971,1360104,Ｓｔ‐２３,ＳＴ．２３,,35.57277778,139.78250000, 35:34:22,139:46:57,4.0,,,,24.5,25.8,,85.0,0.9,1987,803,1022.0,1987-08-03 10:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,9.8,,9.0,,79000.0,,4.3,0.34,0.0,5
54974,1360104,Ｓｔ‐２３,ＳＴ．２３,,35.57277778,139.78250000, 35:34:22,139:46:57,2.0,,,,28.0,26.5,,81.0,2.7,1987,902,1028.0,1987-09-02 10:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.7,,5.5,,,,3.2,0.27,0.0,5
54975,1360104,Ｓｔ‐２３,ＳＴ．２３,,35.57277778,139.78250000, 35:34:22,139:46:57,,,,,,26.3,,,,1987,902,1028.0,1987-09-02 10:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.4,,4.0,,,,1.7,0.26,71.0,5
54977,1360104,Ｓｔ‐２３,ＳＴ．２３,,35.57277778,139.78250000, 35:34:22,139:46:57,,,,,,21.2,,,,1987,1006,1014.0,1987-10-06 10:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,3.3,,3.3,,,,1.3,0.11,66.0,4
54976,1360104,Ｓｔ‐２３,ＳＴ．２３,,35.57277778,139.78250000, 35:34:22,139:46:57,10.0,,,,20.0,21.7,,76.0,1.7,1987,1006,1014.0,1987-10-06 10:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,6.5,,5.0,,3300.0,,3.7,0.29,0.0,5
54979,1360104,Ｓｔ‐２３,ＳＴ．２３,,35.57277778,139.78250000, 35:34:22,139:46:57,16.0,,,,11.5,16.6,,85.0,3.3,1987,1109,1035.0,1987-11-09 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,6.9,,3.5,,,,2.9,0.16,0.0,5
54980,1360104,Ｓｔ‐２３,ＳＴ．２３,,35.57277778,139.78250000, 35:34:22,139:46:57,,,,,,17.8,,,,1987,1109,1035.0,1987-11-09 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.2,,2.5,,,,1.5,0.087,75.0,5
54981,1360104,Ｓｔ‐２３,ＳＴ．２３,,35.57277778,139.78250000, 35:34:22,139:46:57,1.0,,,,10.5,15.1,,85.0,1.6,1987,1202,1027.0,1987-12-02 10:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.1,,2.9,,1700.0,,1.9,0.12,0.0,5
54982,1360104,Ｓｔ‐２３,ＳＴ．２３,,35.57277778,139.78250000, 35:34:22,139:46:57,,,,,,16.3,,,,1987,1202,1027.0,1987-12-02 10:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.1,,3.0,,,,1.3,0.085,75.0,5
