,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
35089,1360358,Ｓｔ‐２６,ＳＴ．２６,St-26,35.56000000,139.84388889, 35:33:36,139:50:38,,,151.0,,,17.9,,17.2,,1995,707,1020.0,1995-07-07 10:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,2.7,,1.3,,,,0.5,0.079,162.0,5
35088,1360358,Ｓｔ‐２６,ＳＴ．２６,St-26,35.56000000,139.84388889, 35:33:36,139:50:38,4.0,,152.0,62.0,23.4,22.3,,17.2,1.0,1995,707,1020.0,1995-07-07 10:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,5.6,,4.9,,,,2.8,0.2,0.0,5
35091,1360358,Ｓｔ‐２６,ＳＴ．２６,St-26,35.56000000,139.84388889, 35:33:36,139:50:38,,,181.0,,,9.3,,17.6,,1996,110,1052.0,1996-01-10 10:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.2,,1.9,,,,1.1,0.071,166.0,5
35090,1360358,Ｓｔ‐２６,ＳＴ．２６,St-26,35.56000000,139.84388889, 35:33:36,139:50:38,1.0,,182.0,180.0,6.5,8.5,,17.6,3.8,1996,110,1052.0,1996-01-10 10:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.3,,2.4,,,,1.8,0.1,0.0,5
32421,1360358,Ｓｔ‐２６,ＳＴ．２６,St-26,35.56000000,139.84388889, 35:33:36,139:50:38,,,11.0,,,16.9,,16.7,,1996,703,1049.0,1996-07-03 10:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.3,,1.9,,,,0.78,0.1,157.0,5
32420,1360358,Ｓｔ‐２６,ＳＴ．２６,St-26,35.56000000,139.84388889, 35:33:36,139:50:38,1.0,,151.0,172.0,25.3,24.0,,16.7,1.1,1996,703,1049.0,1996-07-03 10:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,15.0,,8.0,,,,1.6,0.14,0.0,5
32423,1360358,Ｓｔ‐２６,ＳＴ．２６,St-26,35.56000000,139.84388889, 35:33:36,139:50:38,,,151.0,,,12.6,,17.4,,1997,108,1050.0,1997-01-08 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.0,,1.9,,,,0.81,0.05,164.0,5
32422,1360358,Ｓｔ‐２６,ＳＴ．２６,St-26,35.56000000,139.84388889, 35:33:36,139:50:38,2.0,,151.0,170.0,8.7,11.1,,17.4,3.1,1997,108,1050.0,1997-01-08 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,9.5,,4.2,,,,1.3,0.09300000000000001,0.0,5
29753,1360358,Ｓｔ‐２６,ＳＴ．２６,St-26,35.56000000,139.84388889, 35:33:36,139:50:38,,,151.0,,,20.0,,16.4,,1997,702,1040.0,1997-07-02 10:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,5.1,,2.1,,,,0.53,0.057999999999999996,154.0,5
29752,1360358,Ｓｔ‐２６,ＳＴ．２６,St-26,35.56000000,139.84388889, 35:33:36,139:50:38,4.0,,152.0,181.0,23.0,22.9,,16.4,2.2,1997,702,1040.0,1997-07-02 10:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,10.0,,5.0,,,,1.3,0.11,0.0,5
