,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
34593,1360153,Ｓｔ‐３,ＳＴ．３,St-3,35.63388889,139.81055556, 35:38:02,139:48:38,,,151.0,,,20.7,,6.4,,1995,705,1214.0,1995-07-05 12:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.3,,2.7,,,,1.3,0.11,54.0,3
34592,1360153,Ｓｔ‐３,ＳＴ．３,St-3,35.63388889,139.81055556, 35:38:02,139:48:38,10.0,,152.0,181.0,22.0,22.6,,6.4,2.3,1995,705,1214.0,1995-07-05 12:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,4.7,,6.3,,,,3.9,0.44,0.0,5
34595,1360153,Ｓｔ‐３,ＳＴ．３,St-3,35.63388889,139.81055556, 35:38:02,139:48:38,,,181.0,,,8.9,,6.7,,1996,112,1157.0,1996-01-12 11:57:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.0,,2.4,,,,1.9,0.11,57.0,3
34594,1360153,Ｓｔ‐３,ＳＴ．３,St-3,35.63388889,139.81055556, 35:38:02,139:48:38,1.0,,181.0,180.0,10.6,8.8,,6.7,5.4,1996,112,1157.0,1996-01-12 11:57:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,8.7,,2.4,,,,2.1,0.12,0.0,5
31925,1360153,Ｓｔ‐３,ＳＴ．３,St-3,35.63388889,139.81055556, 35:38:02,139:48:38,,,381.0,,,23.2,,6.1,,1996,705,1140.0,1996-07-05 11:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,5.6,,4.4,,,,2.2,0.21,51.0,3
31924,1360153,Ｓｔ‐３,ＳＴ．３,St-3,35.63388889,139.81055556, 35:38:02,139:48:38,10.0,,381.0,171.0,24.5,24.0,,6.1,1.5,1996,705,1140.0,1996-07-05 11:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.5,,5.8,,,,2.6,0.25,0.0,5
31927,1360153,Ｓｔ‐３,ＳＴ．３,St-3,35.63388889,139.81055556, 35:38:02,139:48:38,,,151.0,,,11.4,,6.1,,1997,110,1202.0,1997-01-10 12:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.1,,1.9,,,,1.4,0.086,51.0,3
31926,1360153,Ｓｔ‐３,ＳＴ．３,St-3,35.63388889,139.81055556, 35:38:02,139:48:38,2.0,,381.0,60.0,8.7,10.9,,6.1,4.7,1997,110,1202.0,1997-01-10 12:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.7,,2.3,,,,2.0,0.12,0.0,5
29257,1360153,Ｓｔ‐３,ＳＴ．３,St-3,35.63388889,139.81055556, 35:38:02,139:48:38,,,381.0,,,23.0,,5.8,,1997,704,1102.0,1997-07-04 11:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,4.1,,3.6,,,,1.6,0.15,48.0,3
29256,1360153,Ｓｔ‐３,ＳＴ．３,St-3,35.63388889,139.81055556, 35:38:02,139:48:38,2.0,,381.0,180.0,29.2,26.3,,5.8,3.0,1997,704,1102.0,1997-07-04 11:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.6,,5.0,,,,2.7,0.23,0.0,5
