,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
34605,1360157,Ｓｔ‐３１,ＳＴ．３１,St-31,35.53388889,139.77722222, 35:32:02,139:46:38,,,383.0,,,21.0,,3.7,,1995,706,1115.0,1995-07-06 11:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,5.0,,3.7,,,,2.1,0.2,27.0,3
34604,1360157,Ｓｔ‐３１,ＳＴ．３１,St-31,35.53388889,139.77722222, 35:32:02,139:46:38,10.0,,381.0,272.0,20.6,19.9,,3.7,0.6,1995,706,1115.0,1995-07-06 11:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,7.0,,4.9,,,,2.9,0.18,0.0,5
34607,1360157,Ｓｔ‐３１,ＳＴ．３１,St-31,35.53388889,139.77722222, 35:32:02,139:46:38,,,181.0,,,9.7,,2.0,,1996,109,1233.0,1996-01-09 12:33:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,8.2,,2.7,,,,2.6,0.16,10.0,1
34606,1360157,Ｓｔ‐３１,ＳＴ．３１,St-31,35.53388889,139.77722222, 35:32:02,139:46:38,4.0,,181.0,81.0,5.4,9.6,,2.0,1.7,1996,109,1233.0,1996-01-09 12:33:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,8.2,,3.2,,,,3.1,0.19,0.0,5
31937,1360157,Ｓｔ‐３１,ＳＴ．３１,St-31,35.53388889,139.77722222, 35:32:02,139:46:38,,,11.0,,,22.6,,3.6,,1996,702,1305.0,1996-07-02 13:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,4.0,,5.8,,,,2.7,0.33,26.0,3
31936,1360157,Ｓｔ‐３１,ＳＴ．３１,St-31,35.53388889,139.77722222, 35:32:02,139:46:38,3.0,,152.0,182.0,29.0,25.1,,3.6,0.5,1996,702,1305.0,1996-07-02 13:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,4.5,,5.5,,,,3.6,0.34,0.0,5
31939,1360157,Ｓｔ‐３１,ＳＴ．３１,St-31,35.53388889,139.77722222, 35:32:02,139:46:38,,,151.0,,,11.6,,2.2,,1997,107,1250.0,1997-01-07 12:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.0,,2.3,,,,1.8,0.12,12.0,2
31938,1360157,Ｓｔ‐３１,ＳＴ．３１,St-31,35.53388889,139.77722222, 35:32:02,139:46:38,1.0,,181.0,81.0,11.2,11.6,,2.2,1.7,1997,107,1250.0,1997-01-07 12:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.8,,2.9,,,,3.1,0.2,0.0,5
29269,1360157,Ｓｔ‐３１,ＳＴ．３１,St-31,35.53388889,139.77722222, 35:32:02,139:46:38,,,151.0,,,22.5,,2.2,,1997,701,1300.0,1997-07-01 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.2,,3.5,,,,1.2,0.15,12.0,2
29268,1360157,Ｓｔ‐３１,ＳＴ．３１,St-31,35.53388889,139.77722222, 35:32:02,139:46:38,2.0,,11.0,52.0,27.8,24.2,,2.2,1.3,1997,701,1300.0,1997-07-01 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,5.8,,3.6,,,,1.4,0.17,0.0,5
