,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
34993,1360256,Ｓｔ‐３２,ＳＴ．３２,St-32,35.52388889,139.79944444, 35:31:26,139:47:58,,,381.0,,,17.4,,18.4,,1995,706,1132.0,1995-07-06 11:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,0.5,,1.8,,,,0.69,0.15,174.0,5
34992,1360256,Ｓｔ‐３２,ＳＴ．３２,St-32,35.52388889,139.79944444, 35:31:26,139:47:58,10.0,,381.0,182.0,20.7,20.7,,18.4,0.6,1995,706,1132.0,1995-07-06 11:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,6.5,,4.3,,,,2.7,0.17,0.0,5
34995,1360256,Ｓｔ‐３２,ＳＴ．３２,St-32,35.52388889,139.79944444, 35:31:26,139:47:58,,,151.0,,,10.5,,18.0,,1996,109,1205.0,1996-01-09 12:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.5,,2.0,,,,1.0,0.076,170.0,5
34994,1360256,Ｓｔ‐３２,ＳＴ．３２,St-32,35.52388889,139.79944444, 35:31:26,139:47:58,2.0,,151.0,180.0,5.2,9.7,,18.0,3.8,1996,109,1205.0,1996-01-09 12:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.2,,2.0,,,,1.4,0.09,0.0,5
32325,1360256,Ｓｔ‐３２,ＳＴ．３２,St-32,35.52388889,139.79944444, 35:31:26,139:47:58,,,11.0,,,18.5,,16.7,,1996,702,1240.0,1996-07-02 12:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.5,,2.6,,,,0.9,0.12,157.0,4
32324,1360256,Ｓｔ‐３２,ＳＴ．３２,St-32,35.52388889,139.79944444, 35:31:26,139:47:58,4.0,,152.0,181.0,27.6,23.9,,16.7,1.5,1996,702,1240.0,1996-07-02 12:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,9.0,,5.6,,,,2.1,0.19,0.0,5
32327,1360256,Ｓｔ‐３２,ＳＴ．３２,St-32,35.52388889,139.79944444, 35:31:26,139:47:58,,,151.0,,,12.7,,18.5,,1997,107,1230.0,1997-01-07 12:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.2,,1.4,,,,0.81,0.048,175.0,5
32326,1360256,Ｓｔ‐３２,ＳＴ．３２,St-32,35.52388889,139.79944444, 35:31:26,139:47:58,1.0,,151.0,181.0,10.8,11.4,,18.5,2.6,1997,107,1230.0,1997-01-07 12:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,10.0,,4.4,,,,1.5,0.12,0.0,5
29657,1360256,Ｓｔ‐３２,ＳＴ．３２,St-32,35.52388889,139.79944444, 35:31:26,139:47:58,,,11.0,,,18.2,,16.9,,1997,701,1237.0,1997-07-01 12:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,2.8,,1.9,,,,0.61,0.076,159.0,4
29656,1360256,Ｓｔ‐３２,ＳＴ．３２,St-32,35.52388889,139.79944444, 35:31:26,139:47:58,2.0,,151.0,171.0,25.4,23.2,,16.9,1.9,1997,701,1237.0,1997-07-01 12:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,12.0,,5.9,,,,1.0,0.09699999999999999,0.0,5
29659,1360256,Ｓｔ‐３２,ＳＴ．３２,St-32,35.52388889,139.79944444, 35:31:26,139:47:58,,,151.0,,,13.3,,17.7,,1998,109,1220.0,1998-01-09 12:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.9,,1.2,,,,0.81,0.064,167.0,4
