,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
35105,1360363,Ｓｔ‐３３,ＳＴ．３３,St-33,35.52388889,139.82166667, 35:31:26,139:49:18,,,151.0,,,17.3,,23.0,,1995,706,1155.0,1995-07-06 11:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,0.5,,1.2,,,,0.63,0.1,220.0,5
35104,1360363,Ｓｔ‐３３,ＳＴ．３３,St-33,35.52388889,139.82166667, 35:31:26,139:49:18,10.0,,381.0,181.0,20.9,21.8,,23.0,1.6,1995,706,1155.0,1995-07-06 11:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,5.1,,4.6,,,,2.9,0.2,0.0,5
35107,1360363,Ｓｔ‐３３,ＳＴ．３３,St-33,35.52388889,139.82166667, 35:31:26,139:49:18,,,151.0,,,10.5,,23.0,,1996,109,1145.0,1996-01-09 11:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.0,,1.9,,,,0.95,0.068,220.0,5
35106,1360363,Ｓｔ‐３３,ＳＴ．３３,St-33,35.52388889,139.82166667, 35:31:26,139:49:18,2.0,,151.0,80.0,5.2,9.6,,23.0,4.1,1996,109,1145.0,1996-01-09 11:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.3,,2.1,,,,1.3,0.091,0.0,5
32437,1360363,Ｓｔ‐３３,ＳＴ．３３,St-33,35.52388889,139.82166667, 35:31:26,139:49:18,,,151.0,,,15.6,,21.7,,1996,702,1218.0,1996-07-02 12:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,1.7,,1.4,,,,0.71,0.12,207.0,5
32436,1360363,Ｓｔ‐３３,ＳＴ．３３,St-33,35.52388889,139.82166667, 35:31:26,139:49:18,4.0,,152.0,172.0,27.3,24.7,,21.7,1.2,1996,702,1218.0,1996-07-02 12:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.3,,5.4,,,,2.7,0.22,0.0,5
32439,1360363,Ｓｔ‐３３,ＳＴ．３３,St-33,35.52388889,139.82166667, 35:31:26,139:49:18,,,151.0,,,13.5,,23.5,,1997,107,1207.0,1997-01-07 12:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.6,,1.2,,,,0.63,0.046,225.0,5
32438,1360363,Ｓｔ‐３３,ＳＴ．３３,St-33,35.52388889,139.82166667, 35:31:26,139:49:18,1.0,,151.0,21.0,10.8,11.1,,23.5,2.9,1997,107,1207.0,1997-01-07 12:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,10.0,,4.4,,,,1.5,0.14,0.0,5
29769,1360363,Ｓｔ‐３３,ＳＴ．３３,St-33,35.52388889,139.82166667, 35:31:26,139:49:18,,,11.0,,,17.8,,22.7,,1997,701,1210.0,1997-07-01 12:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.5,,1.4,,,,0.54,0.091,217.0,5
29768,1360363,Ｓｔ‐３３,ＳＴ．３３,St-33,35.52388889,139.82166667, 35:31:26,139:49:18,2.0,,151.0,181.0,25.4,24.1,,22.7,1.8,1997,701,1210.0,1997-07-01 12:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,13.0,,6.5,,,,0.88,0.079,0.0,5
29771,1360363,Ｓｔ‐３３,ＳＴ．３３,St-33,35.52388889,139.82166667, 35:31:26,139:49:18,,,151.0,,,13.6,,23.4,,1998,109,1205.0,1998-01-09 12:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.4,,1.2,,,,0.68,0.054000000000000006,224.0,5
29770,1360363,Ｓｔ‐３３,ＳＴ．３３,St-33,35.52388889,139.82166667, 35:31:26,139:49:18,1.0,,152.0,180.0,6.4,11.4,,23.4,5.6,1998,109,1205.0,1998-01-09 12:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.3,,1.5,,,,1.0,0.079,0.0,5
27101,1360363,Ｓｔ‐３３,ＳＴ．３３,St-33,35.52388889,139.82166667, 35:31:26,139:49:18,,,151.0,,,17.2,,22.8,,1998,706,1111.0,1998-07-06 11:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,0.5,,1.0,,,,0.63,0.12,218.0,5
27100,1360363,Ｓｔ‐３３,ＳＴ．３３,St-33,35.52388889,139.82166667, 35:31:26,139:49:18,4.0,,152.0,181.0,27.0,26.9,,22.8,2.0,1998,706,1111.0,1998-07-06 11:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,11.0,,5.5,,,,1.6,0.1,0.0,5
27103,1360363,Ｓｔ‐３３,ＳＴ．３３,St-33,35.52388889,139.82166667, 35:31:26,139:49:18,,,151.0,,,13.6,,23.0,,1999,105,1125.0,1999-01-05 11:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.9,,1.5,,,,0.6,0.05,220.0,5
27102,1360363,Ｓｔ‐３３,ＳＴ．３３,St-33,35.52388889,139.82166667, 35:31:26,139:49:18,2.0,,151.0,180.0,6.8,11.0,,23.0,3.4,1999,105,1125.0,1999-01-05 11:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.2,,2.3,,,,1.5,0.086,0.0,5
24573,1360363,Ｓｔ‐３３,ＳＴ．３３,St-33,35.52388889,139.82166667, 35:31:26,139:49:18,,,,,,18.0,,22.7,,1999,706,1313.0,1999-07-06 13:13:00,,,,,,,,,,,,,,,,,,,,,,,,,0.046,0.27,,,8.2,2.3,,2.4,,,,0.69,0.077,21.7,1
24572,1360363,Ｓｔ‐３３,ＳＴ．３３,St-33,35.52388889,139.82166667, 35:31:26,139:49:18,,,,,22.2,22.8,,22.7,1.9,1999,706,1313.0,1999-07-06 13:13:00,,,,,,,,,,,,,,,,,,,,,,,,,0.066,0.65,,,8.4,9.4,,5.5,,,,1.73,0.162,0.0,5
