,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
35109,1360364,Ｓｔ‐３４,ＳＴ．３４,St-34,35.52388889,139.84388889, 35:31:26,139:50:38,,,152.0,,,18.7,,23.3,,1995,704,1120.0,1995-07-04 11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,6.1,,1.9,,,,0.36,0.052000000000000005,223.0,5
35108,1360364,Ｓｔ‐３４,ＳＴ．３４,St-34,35.52388889,139.84388889, 35:31:26,139:50:38,10.0,,151.0,181.0,22.0,21.7,,23.3,2.3,1995,704,1120.0,1995-07-04 11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,7.5,,3.4,,,,1.2,0.094,0.0,5
35111,1360364,Ｓｔ‐３４,ＳＴ．３４,St-34,35.52388889,139.84388889, 35:31:26,139:50:38,,,151.0,,,10.0,,23.8,,1996,109,1100.0,1996-01-09 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.1,,2.0,,,,0.95,0.065,228.0,5
35110,1360364,Ｓｔ‐３４,ＳＴ．３４,St-34,35.52388889,139.84388889, 35:31:26,139:50:38,2.0,,151.0,180.0,3.6,9.5,,23.8,5.5,1996,109,1100.0,1996-01-09 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.7,,2.5,,,,1.0,0.07,0.0,5
32441,1360364,Ｓｔ‐３４,ＳＴ．３４,St-34,35.52388889,139.84388889, 35:31:26,139:50:38,,,11.0,,,15.5,,21.7,,1996,702,1135.0,1996-07-02 11:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,1.6,,1.6,,,,0.65,0.09699999999999999,207.0,5
32440,1360364,Ｓｔ‐３４,ＳＴ．３４,St-34,35.52388889,139.84388889, 35:31:26,139:50:38,4.0,,151.0,162.0,28.0,24.8,,21.7,1.0,1996,702,1135.0,1996-07-02 11:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,16.0,,7.5,,,,1.2,0.1,0.0,5
32443,1360364,Ｓｔ‐３４,ＳＴ．３４,St-34,35.52388889,139.84388889, 35:31:26,139:50:38,,,11.0,,,13.4,,23.5,,1997,107,1118.0,1997-01-07 11:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.8,,1.4,,,,0.68,0.048,225.0,5
32442,1360364,Ｓｔ‐３４,ＳＴ．３４,St-34,35.52388889,139.84388889, 35:31:26,139:50:38,1.0,,11.0,21.0,9.8,10.9,,23.5,1.9,1997,107,1118.0,1997-01-07 11:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,11.0,,6.4,,,,1.8,0.24,0.0,5
29773,1360364,Ｓｔ‐３４,ＳＴ．３４,St-34,35.52388889,139.84388889, 35:31:26,139:50:38,,,11.0,,,18.0,,22.6,,1997,701,1121.0,1997-07-01 11:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.9,,1.4,,,,0.65,0.09,216.0,5
29772,1360364,Ｓｔ‐３４,ＳＴ．３４,St-34,35.52388889,139.84388889, 35:31:26,139:50:38,2.0,,151.0,171.0,24.6,24.4,,22.6,2.4,1997,701,1121.0,1997-07-01 11:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,12.0,,6.8,,,,0.93,0.075,0.0,5
29775,1360364,Ｓｔ‐３４,ＳＴ．３４,St-34,35.52388889,139.84388889, 35:31:26,139:50:38,,,152.0,,,13.5,,23.6,,1998,109,1117.0,1998-01-09 11:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.4,,1.1,,,,0.65,0.051,226.0,5
29774,1360364,Ｓｔ‐３４,ＳＴ．３４,St-34,35.52388889,139.84388889, 35:31:26,139:50:38,1.0,,152.0,180.0,6.0,11.7,,23.6,5.3,1998,109,1117.0,1998-01-09 11:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.3,,1.3,,,,0.95,0.07,0.0,5
27105,1360364,Ｓｔ‐３４,ＳＴ．３４,St-34,35.52388889,139.84388889, 35:31:26,139:50:38,,,151.0,,,17.2,,23.3,,1998,706,1155.0,1998-07-06 11:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,0.5,,1.1,,,,0.89,0.12,223.0,5
27104,1360364,Ｓｔ‐３４,ＳＴ．３４,St-34,35.52388889,139.84388889, 35:31:26,139:50:38,4.0,,212.0,181.0,27.2,27.0,,23.3,2.2,1998,706,1155.0,1998-07-06 11:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,11.0,,5.8,,,,1.3,0.1,0.0,5
27107,1360364,Ｓｔ‐３４,ＳＴ．３４,St-34,35.52388889,139.84388889, 35:31:26,139:50:38,,,151.0,,,13.2,,23.8,,1999,105,1046.0,1999-01-05 10:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.6,,1.7,,,,0.63,0.046,228.0,5
27106,1360364,Ｓｔ‐３４,ＳＴ．３４,St-34,35.52388889,139.84388889, 35:31:26,139:50:38,2.0,,151.0,180.0,7.9,12.5,,23.8,4.7,1999,105,1046.0,1999-01-05 10:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,9.7,,2.1,,,,0.77,0.045,0.0,5
24577,1360364,Ｓｔ‐３４,ＳＴ．３４,St-34,35.52388889,139.84388889, 35:31:26,139:50:38,,,,,,18.0,,23.0,,1999,706,1222.0,1999-07-06 12:22:00,,,,,,,,,,,,,,,,,,,,,,,,,0.019,0.26,,,7.9,2.3,,1.4,,,,0.55,0.085,22.0,1
24576,1360364,Ｓｔ‐３４,ＳＴ．３４,St-34,35.52388889,139.84388889, 35:31:26,139:50:38,,,,,22.0,22.3,,23.0,2.9,1999,706,1222.0,1999-07-06 12:22:00,,,,,,,,,,,,,,,,,,,,,,,,,0.045,0.28,,,8.3,7.9,,3.4,,,,0.93,0.096,0.0,5
24579,1360364,Ｓｔ‐３４,ＳＴ．３４,St-34,35.52388889,139.84388889, 35:31:26,139:50:38,,,,,,13.5,,23.2,,2000,111,1128.0,2000-01-11 11:28:00,,,,,,,,,,,,,,,,,,,,,,,,,0.039,0.28,,,8.1,7.5,,1.1,,,,0.69,0.047,22.2,1
