,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
54871,1360101,Ｓｔ‐５,ＳＴ．５,,35.61666667,139.76750000, 35:37:00,139:46:03,16.0,,,,8.0,11.2,,117.0,2.6,1987,402,1010.0,1987-04-02 10:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,6.6,,4.0,,790.0,,3.7,0.17,0.0,5
54872,1360101,Ｓｔ‐５,ＳＴ．５,,35.61666667,139.76750000, 35:37:00,139:46:03,,,,,,11.3,,,,1987,402,1010.0,1987-04-02 10:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,6.4,,3.2,,,,2.1,0.1,107.0,5
54874,1360101,Ｓｔ‐５,ＳＴ．５,,35.61666667,139.76750000, 35:37:00,139:46:03,2.0,,,,18.5,18.0,,115.0,0.8,1987,512,1018.0,1987-05-12 10:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,10.0,,14.0,,,,4.9,0.49,0.0,5
54875,1360101,Ｓｔ‐５,ＳＴ．５,,35.61666667,139.76750000, 35:37:00,139:46:03,,,,,,16.1,,,,1987,512,1018.0,1987-05-12 10:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.3,,3.3,,,,1.4,0.085,105.0,5
54876,1360101,Ｓｔ‐５,ＳＴ．５,,35.61666667,139.76750000, 35:37:00,139:46:03,4.0,,,,23.5,20.3,,120.0,1.8,1987,603,1009.0,1987-06-03 10:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.3,,6.2,,1300.0,,3.1,0.29,0.0,5
54877,1360101,Ｓｔ‐５,ＳＴ．５,,35.61666667,139.76750000, 35:37:00,139:46:03,,,,,,18.7,,,,1987,603,1009.0,1987-06-03 10:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.1,,4.0,,,,1.7,0.15,110.0,5
54879,1360101,Ｓｔ‐５,ＳＴ．５,,35.61666667,139.76750000, 35:37:00,139:46:03,4.0,,,,26.5,23.8,,113.0,1.0,1987,708,1020.0,1987-07-08 10:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,10.0,,7.2,6.0,,,3.9,0.4,0.0,5
54880,1360101,Ｓｔ‐５,ＳＴ．５,,35.61666667,139.76750000, 35:37:00,139:46:03,,,,,,18.9,,,,1987,708,1020.0,1987-07-08 10:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,0.9,,2.3,2.0,,,1.0,0.22,103.0,4
54882,1360101,Ｓｔ‐５,ＳＴ．５,,35.61666667,139.76750000, 35:37:00,139:46:03,,,,,,19.2,,,,1987,804,1022.0,1987-08-04 10:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,1.4,,2.0,,,,0.83,0.12,110.0,5
54881,1360101,Ｓｔ‐５,ＳＴ．５,,35.61666667,139.76750000, 35:37:00,139:46:03,4.0,,,,25.0,25.9,,120.0,1.0,1987,804,1022.0,1987-08-04 10:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,5.4,,6.4,,34000.0,,3.4,0.34,0.0,5
