,地点統一番号,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度(m),採取_年,採取_月日,採取_時分,採取_年月日時分,カドミウム(mg/l),全シアン(mg/l),鉛(mg/l),六価クロム(mg/l),砒素(mg/l),総水銀(mg/l),アルキル水銀(mg/l),PCB(mg/l),有機リン(mg/l),ジクロロメタン(mg/l),四塩化炭素(mg/l),1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン(mg/l),トリクロロエチレン(mg/l),テトラクロロエチレン(mg/l),1，3-ジクロロプロペン(mg/l),チウラム(mg/l),シマンジン(mg/l),チオベンカルプ(mg/l),ベンゼン(mg/l),セレン(mg/l),亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素(mg/l),ほう素(mg/l),pH,DO(mg/l),BOD(mg/l),COD(mg/l),SS(mg/l),大腸菌群数(MPN/100ml),n-ヘキサン抽出物質(mg/l),全窒素(mg/l),全燐(mg/l),採取水深_mod(m),採取水深分层番号
54901,1360102,Ｓｔ‐６,ＳＴ．６,,35.61416667,139.80055556, 35:36:51,139:48:02,10.0,,,,8.0,10.7,,111.0,2.7,1987,402,1050.0,1987-04-02 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.4,,4.0,,170.0,,2.9,0.13,0.0,5
54902,1360102,Ｓｔ‐６,ＳＴ．６,,35.61416667,139.80055556, 35:36:51,139:48:02,,,,,,11.2,,,,1987,402,1050.0,1987-04-02 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,6.3,,2.7,,,,1.7,0.084,101.0,4
54904,1360102,Ｓｔ‐６,ＳＴ．６,,35.61416667,139.80055556, 35:36:51,139:48:02,2.0,,,,20.0,17.6,,108.0,1.0,1987,512,1053.0,1987-05-12 10:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,10.0,,11.0,,,,3.1,0.31,0.0,5
54905,1360102,Ｓｔ‐６,ＳＴ．６,,35.61416667,139.80055556, 35:36:51,139:48:02,,,,,,15.9,,,,1987,512,1053.0,1987-05-12 10:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,5.9,,3.7,,,,1.4,0.081,98.0,4
54906,1360102,Ｓｔ‐６,ＳＴ．６,,35.61416667,139.80055556, 35:36:51,139:48:02,4.0,,,,22.0,20.1,,118.0,2.5,1987,603,1049.0,1987-06-03 10:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,6.8,,4.8,,240.0,,2.0,0.19,0.0,5
54907,1360102,Ｓｔ‐６,ＳＴ．６,,35.61416667,139.80055556, 35:36:51,139:48:02,,,,,,18.5,,,,1987,603,1049.0,1987-06-03 10:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,4.6,,3.0,,,,1.3,0.12,108.0,5
54909,1360102,Ｓｔ‐６,ＳＴ．６,,35.61416667,139.80055556, 35:36:51,139:48:02,2.0,,,,26.5,24.2,,120.0,1.3,1987,708,1054.0,1987-07-08 10:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,10.0,,7.1,5.0,,,3.8,0.35,0.0,5
54910,1360102,Ｓｔ‐６,ＳＴ．６,,35.61416667,139.80055556, 35:36:51,139:48:02,,,,,,19.0,,,,1987,708,1054.0,1987-07-08 10:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,1.0,,2.1,3.0,,,1.6,0.25,110.0,5
54912,1360102,Ｓｔ‐６,ＳＴ．６,,35.61416667,139.80055556, 35:36:51,139:48:02,,,,,,19.6,,,,1987,804,1105.0,1987-08-04 11:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,0.5,,2.7,,,,0.74,0.15,115.0,5
54911,1360102,Ｓｔ‐６,ＳＴ．６,,35.61416667,139.80055556, 35:36:51,139:48:02,4.0,,,,26.0,26.2,,125.0,0.9,1987,804,1105.0,1987-08-04 11:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,11.0,,7.3,,2400.0,,2.5,0.25,0.0,5
54914,1360102,Ｓｔ‐６,ＳＴ．６,,35.61416667,139.80055556, 35:36:51,139:48:02,10.0,,,,23.5,25.7,,121.0,5.3,1987,903,1038.0,1987-09-03 10:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.3,,4.9,,,,2.4,0.24,0.0,5
54915,1360102,Ｓｔ‐６,ＳＴ．６,,35.61416667,139.80055556, 35:36:51,139:48:02,,,,,,24.6,,,,1987,903,1038.0,1987-09-03 10:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,0.7,,3.4,,,,1.2,0.22,111.0,5
54917,1360102,Ｓｔ‐６,ＳＴ．６,,35.61416667,139.80055556, 35:36:51,139:48:02,,,,,,21.0,,,,1987,1007,1056.0,1987-10-07 10:56:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,2.1,,1.9,,,,0.79,0.1,107.0,5
54916,1360102,Ｓｔ‐６,ＳＴ．６,,35.61416667,139.80055556, 35:36:51,139:48:02,4.0,,,,19.5,21.5,,117.0,1.8,1987,1007,1056.0,1987-10-07 10:56:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.4,,4.9,,17000.0,,2.6,0.23,0.0,5
54919,1360102,Ｓｔ‐６,ＳＴ．６,,35.61416667,139.80055556, 35:36:51,139:48:02,1.0,,,,14.5,17.2,,125.0,4.5,1987,1110,1052.0,1987-11-10 10:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,5.6,,2.8,,,,2.4,0.14,0.0,5
